strategy,date,event_hour,soc_kwh,scenario_count,node_count,objective,solve_seconds,max_eq_residual,max_ub_violation,latest_history_day,continuation_first_time
D,2025-01-01,0,6000.0,1,4,51011.71812338168,0.007427500000630971,2.2737367544323206e-13,1.1368683772161603e-13,-2,
D,2025-01-01,6,10800.0,1,3,50034.915802064876,0.006797099998948397,4.547473508864641e-13,1.1368683772161603e-13,-2,2025-01-02 00:10:00
D,2025-01-01,12,4230.353746184641,1,2,66842.11266645024,0.005646999998134561,9.094947017729282e-13,1.1368683772161603e-13,-2,2025-01-02 00:10:00
D,2025-01-01,18,10583.633721015995,1,1,62661.61453782716,0.004906099999061553,9.094947017729282e-13,1.1368683772161603e-13,-2,2025-01-02 00:10:00
D,2025-01-02,0,10800.0,1,4,61573.07495187473,0.006688599998597056,1.8189894035458565e-12,2.2737367544323206e-13,-1,
D,2025-01-02,6,10800.0,1,3,60990.322891980606,0.006391900002199691,4.547473508864641e-13,2.2737367544323206e-13,-1,2025-01-03 00:10:00
D,2025-01-02,12,6430.499117375819,1,2,59056.91876230071,0.005596700000751298,9.094947017729282e-13,2.2737367544323206e-13,-1,2025-01-03 00:10:00
D,2025-01-02,18,10632.328431887792,1,1,60474.46102779909,0.0053096000010555144,9.094947017729282e-13,1.1368683772161603e-13,-1,2025-01-03 00:10:00
D,2025-01-03,0,8946.450046024662,1,4,59534.330869205754,0.006187500002852175,9.094947017729282e-13,2.2737367544323206e-13,0,
D,2025-01-03,6,10800.0,1,3,74758.9275321301,0.006069400002161274,9.094947017729282e-13,2.2737367544323206e-13,0,2025-01-04 00:10:00
D,2025-01-03,12,10800.0,1,2,61819.97928386071,0.005507400001079077,9.094947017729282e-13,1.1368683772161603e-13,0,2025-01-04 00:10:00
D,2025-01-03,18,10278.166351527454,1,1,53881.05776206441,0.0051151000006939285,9.094947017729282e-13,8.526512829121202e-14,0,2025-01-04 00:10:00
D,2025-01-04,0,8939.113539212938,1,4,56280.14082761215,0.006485499998234445,9.094947017729282e-13,2.2737367544323206e-13,1,
