date,event_hour,decision_time,max_forecast_issue_used,max_baseline_history_day,max_scenario_error_day,pass
2025-01-01,0,2025-01-01T00:00:00,2025-01-01T00:00:00,-1,-2,True
2025-01-01,6,2025-01-01T06:00:00,2025-01-01T06:00:00,-1,-2,True
2025-01-01,12,2025-01-01T12:00:00,2025-01-01T12:00:00,-1,-2,True
2025-01-01,18,2025-01-01T18:00:00,2025-01-01T18:00:00,-1,-2,True
2025-01-02,0,2025-01-02T00:00:00,2025-01-02T00:00:00,0,-1,True
2025-01-02,6,2025-01-02T06:00:00,2025-01-02T06:00:00,0,-1,True
2025-01-02,12,2025-01-02T12:00:00,2025-01-02T12:00:00,0,-1,True
2025-01-02,18,2025-01-02T18:00:00,2025-01-02T18:00:00,0,-1,True
2025-01-03,0,2025-01-03T00:00:00,2025-01-03T00:00:00,1,0,True
2025-01-03,6,2025-01-03T06:00:00,2025-01-03T06:00:00,1,0,True
2025-01-03,12,2025-01-03T12:00:00,2025-01-03T12:00:00,1,0,True
2025-01-03,18,2025-01-03T18:00:00,2025-01-03T18:00:00,1,0,True
2025-01-04,0,2025-01-04T00:00:00,2025-01-04T00:00:00,2,1,True
2025-01-04,6,2025-01-04T06:00:00,2025-01-04T06:00:00,2,1,True
2025-01-04,12,2025-01-04T12:00:00,2025-01-04T12:00:00,2,1,True
2025-01-04,18,2025-01-04T18:00:00,2025-01-04T18:00:00,2,1,True
2025-01-05,0,2025-01-05T00:00:00,2025-01-05T00:00:00,3,2,True
2025-01-05,6,2025-01-05T06:00:00,2025-01-05T06:00:00,3,2,True
2025-01-05,12,2025-01-05T12:00:00,2025-01-05T12:00:00,3,2,True
2025-01-05,18,2025-01-05T18:00:00,2025-01-05T18:00:00,3,2,True
2025-01-06,0,2025-01-06T00:00:00,2025-01-06T00:00:00,4,3,True
2025-01-06,6,2025-01-06T06:00:00,2025-01-06T06:00:00,4,3,True
2025-01-06,12,2025-01-06T12:00:00,2025-01-06T12:00:00,4,3,True
2025-01-06,18,2025-01-06T18:00:00,2025-01-06T18:00:00,4,3,True
2025-01-07,0,2025-01-07T00:00:00,2025-01-07T00:00:00,5,4,True
2025-01-07,6,2025-01-07T06:00:00,2025-01-07T06:00:00,5,4,True
2025-01-07,12,2025-01-07T12:00:00,2025-01-07T12:00:00,5,4,True
2025-01-07,18,2025-01-07T18:00:00,2025-01-07T18:00:00,5,4,True
2025-01-08,0,2025-01-08T00:00:00,2025-01-08T00:00:00,6,5,True
2025-01-08,6,2025-01-08T06:00:00,2025-01-08T06:00:00,6,5,True
2025-01-08,12,2025-01-08T12:00:00,2025-01-08T12:00:00,6,5,True
2025-01-08,18,2025-01-08T18:00:00,2025-01-08T18:00:00,6,5,True
2025-01-09,0,2025-01-09T00:00:00,2025-01-09T00:00:00,7,6,True
2025-01-09,6,2025-01-09T06:00:00,2025-01-09T06:00:00,7,6,True
2025-01-09,12,2025-01-09T12:00:00,2025-01-09T12:00:00,7,6,True
2025-01-09,18,2025-01-09T18:00:00,2025-01-09T18:00:00,7,6,True
2025-01-10,0,2025-01-10T00:00:00,2025-01-10T00:00:00,8,7,True
2025-01-10,6,2025-01-10T06:00:00,2025-01-10T06:00:00,8,7,True
2025-01-10,12,2025-01-10T12:00:00,2025-01-10T12:00:00,8,7,True
2025-01-10,18,2025-01-10T18:00:00,2025-01-10T18:00:00,8,7,True
2025-01-11,0,2025-01-11T00:00:00,2025-01-11T00:00:00,9,8,True
2025-01-11,6,2025-01-11T06:00:00,2025-01-11T06:00:00,9,8,True
2025-01-11,12,2025-01-11T12:00:00,2025-01-11T12:00:00,9,8,True
2025-01-11,18,2025-01-11T18:00:00,2025-01-11T18:00:00,9,8,True
