date,root_event_hour,stage_hour,node_id,leaf_members,leaf_count
2025-03-20,0,0,0,0;1;2,3
2025-03-20,0,6,1,0,1
2025-03-20,0,6,2,2;1,2
2025-03-20,0,12,3,0,1
2025-03-20,0,12,4,2,1
2025-03-20,0,12,5,1,1
2025-03-20,0,18,6,0,1
2025-03-20,0,18,7,2,1
2025-03-20,0,18,8,1,1
2025-03-20,6,6,0,0;1;2,3
2025-03-20,6,12,1,0,1
2025-03-20,6,12,2,2;1,2
2025-03-20,6,18,3,0,1
2025-03-20,6,18,4,2,1
2025-03-20,6,18,5,1,1
2025-03-20,12,12,0,0;1;2,3
2025-03-20,12,18,1,1,1
2025-03-20,12,18,2,2;0,2
2025-03-20,18,18,0,0;1;2,3
2025-06-21,0,0,0,0;1;2,3
2025-06-21,0,6,1,1,1
2025-06-21,0,6,2,0;2,2
2025-06-21,0,12,3,1,1
2025-06-21,0,12,4,0,1
2025-06-21,0,12,5,2,1
2025-06-21,0,18,6,1,1
2025-06-21,0,18,7,0,1
2025-06-21,0,18,8,2,1
2025-06-21,6,6,0,0;1;2,3
2025-06-21,6,12,1,1,1
2025-06-21,6,12,2,2;0,2
2025-06-21,6,18,3,1,1
2025-06-21,6,18,4,0,1
2025-06-21,6,18,5,2,1
2025-06-21,12,12,0,0;1;2,3
2025-06-21,12,18,1,0,1
2025-06-21,12,18,2,1;2,2
2025-06-21,18,18,0,0;1;2,3
2025-09-23,0,0,0,0;1;2,3
2025-09-23,0,6,1,0,1
2025-09-23,0,6,2,1;2,2
2025-09-23,0,12,3,0,1
2025-09-23,0,12,4,1,1
2025-09-23,0,12,5,2,1
2025-09-23,0,18,6,0,1
2025-09-23,0,18,7,1,1
2025-09-23,0,18,8,2,1
2025-09-23,6,6,0,0;1;2,3
2025-09-23,6,12,1,2,1
2025-09-23,6,12,2,1;0,2
2025-09-23,6,18,3,2,1
2025-09-23,6,18,4,1,1
2025-09-23,6,18,5,0,1
2025-09-23,12,12,0,0;1;2,3
2025-09-23,12,18,1,1,1
2025-09-23,12,18,2,0;2,2
2025-09-23,18,18,0,0;1;2,3
2025-12-21,0,0,0,0;1;2,3
2025-12-21,0,6,1,2,1
2025-12-21,0,6,2,0;1,2
2025-12-21,0,12,3,2,1
2025-12-21,0,12,4,1,1
2025-12-21,0,12,5,0,1
2025-12-21,0,18,6,2,1
2025-12-21,0,18,7,1,1
2025-12-21,0,18,8,0,1
2025-12-21,6,6,0,0;1;2,3
2025-12-21,6,12,1,2,1
2025-12-21,6,12,2,0;1,2
2025-12-21,6,18,3,2,1
2025-12-21,6,18,4,0,1
2025-12-21,6,18,5,1,1
2025-12-21,12,12,0,0;1;2,3
2025-12-21,12,18,1,2,1
2025-12-21,12,18,2,1;0,2
2025-12-21,18,18,0,0;1;2,3
