strategy,date,event_hour,slot_j,slot_label,old_kwh,new_kwh,delta_kwh,legal
D,2025-01-01,6,41,7:0-7:10,232.0971303817321,524.0331553817336,291.93602500000156,True
D,2025-01-01,6,42,7:10-7:20,788.3634166666665,788.7710166666666,0.40760000000011587,True
D,2025-01-01,6,43,7:20-7:30,743.91305,744.7240166666666,0.8109666666665589,True
D,2025-01-01,6,44,7:30-7:40,699.4626833333332,700.6770166666665,1.214333333333343,True
D,2025-01-01,6,45,7:40-7:50,1488.3456499999998,1489.96335,1.6177000000002408,True
D,2025-01-01,6,65,11:00-11:10,702.4814999999999,796.6017666666665,94.12026666666668,True
D,2025-01-01,6,66,11:10-11:20,703.8131472222221,800.5376055555555,96.72445833333336,True
D,2025-01-01,6,67,11:20-11:30,705.1447944444443,804.4734444444443,99.32865000000004,True
D,2025-01-01,6,68,11:30-11:40,706.4764416666666,808.4092833333333,101.93284166666672,True
D,2025-01-01,6,69,11:40-11:50,707.8080888888888,812.345122222222,104.53703333333317,True
D,2025-01-01,6,70,11:50-12:00,709.139736111111,816.280961111111,107.14122499999996,True
D,2025-01-01,6,71,12:00-12:10,710.4713833333333,820.2167999999999,109.74541666666664,True
D,2025-01-01,6,72,12:10-12:20,701.8540305555555,813.6751027777776,111.82107222222214,True
D,2025-01-01,6,73,12:20-12:30,693.2366777777777,807.1334055555553,113.89672777777764,True
D,2025-01-01,6,74,12:30-12:40,684.6193249999999,800.5917083333333,115.97238333333337,True
D,2025-01-01,6,75,12:40-12:50,676.0019722222222,794.050011111111,118.04803888888875,True
D,2025-01-01,6,76,12:50-13:00,18.198951427702013,610.9851535881961,592.7862021604941,True
D,2025-01-01,6,90,15:10-15:20,1125.187197222222,1122.2159888888887,-2.9712083333333794,True
D,2025-01-01,6,101,17:00-17:10,832.8007333333333,832.8273499999999,0.026616666666654965,True
D,2025-01-01,6,102,17:10-17:20,832.8894999999999,832.9116805555554,0.02218055555556475,True
D,2025-01-01,6,103,17:20-17:30,832.9782666666666,832.9960111111111,0.01774444444447454,True
D,2025-01-01,6,104,17:30-17:40,833.0670333333333,833.0803416666666,0.013308333333384326,True
D,2025-01-01,6,105,17:40-17:50,833.1557999999999,833.1646722222221,0.008872222222180426,True
D,2025-01-01,6,106,17:50-18:00,833.2445666666666,833.2490027777777,0.004436111111090213,True
D,2025-01-01,12,71,12:00-12:10,820.2167999999999,757.4164833333332,-62.80031666666673,True
D,2025-01-01,12,72,12:10-12:20,813.6751027777776,760.8906861111109,-52.78441666666674,True
D,2025-01-01,12,73,12:20-12:30,807.1334055555553,764.3648888888887,-42.76851666666664,True
D,2025-01-01,12,74,12:30-12:40,800.5917083333333,767.8390916666666,-32.752616666666654,True
D,2025-01-01,12,75,12:40-12:50,794.050011111111,771.3132944444444,-22.736716666666553,True
D,2025-01-01,12,76,12:50-13:00,610.9851535881961,774.7874972222221,163.802343634026,True
D,2025-01-01,12,89,15:00-15:10,284.1189950617259,1105.7448,821.6258049382741,True
D,2025-01-01,12,90,15:10-15:20,1122.2159888888887,1157.448011111111,35.23202222222244,True
D,2025-01-01,12,91,15:20-15:30,345.8165444444446,1209.1512222222223,863.3346777777776,True
D,2025-01-01,12,92,15:30-15:40,399.7792249999998,950.0417949462197,550.2625699462199,True
D,2025-01-01,12,93,15:40-15:50,453.7419055555554,479.22431111111104,25.48240555555566,True
D,2025-01-01,12,94,15:50-16:00,507.70458611111127,530.9275222222223,23.222936111110982,True
D,2025-01-01,12,95,16:00-16:10,561.6672666666665,582.6307333333333,20.963466666666818,True
D,2025-01-01,12,96,16:10-16:20,606.8561777777779,624.3349944444445,17.478816666666603,True
D,2025-01-01,12,97,16:20-16:30,652.0450888888887,666.0392555555554,13.994166666666729,True
