strategy,date,interval_i,event_hour,horizon_slots,soc_before_kwh,soc_after_kwh,contract_kwh,forecast_net_kwh,dispatch_net_kwh,execution_mode,measurement_model,actual_net_kwh,forecast_residual_kwh,charge_kwh,discharge_kwh,predicted_emergency_kwh,emergency_kwh,curtail_kwh,pv_curtail_kwh,grid_import_kwh,unused_contract_kwh,supply_surplus_kwh,battery_dump_kwh,terminal_shortfall_kwh
D,2025-01-01,1,0,35,6000.0,6790.569415042095,1666.6666666666665,833.3333333333333,588.2882666666667,measured_current_mpc,ideal_piecewise_constant_current_slot,588.2882666666667,-245.04506666666657,833.3333333333333,0.0,0.0,0.0,0.0,0.0,1421.6216,245.04506666666657,245.04506666666657,0.0,0.0
D,2025-01-01,2,0,34,6790.569415042095,6790.569415042095,1666.6666666666665,588.2882666666667,601.5881166666666,measured_current_mpc,ideal_piecewise_constant_current_slot,601.5881166666666,13.299849999999878,0.0,0.0,0.0,0.0,0.0,0.0,601.5881166666666,1065.07855,1065.07855,0.0,0.0
D,2025-01-01,3,0,33,6790.569415042095,6790.569415042095,1666.6666666666665,846.6331833333331,621.0933333333332,measured_current_mpc,ideal_piecewise_constant_current_slot,621.0933333333332,-225.5398499999999,0.0,0.0,0.0,0.0,0.0,0.0,621.0933333333332,1045.5733333333333,1045.5733333333333,0.0,0.0
D,2025-01-01,4,0,32,6790.569415042095,6790.569415042095,1666.6666666666665,607.7934833333334,585.1051833333333,measured_current_mpc,ideal_piecewise_constant_current_slot,585.1051833333333,-22.688300000000027,0.0,0.0,0.0,0.0,0.0,0.0,585.1051833333333,1081.5614833333332,1081.5614833333332,0.0,0.0
D,2025-01-01,5,0,31,6790.569415042095,6790.569415042095,1666.6666666666665,810.6450333333332,583.7604166666666,measured_current_mpc,ideal_piecewise_constant_current_slot,583.7604166666666,-226.8846166666666,0.0,0.0,0.0,0.0,0.0,0.0,583.7604166666666,1082.90625,1082.90625,0.0,0.0
D,2025-01-01,6,0,30,6790.569415042095,6790.569415042095,985.5701821953327,606.4487166666667,631.1683333333333,measured_current_mpc,ideal_piecewise_constant_current_slot,631.1683333333333,24.71961666666664,0.0,0.0,0.0,0.0,0.0,0.0,631.1683333333333,354.4018488619994,354.4018488619994,0.0,0.0
D,2025-01-01,7,0,29,6790.569415042095,6790.569415042095,833.3333333333333,858.0529499999999,650.0534166666666,measured_current_mpc,ideal_piecewise_constant_current_slot,650.0534166666666,-207.99953333333326,0.0,0.0,0.0,0.0,0.0,0.0,650.0534166666666,183.27991666666662,183.27991666666662,0.0,0.0
D,2025-01-01,8,0,28,6790.569415042095,6790.569415042095,833.3333333333333,625.3338,652.8062666666666,measured_current_mpc,ideal_piecewise_constant_current_slot,652.8062666666666,27.472466666666605,0.0,0.0,0.0,0.0,0.0,0.0,652.8062666666666,180.52706666666666,180.52706666666666,0.0,0.0
D,2025-01-01,9,0,27,6790.569415042095,6790.569415042095,1666.6666666666665,860.8057999999999,636.2133333333334,measured_current_mpc,ideal_piecewise_constant_current_slot,636.2133333333334,-224.5924666666665,0.0,0.0,0.0,0.0,0.0,0.0,636.2133333333334,1030.4533333333331,1030.4533333333331,0.0,0.0
D,2025-01-01,10,0,26,6790.569415042095,6790.569415042095,833.3333333333333,608.7408666666668,588.8356,measured_current_mpc,ideal_piecewise_constant_current_slot,588.8356,-19.905266666666762,0.0,0.0,0.0,0.0,0.0,0.0,588.8356,244.49773333333326,244.49773333333326,0.0,0.0
