strategy,date,event_hour,soc_kwh,scenario_count,node_count,objective,solve_seconds,max_eq_residual,max_ub_violation,latest_history_day,continuation_first_time,terminal_time,scenario_weight_sum,clip_rate,terminal_shortfall_expected_kwh,terminal_shortfall_binding_scenarios
D,2025-01-01,0,6000.0,1,1,128456.18599469298,0.017206100004841574,4.547473508864641e-13,0.0,-2,2025-01-02 00:10:00,2025-01-03 00:10:00,1.0,0.0,0.0,0
D,2025-01-01,6,10800.0,1,1,115322.47046032298,0.009022599988384172,4.547473508864641e-13,2.2737367544323206e-13,-2,2025-01-02 00:10:00,2025-01-03 00:10:00,1.0,0.0,0.0,0
D,2025-01-01,12,4189.535934518989,1,1,97808.52522675882,0.00720279999950435,0.0,2.2737367544323206e-13,-2,2025-01-02 00:10:00,2025-01-03 00:10:00,1.0,0.0,0.0,0
D,2025-01-01,18,9336.878074921662,1,1,78335.50414146832,0.0059160999953746796,4.547473508864641e-13,2.2737367544323206e-13,-2,2025-01-02 00:10:00,2025-01-03 00:10:00,1.0,0.0,0.0,0
D,2025-01-02,0,10800.0,1,1,119012.65064317953,0.011589800007641315,1.8189894035458565e-12,1.1368683772161603e-13,-1,2025-01-03 00:10:00,2025-01-04 00:10:00,1.0,0.0,0.0,0
D,2025-01-02,6,10800.0,1,1,107895.04437175534,0.008718700002646074,1.8189894035458565e-12,2.2737367544323206e-13,-1,2025-01-03 00:10:00,2025-01-04 00:10:00,1.0,0.0,0.0,0
D,2025-01-02,12,6421.499031490349,1,1,94292.08753100132,0.007826200002455153,1.8189894035458565e-12,1.7053025658242404e-13,-1,2025-01-03 00:10:00,2025-01-04 00:10:00,1.0,0.0,0.0,0
D,2025-01-02,18,10785.072046668152,1,1,78867.61040688276,0.005786399997305125,1.8189894035458565e-12,1.7053025658242404e-13,-1,2025-01-03 00:10:00,2025-01-04 00:10:00,1.0,0.0,0.0,0
D,2025-01-03,0,8354.995843783516,1,1,118757.59357144823,0.013955799993709661,1.8189894035458565e-12,1.1368683772161603e-13,0,2025-01-04 00:10:00,2025-01-05 00:10:00,1.0,0.0,0.0,0
D,2025-01-03,6,10800.0,1,1,107821.40489686183,0.008750299995881505,1.8189894035458565e-12,1.7053025658242404e-13,0,2025-01-04 00:10:00,2025-01-05 00:10:00,1.0,0.0,0.0,0
D,2025-01-03,12,10800.0,1,1,97459.61259237575,0.011259699997026473,1.8189894035458565e-12,1.7053025658242404e-13,0,2025-01-04 00:10:00,2025-01-05 00:10:00,1.0,0.0,0.0,0
D,2025-01-03,18,10800.0,1,1,78410.16672478184,0.009422499992069788,1.8189894035458565e-12,1.1368683772161603e-13,0,2025-01-04 00:10:00,2025-01-05 00:10:00,1.0,0.0,0.0,0
D,2025-01-04,0,10800.0,1,1,64603.2274093143,0.018635300002642907,4.547473508864641e-13,1.1368683772161603e-13,1,2025-01-05 00:10:00,2025-01-06 00:10:00,1.0,0.0,0.0,0
D,2025-01-04,6,10800.0,1,1,57481.47859215315,0.008787600003415719,9.094947017729282e-13,1.7053025658242404e-13,1,2025-01-05 00:10:00,2025-01-06 00:10:00,1.0,0.0,0.0,0
D,2025-01-04,12,9178.3828036712,1,1,51560.600463347655,0.008024599999771453,4.547473508864641e-13,1.7053025658242404e-13,1,2025-01-05 00:10:00,2025-01-06 00:10:00,1.0,0.0,0.0,0
D,2025-01-04,18,10800.0,1,1,44087.22007688194,0.006144700004369952,1.8189894035458565e-12,1.7053025658242404e-13,1,2025-01-05 00:10:00,2025-01-06 00:10:00,1.0,0.0,0.0,0
D,2025-01-05,0,9644.155105180886,1,1,37990.95933235134,0.011197600004379638,4.547473508864641e-13,1.1368683772161603e-13,2,2025-01-06 00:10:00,2025-01-07 00:10:00,1.0,0.0,0.0,0
D,2025-01-05,6,10373.327792848828,1,1,33135.008792318826,0.00866449999739416,4.547473508864641e-13,1.1368683772161603e-13,2,2025-01-06 00:10:00,2025-01-07 00:10:00,1.0,0.0,0.0,0
D,2025-01-05,12,3819.1188611337448,1,1,29488.420541597272,0.007225599998491816,4.547473508864641e-13,1.1368683772161603e-13,2,2025-01-06 00:10:00,2025-01-07 00:10:00,1.0,0.0,0.0,0
