date,root_event_hour,stage_hour,node_id,leaf_members,leaf_count
2025-03-20,0,0,0,0;1;2;3;4;5;6;7;8,9
2025-03-20,6,6,0,0;1;2;3;4;5;6;7;8,9
2025-03-20,12,12,0,0;1;2;3;4;5;6;7;8,9
2025-03-20,18,18,0,0;1;2;3;4;5;6;7;8,9
2025-06-21,0,0,0,0;1;2;3;4;5;6;7;8,9
2025-06-21,6,6,0,0;1;2;3;4;5;6;7;8,9
2025-06-21,12,12,0,0;1;2;3;4;5;6;7;8,9
2025-06-21,18,18,0,0;1;2;3;4;5;6;7;8,9
2025-09-23,0,0,0,0;1;2;3;4;5;6;7;8,9
2025-09-23,6,6,0,0;1;2;3;4;5;6;7;8,9
2025-09-23,12,12,0,0;1;2;3;4;5;6;7;8,9
2025-09-23,18,18,0,0;1;2;3;4;5;6;7;8,9
2025-12-21,0,0,0,0;1;2;3;4;5;6;7;8,9
2025-12-21,6,6,0,0;1;2;3;4;5;6;7;8,9
2025-12-21,12,12,0,0;1;2;3;4;5;6;7;8,9
2025-12-21,18,18,0,0;1;2;3;4;5;6;7;8,9
