date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-02-01,31,q4_2,B0,E0_matched_no_price_adaptation,19759.58018552622,19759.58018552622,0.0,0.0,17898.1445914072,15358.330132266474,5186.661148960987,4928.8966840945795,5209.430584957905,6000.0,6000.0,9.094947017729282e-13,19580.61680207623,19580.61680207623
2025-02-02,32,q4_2,B0,E0_matched_no_price_adaptation,101061.49813862197,45960.833180975606,55100.66495764634,9162.032866333322,21096.65208003327,19367.43225827994,56.87984583333423,0.0,6000.0,5598.975351382499,6000.0,9.094947017729282e-13,45989.35990322562,45989.35990322562
2025-02-03,33,q4_2,B0,E0_matched_no_price_adaptation,59986.1682453164,59962.957549597624,23.210695718778524,4.232439044270336,23971.81085203504,21194.184380581533,2807.3210270862373,0.0,5598.975351382499,6000.0,6000.0,1.8189894035458565e-12,59934.80067227264,59934.80067227264
2025-02-04,34,q4_2,B0,E0_matched_no_price_adaptation,60492.79643074185,60492.79643074185,0.0,0.0,24516.578428473866,22073.62859229315,2783.0887676456673,0.0,6000.0,5990.820955017803,6000.0,9.094947017729282e-13,60522.24757554182,60522.24757554182
2025-02-05,35,q4_2,B0,E0_matched_no_price_adaptation,60067.18167493115,59263.339789114,803.8418858171492,149.8155826666639,23978.296209151686,21571.758581569862,2003.9869083321455,0.0,5990.820955017803,6000.0,6000.0,9.094947017729282e-13,59285.22048563065,59285.22048563065
2025-02-06,36,q4_2,B0,E0_matched_no_price_adaptation,60036.09523138702,59936.15831505785,99.9369163291657,13.8129808333332,23147.890447280133,20844.830527385453,2912.3790202860896,0.0,6000.0,5987.636416855407,6000.0,9.094947017729282e-13,59812.936163141196,59812.936163141196
2025-02-07,37,q4_2,B0,E0_matched_no_price_adaptation,27455.01996370242,27455.01996370242,0.0,0.0,14337.249590274983,12891.795506414153,18878.57554310656,7912.179059115679,5987.636416855407,6000.0,6000.0,2.2737367544323206e-13,27455.22717388159,27455.22717388159
2025-02-08,38,q4_2,B0,E0_matched_no_price_adaptation,17216.38158873963,17216.38158873963,0.0,0.0,17009.816483059578,15308.834834753627,3353.318497735367,4648.036762685197,6000.0,6000.0,6000.0,9.094947017729282e-13,17260.118066785468,17260.118066785468
2025-02-09,39,q4_2,B0,E0_matched_no_price_adaptation,133365.42366822247,42436.06833522421,90929.35533299822,14772.244112539714,17795.91367644872,16599.24106095213,45.07829166666659,0.0,6000.0,5385.549684129413,6000.0,9.094947017729282e-13,42480.64120611172,42480.64120611172
2025-02-10,40,q4_2,B0,E0_matched_no_price_adaptation,56363.94208259,56076.7859483175,287.1561342724892,61.40960749999775,21828.831005057196,19149.375222569863,6736.844361340751,148.69274999999993,5385.549684129413,5908.9832504228725,6000.0,9.094947017729282e-13,56102.29399924667,56102.29399924667
2025-02-11,41,q4_2,B0,E0_matched_no_price_adaptation,56741.44012044571,55584.3673370186,1157.0727834270922,191.3080866666678,22602.130841466515,20256.597505069854,4359.831136284688,162.0572999999997,5908.9832504228725,5998.918692972908,6000.0,9.094947017729282e-13,55508.267621226936,55508.267621226936
2025-02-12,42,q4_2,B0,E0_matched_no_price_adaptation,55642.41027281246,55229.99109475372,412.41917805873624,81.702090833331,22342.98361243134,20150.949027521547,4426.453383051469,94.73593333333315,5998.918692972908,5954.3687610618235,6000.0,9.094947017729282e-13,55270.26766872869,55270.26766872869
2025-02-13,43,q4_2,B0,E0_matched_no_price_adaptation,55124.2623931471,54632.93011229336,491.3322808537487,82.51528666666638,20334.4227085588,18257.69084345291,7596.86208981345,662.82465,5954.3687610618235,6000.0,6000.0,9.094947017729282e-13,54534.170736118365,54534.170736118365
2025-02-14,44,q4_2,B0,E0_matched_no_price_adaptation,24229.579324154904,24229.579324154904,0.0,0.0,13683.942025670998,12315.547823103896,13973.903090261827,8473.090010015963,6000.0,6000.0,6000.0,9.094947017729282e-13,24234.675887350735,24234.675887350735
2025-02-15,45,q4_2,B0,E0_matched_no_price_adaptation,16266.764022934252,16266.764022934252,0.0,0.0,16267.294083287483,14659.262900375401,2492.4973065740733,4765.165321720448,6000.0,5980.290339826695,6000.0,9.094947017729282e-13,16364.678091830083,16364.678091830083
2025-02-16,46,q4_2,B0,E0_matched_no_price_adaptation,117877.76666462734,40349.23042920142,77528.53623542594,12635.72540433331,18339.712252534067,17070.319172479947,1.1787916666667115,0.0,5980.290339826695,5385.172721165696,6000.0,9.094947017729282e-13,40346.27417230975,40346.27417230975
2025-02-17,47,q4_2,B0,E0_matched_no_price_adaptation,53363.628472770026,52491.194613116284,872.4338596537486,141.12985249999974,21433.278889952715,18782.546212924826,4802.334760092603,613.6867958333346,5385.172721165696,5920.024329785035,6000.0,9.094947017729282e-13,52527.08228589546,52527.08228589546
2025-02-18,48,q4_2,B0,E0_matched_no_price_adaptation,51307.7889091016,50808.49928000111,499.2896291004871,79.35710566666467,21870.516854380938,19607.593586359522,3055.373299907432,49.794716666666545,5920.024329785035,6000.0,6000.0,1.8189894035458565e-12,50740.01646634695,50740.01646634695
2025-02-19,49,q4_2,B0,E0_matched_no_price_adaptation,52178.962474278494,50677.572124696424,1501.3903495820693,273.66801249999764,23079.629337043243,20972.008585672258,2692.2503267738766,148.7882141666671,6000.0,5788.820797472641,6000.0,4.547473508864641e-13,50705.71213821309,50705.71213821309
2025-02-20,50,q4_2,B0,E0_matched_no_price_adaptation,51246.449909552015,51023.276354151196,223.17355540081635,42.54230416666305,22200.028564949793,19779.68352612149,3129.602168703717,189.38294777777566,5788.820797472641,6000.0,6000.0,9.094947017729282e-13,50928.150229992854,50928.150229992854
2025-02-21,51,q4_2,B0,E0_matched_no_price_adaptation,23046.028736522614,23046.028736522614,0.0,0.0,13458.173052175942,12112.355746958352,13604.55038121122,10970.002028881385,6000.0,6000.0,6000.0,1.8189894035458565e-12,23050.407476839286,23050.407476839286
2025-02-22,52,q4_2,B0,E0_matched_no_price_adaptation,15607.415094262033,15607.415094262033,0.0,0.0,15873.148982119032,14299.735882240462,2493.913876851855,4977.9983735723,6000.0,5985.346217898112,6000.0,9.094947017729282e-13,15678.132398862035,15678.132398862035
2025-02-23,53,q4_2,B0,E0_matched_no_price_adaptation,109019.513212497,37593.923294820626,71425.58991767636,11695.86177991666,18132.962052096726,16931.83043648627,0.0,0.0,5985.346217898112,5340.068082552855,6000.0,9.094947017729282e-13,37601.777755920615,37601.777755920615
2025-02-24,54,q4_2,B0,E0_matched_no_price_adaptation,49924.62556804794,49113.28508482083,811.340483227107,162.8639030833302,21401.051138850537,18664.03134203293,4001.669957222235,804.2173925000029,5340.068082552855,5969.271404840893,6000.0,1.8189894035458565e-12,49149.51893410001,49149.51893410001
2025-02-25,55,q4_2,B0,E0_matched_no_price_adaptation,48540.39029610316,47687.873196576096,852.5170995270677,163.1465357499975,20102.267297752373,18169.011760558973,5085.580610090941,1623.6779983333347,5969.271404840893,5888.136643914873,6000.0,9.094947017729282e-13,47628.35393906777,47628.35393906777
2025-02-26,56,q4_2,B0,E0_matched_no_price_adaptation,47807.73815293802,47762.18823273112,45.54992020690693,8.995738166664745,20941.127013076355,18740.89141418688,2217.1163917592685,403.8492241666664,5888.136643914873,6000.0,6000.0,2.2737367544323206e-13,47796.62860216861,47796.62860216861
2025-02-27,57,q4_2,B0,E0_matched_no_price_adaptation,47780.91892806228,46657.65242083274,1123.266507229549,181.5556266666615,21915.18076762381,19723.66269086143,3500.3029745370454,855.7442319444432,6000.0,6000.0,6000.0,9.094947017729282e-13,46572.686775686896,46572.686775686896
2025-02-28,58,q4_2,B0,E0_matched_no_price_adaptation,20925.78110472426,20925.78110472426,0.0,0.0,13709.55904961925,12338.603144657322,11279.414112169445,11792.043513065939,6000.0,6000.0,6000.0,0.0,20923.443552974262,20923.443552974262
2025-03-01,59,q4_2,B0,E0_matched_no_price_adaptation,14652.86227281574,14652.86227281574,0.0,0.0,14794.728532446725,13315.255679202048,3291.5621218094448,7114.813991164892,6000.0,6000.0,6000.0,4.547473508864641e-13,14737.575315378239,14737.575315378239
2025-03-02,60,q4_2,B0,E0_matched_no_price_adaptation,133126.060925666,34114.40732915658,99011.65359650944,16321.998122999985,14735.32787667049,13854.545492192497,27.348124999999982,0.0,6000.0,5375.186213979822,6000.0,9.094947017729282e-13,34114.02853090659,34114.02853090659
2025-03-03,61,q4_2,B0,E0_matched_no_price_adaptation,61577.943582456865,46676.91747821396,14901.026104242914,2536.1780715833193,22431.14053259164,19644.34409514342,888.8487444444459,0.0,5375.186213979822,5948.277766562528,6000.0,1.8189894035458565e-12,46654.72026097229,46654.72026097229
2025-03-04,62,q4_2,B0,E0_matched_no_price_adaptation,49060.60679071309,46059.28974794546,3001.3170427676328,500.76519733332805,21497.017002676395,19433.23642824209,1061.8406965740762,53.58026500000056,5948.277766562528,5857.708947642772,6000.0,1.8189894035458565e-12,46082.46631512878,46082.46631512878
2025-03-05,63,q4_2,B0,E0_matched_no_price_adaptation,46219.678022772256,45245.20484985685,974.4731729154063,153.56977416666507,20806.553034780773,18620.791904645048,3625.9828771396687,488.63006666666683,5857.708947642772,5968.50021684044,6000.0,1.8189894035458565e-12,45264.527425515174,45264.527425515174
2025-03-06,64,q4_2,B0,E0_matched_no_price_adaptation,47431.73630706117,44718.12419496422,2713.61211209695,421.36807849999246,20195.277717266916,18290.909422031204,2471.0535170370413,569.9818833333334,5968.50021684044,5847.111470219071,6000.0,9.094947017729282e-13,44617.411926126726,44617.411926126726
2025-03-07,65,q4_2,B0,E0_matched_no_price_adaptation,20089.936651738295,20089.936651738295,0.0,0.0,12616.349306922377,11209.671581563474,10862.41325958722,12756.645478055567,5847.111470219071,6000.0,6000.0,2.2737367544323206e-13,20101.722750154964,20101.722750154964
