date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-02-01,31,q4_3,B1,E6_A_none,21346.55514198223,21346.55514198223,0.0,0.0,22996.19020695836,19294.819448073962,8891.251634749126,2972.797149114799,5212.752884667622,6690.328953592917,5959.22239405664,1.8189894035458565e-12,20927.45390157056,20927.45390157056
2025-02-02,32,q4_3,B1,E6_A_none,114541.19677276355,47001.60074542719,67539.59602733635,11196.376840366142,24256.3968432987,22221.99362465313,2992.8619789489912,0.0,6690.328953592917,6277.929508500696,5988.386682624427,9.094947017729282e-13,47001.60074542721,47001.60074542721
2025-02-03,33,q4_3,B1,E6_A_none,70665.93126824385,64336.937496768005,6328.993771475838,1054.881211813178,26110.466807269848,23763.043128363573,8846.312649161104,0.0,6277.929508500696,6000.046465379313,5999.514196553149,1.8189894035458565e-12,64581.18163921802,64581.18163921802
2025-02-04,34,q4_3,B1,E6_A_none,68602.24796107692,66524.24332389336,2078.004637183569,364.5917325875463,25903.543606458352,24017.344400367623,9769.340631070847,0.0,6000.046465379313,5257.801760531969,5967.483712055466,9.094947017729282e-13,66887.10757284338,66887.10757284338
2025-02-05,35,q4_3,B1,E6_A_none,68718.11710654479,62369.036965227824,6349.080141316978,1177.744947365387,27590.114230867886,23555.742019843372,5319.725001599539,0.0,5257.801760531969,6602.150069982035,5994.369685425077,9.094947017729282e-13,61761.9285738278,61761.9285738278
2025-02-06,36,q4_3,B1,E6_A_none,66580.58256398284,66255.29773457728,325.2848294055663,72.2898378392284,25080.784974553448,23899.690759644338,10603.164982128652,0.0,6602.150069982035,5203.385819285197,5999.999999875,9.094947017729282e-13,66665.14781582725,66665.14781582725
2025-02-07,37,q4_3,B1,E6_A_none,30395.955175474,30395.955175474,0.0,0.0,18353.627391965823,15748.866142461296,22736.81016127212,8074.6684495220225,5203.385819285197,6014.403059589735,5999.999999875001,9.094947017729282e-13,30153.024304446222,30153.024304446222
2025-02-08,38,q4_3,B1,E6_A_none,18419.77569364532,16571.091174608468,1848.6845190368545,372.49335463164505,21214.56930867963,18460.016952289134,2137.142415934951,3863.296601088008,6014.403059589735,6681.744233217976,5991.036742890272,4.547473508864641e-13,16404.17196438625,16404.17196438625
2025-02-09,39,q4_3,B1,E6_A_none,123940.23602264804,47001.1984907291,76939.03753191895,12543.613846145618,22357.03523560837,20727.644212088126,2571.4084188689276,0.0,6681.744233217976,6042.634741898241,5903.038579429183,9.094947017729282e-13,47001.19849072911,47001.19849072911
2025-02-10,40,q4_3,B1,E6_A_none,58392.33059426956,56892.55244388199,1499.7781503875715,269.1862895334614,28023.386981829488,25359.38613530223,7296.539171708288,39.78958333333344,6042.634741898241,5896.813842616067,5894.186251983162,2.2737367544323206e-13,57137.47754348934,57137.47754348934
