date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-02-01,31,q4_3,B1,E6_B_PV_only,21346.55514198223,21346.55514198223,0.0,0.0,22948.283268279545,19294.819448073962,8653.683973870067,3258.271748672674,5212.752884667622,6644.880441007597,5913.773881471319,1.8189894035458565e-12,20927.45390157056,20927.45390157056
2025-02-02,32,q4_3,B1,E6_B_PV_only,111818.9098041379,47023.269053187665,64795.640750950195,10761.832752028622,24780.295143376585,22650.385849912287,2510.718748630572,0.0,6644.880441007597,6277.929508500696,5988.386682624427,9.094947017729282e-13,47023.26905318769,47023.26905318769
2025-02-03,33,q4_3,B1,E6_B_PV_only,70602.50130723724,64336.937496768005,6265.563810469215,1065.230720033571,26098.967353691634,23752.693620143185,8857.812102739323,0.0,6277.929508500696,6000.046465379313,5999.514196553149,9.094947017729282e-13,64581.18163921802,64581.18163921802
2025-02-04,34,q4_3,B1,E6_B_PV_only,69594.79120564475,66524.24332389336,3070.5478817513954,524.3526003904309,25726.03153112181,23857.583532564742,9946.852706407393,0.0,6000.046465379313,5257.801760531969,5967.483712055466,1.8189894035458565e-12,66887.10757284338,66887.10757284338
2025-02-05,35,q4_3,B1,E6_B_PV_only,70580.45760484616,62369.036965227824,8211.420639618374,1495.8490550263987,27236.665222355652,23237.63791218236,5671.121510111771,2.052500000000009,5257.801760531969,6602.150069982035,5994.369685425077,9.094947017729282e-13,61761.9285738278,61761.9285738278
2025-02-06,36,q4_3,B1,E6_B_PV_only,70029.20533702843,66255.29773457728,3773.9076024511774,659.1386494800564,24428.730739528735,23312.84194800351,11255.219217153368,0.0,6602.150069982035,5203.385819410197,6000.0,9.094947017729282e-13,66665.14781582725,66665.14781582725
2025-02-07,37,q4_3,B1,E6_B_PV_only,30395.955175437135,30395.955175437135,0.0,0.0,18353.62739210546,15748.866142586978,22478.74570852864,8332.732902131887,5203.385819410197,6014.403059714734,6000.0,9.094947017729282e-13,30153.02430440936,30153.02430440936
2025-02-08,38,q4_3,B1,E6_B_PV_only,16571.091174569654,16571.091174569654,0.0,0.0,21637.898916134596,18832.510306919638,2992.5173763392622,2584.592033095834,6014.403059714734,6690.707490202705,5999.999999874999,4.547473508864641e-13,16404.171964347435,16404.171964347435
2025-02-09,39,q4_3,B1,E6_B_PV_only,111294.29542056457,46996.99880928755,64297.29661127702,10529.182791766796,24585.84386161128,22742.07526768829,333.1516917813535,0.0,6690.707490202705,6042.634741898241,5903.038596880657,9.094947017729282e-13,46996.99880928756,46996.99880928756
2025-02-10,40,q4_3,B1,E6_B_PV_only,64491.66827740046,56892.55244388199,7599.11583351847,1216.9942788277633,26970.2669937247,24411.57814600793,8389.448743146397,0.0,6042.634741898241,5896.813842616067,5894.186251983162,9.094947017729282e-13,57137.47754348934,57137.47754348934
2025-02-11,41,q4_3,B1,E6_B_PV_only,69424.70178594117,57455.67261858817,11969.029167353017,2026.4380573766762,23907.198083501233,22164.71804355909,8573.50685114815,34.529191734417296,5896.813842616067,5213.509129926306,6000.0,4.547473508864641e-13,57686.706593980816,57686.706593980816
2025-02-12,42,q4_3,B1,E6_B_PV_only,63290.08045044685,58027.48831706335,5262.592133383514,856.5315824992804,26922.333301959054,22992.760343340033,7558.435804460891,0.0,5213.509129926306,6517.779618260802,5993.640802511412,1.8189894035458565e-12,57551.53952535749,57551.53952535749
2025-02-13,43,q4_3,B1,E6_B_PV_only,59118.163628525246,52446.365420938586,6671.798207586662,1054.2848860392992,22893.971394264212,21844.584748405578,6607.856704448869,74.49394841269742,6517.779618260802,5210.693790866224,5996.949601299453,1.8189894035458565e-12,52820.34304186109,52820.34304186109
2025-02-14,44,q4_3,B1,E6_B_PV_only,25970.899386743735,25970.899386743735,0.0,0.0,19577.773184749716,17615.652347156352,17712.00033656199,7525.127367085338,5210.693790866224,5215.272262024419,5999.999999815253,9.094947017729282e-13,26007.21082430244,26007.21082430244
2025-02-15,45,q4_3,B1,E6_B_PV_only,18140.124146749557,18061.65974227529,78.46440447427092,20.309609375000036,22122.059750663106,19233.705147085555,5588.714477726036,4595.607558178484,5215.272262024419,5927.995496322604,5999.999999875,9.094947017729282e-13,17906.930422491572,17906.930422491572
2025-02-16,46,q4_3,B1,E6_B_PV_only,122213.51920786366,44416.94793345838,77796.57127440533,12671.446840009372,22353.43206331006,20605.563286289216,4947.494264026187,0.0,5927.995496322604,5414.152330418975,5963.845890495728,9.094947017729282e-13,44413.65505746672,44413.65505746672
2025-02-17,47,q4_3,B1,E6_B_PV_only,63110.28739399529,57707.911535415784,5402.375858579519,844.7279653940788,23511.48913380222,20668.251845197203,12606.189502839943,57.64768284391522,5414.152330418975,5932.859022352954,5970.060060589945,4.547473508864641e-13,57699.15921031995,57699.15921031995
2025-02-18,48,q4_3,B1,E6_B_PV_only,63021.089265138784,49699.67185220891,13321.417412929877,2075.878791215017,22498.838744261437,20945.33493215678,3700.356328856576,0.0,5932.859022352954,5198.809984330983,5973.039446177069,9.094947017729282e-13,49963.77881679618,49963.77881679618
2025-02-19,49,q4_3,B1,E6_B_PV_only,62426.53351077184,50762.7160045799,11663.817506191934,2048.9248547360594,25003.267104981038,22575.164705161373,3221.0329804320368,0.0,5198.809984330983,5122.678876271152,5982.470079332188,9.094947017729282e-13,50827.40695964683,50827.40695964683
2025-02-20,50,q4_3,B1,E6_B_PV_only,56930.67541010958,53230.920943022174,3699.7544670873945,590.2107679409878,26670.579660982283,23944.490966016343,6760.218815127853,34.52385530864029,5122.678876271152,5184.902727991774,5975.472143033869,4.547473508864641e-13,53065.72410913049,53065.72410913049
2025-02-21,51,q4_3,B1,E6_B_PV_only,22890.852504677332,22890.852504677332,0.0,0.0,18699.80885755145,16763.7385162742,14075.10971110947,9868.66101519645,5184.902727991774,5254.567130915188,5931.392998669,1.8189894035458565e-12,22868.386928410677,22868.386928410677
2025-02-22,52,q4_3,B1,E6_B_PV_only,16660.48474571723,16660.48474571723,0.0,0.0,23332.404719480946,19790.946633712563,4138.655072731048,4290.272221892436,5254.567130915188,6528.140320517136,5999.999999875,9.094947017729282e-13,16275.824415317233,16275.824415317233
2025-02-23,53,q4_3,B1,E6_B_PV_only,115609.24282267185,38014.83436969365,77594.40845297821,12638.619906271266,21161.726156032008,20809.29495778046,2068.2159760503773,0.0,6528.140320517136,4668.993626382188,5989.219111495757,9.094947017729282e-13,38554.373763443655,38554.373763443655
