date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-02-01,31,q4_3,B1,E6_C_revision_only,22233.287852158446,22233.287852158446,0.0,0.0,22240.364234869572,18590.875536201376,9134.037499677963,3388.790504831886,5212.752884667622,6715.311513148234,5952.654933740963,1.8189894035458565e-12,20927.45390157056,21814.186611746773
2025-02-02,32,q4_3,B1,E6_C_revision_only,90948.25369982059,57207.21122248626,33741.04247733426,5762.895923816826,26513.896283724607,24378.751386691474,3570.9133245317034,0.0,6715.311513148234,6171.141786116904,5978.441546639956,9.094947017729282e-13,46989.68990922388,57207.21122248629
2025-02-03,33,q4_3,B1,E6_C_revision_only,70319.07142221282,69300.5062524359,1018.5651697768988,180.05441639235823,26482.311587520093,23995.934836790308,10806.996900765938,0.0,6171.141786116904,6000.532259887416,5999.999991061252,9.094947017729282e-13,64631.12634481734,69544.75039488592
2025-02-04,34,q4_3,B1,E6_C_revision_only,70971.94128165455,70112.30946157691,859.6318200776303,155.58514508432455,25244.623188317237,23424.55630095823,11917.663082452362,0.0,6000.532259887416,5258.0342809304675,5967.710461893262,9.094947017729282e-13,66886.89163190965,70475.17234374309
2025-02-05,35,q4_3,B1,E6_C_revision_only,70750.67192517182,65846.02933370974,4904.642591462124,910.7640456976748,26946.063022440892,22980.995770734735,7366.912740886013,0.0,5258.0342809304675,6597.217707130534,6000.0,4.547473508864641e-13,61761.81738384421,65238.922309093556
2025-02-06,36,q4_3,B1,E6_C_revision_only,69571.74746117611,69457.74625714644,114.00120402968062,26.52407120139037,24760.577734987444,23628.4041187842,12605.902029767836,0.0,6597.217707130534,5180.639424307284,6000.0,1.8189894035458565e-12,66667.24411993967,69867.59633839644
2025-02-07,37,q4_3,B1,E6_C_revision_only,31165.459401742894,31165.459401742894,0.0,0.0,18361.143507692363,15734.051521490197,23583.499296177983,8017.314533966465,5180.639424307284,6014.403059714734,6000.0,9.094947017729282e-13,30159.806623087614,30922.52853071512
2025-02-08,38,q4_3,B1,E6_C_revision_only,18036.557890478325,18036.557890478325,0.0,0.0,21322.665845246378,18548.800543001653,3791.4141098666532,4083.3381840858115,6014.403059714734,6690.707490327704,6000.0,4.547473508864641e-13,16404.171964347435,17869.638680256103
2025-02-09,39,q4_3,B1,E6_C_revision_only,85940.91579752165,60108.94273192589,25831.973065595732,4506.8295778453285,24469.754921425207,22637.595221639418,1786.4621518628826,0.0,6690.707490327704,6042.634741898241,5929.020805466189,9.094947017729282e-13,46996.99880922909,60108.94273192589
2025-02-10,40,q4_3,B1,E6_C_revision_only,60400.73480160098,60383.11143778431,17.623363816667776,3.468483333333552,26817.495083782178,24250.59399913349,9470.430017107374,39.78958333333344,6042.634741898241,5921.573873676435,5918.946409815957,9.094947017729282e-13,57137.47754348934,60628.03662565048
2025-02-11,41,q4_3,B1,E6_C_revision_only,63697.87331410136,59559.41328096405,4138.460033137299,757.3893344222904,24493.006507875227,22820.59700208041,8492.407953127646,116.48161666666647,5921.573873676435,5102.658702945415,5962.009538904193,9.094947017729282e-13,57676.433827236906,59790.447168097875
2025-02-12,42,q4_3,B1,E6_C_revision_only,61189.04869933476,60170.485498990194,1018.5632003445708,199.50438841766632,27140.98590783419,23219.992973434786,8353.856180130293,0.0,5102.658702945415,6374.8370432788915,5967.824488884654,9.094947017729282e-13,57602.42622303517,59694.5315702528
2025-02-13,43,q4_3,B1,E6_C_revision_only,56045.745859176386,55529.555530877165,516.1903282992312,95.23278570715793,22470.51901665326,21324.976512790443,7361.025015865959,126.08924999999999,6374.8370432788915,5213.74418956677,6000.0,9.094947017729282e-13,52890.42544135735,55903.538288831194
2025-02-14,44,q4_3,B1,E6_C_revision_only,26364.72879007417,26364.72879007417,0.0,0.0,19603.6044807694,17618.543851446415,18726.893842943802,6630.880088289204,5213.74418956677,5239.780466685584,6000.0,1.8189894035458565e-12,26006.33108980977,26391.531768972272
2025-02-15,45,q4_3,B1,E6_C_revision_only,18576.802471629933,18498.338067155662,78.46440447427092,20.309609375000036,21807.633635179664,18973.972171216163,5787.65545545948,4229.281625753534,5239.780466685584,5927.995492487335,6000.0,9.094947017729282e-13,17913.17391156404,18353.117206032563
2025-02-16,46,q4_3,B1,E6_C_revision_only,88192.81439593046,51741.419428008325,36451.39496792215,6276.043247800102,25580.933711937883,23510.314766415802,2330.4120263685018,0.0,5927.995492487335,5414.152330418975,5963.845890495728,1.8189894035458565e-12,44413.65505899901,51738.12655201666
2025-02-17,47,q4_3,B1,E6_C_revision_only,60970.00602563847,59981.70957676251,988.2964488759656,154.25964938888788,23406.04107181136,20573.34873812635,12996.31329572838,380.8714366514831,5414.152330418975,5932.858865587349,5970.059903824341,4.547473508864641e-13,57699.15921031995,59972.95725166668
2025-02-18,48,q4_3,B1,E6_C_revision_only,55266.929118009946,54561.37336504289,705.5557529670568,121.47919147501406,22829.04847765475,21242.52668521783,4190.640724024422,0.0,5932.858865587349,5198.806672658916,5973.036134495792,9.094947017729282e-13,49963.77889171368,54825.48032961884
2025-02-19,49,q4_3,B1,E6_C_revision_only,58478.76645831813,53731.71495258301,4747.051505735118,909.6732871210467,25088.35180250913,22651.738085490928,3631.871312382586,0.0,5198.806672658916,5122.678566070426,5982.469769131461,9.094947017729282e-13,50827.40864118362,53796.40590766123
2025-02-20,50,q4_3,B1,E6_C_revision_only,57777.49055410674,55986.973425870194,1790.5171282365554,334.6441023962938,25913.4055031155,23262.24506607462,8043.2466842175945,209.97726689594307,5122.678566070426,5185.734263216422,5973.543825528048,4.547473508864641e-13,53065.72426203063,55815.93451876044
2025-02-21,51,q4_3,B1,E6_C_revision_only,23924.235943243773,23924.235943243773,0.0,0.0,17772.218109010424,15960.109960351718,12386.52984393145,10185.139032522913,5185.734263216422,5222.507692061797,5899.333559815609,1.8189894035458565e-12,22878.347614408784,23907.61244019516
2025-02-22,52,q4_3,B1,E6_C_revision_only,16942.16277183787,16942.16277183787,0.0,0.0,22941.466061622767,19408.687587336524,2860.163782613469,4854.601588335164,5222.507692061797,6528.140320642136,6000.0,9.094947017729282e-13,16287.675829135578,16557.502441437868
2025-02-23,53,q4_3,B1,E6_C_revision_only,86935.59723206869,47087.05381975885,39848.54341230985,6772.121760898152,23577.13589323609,22983.163721382723,1426.0315783917158,0.0,6528.140320642136,4668.993626382188,6000.0,9.094947017729282e-13,38554.3737633851,47626.59321350885
2025-02-24,54,q4_3,B1,E6_C_revision_only,54647.94888465488,52419.4314160184,2228.517468636477,372.37751489824325,26848.87786362939,22653.44883033127,5550.426457921094,168.5168936581431,4668.993626382188,6261.243906364195,5886.25105601642,4.547473508864641e-13,49953.868925151044,51879.89202226838
