date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-02-01,31,q4_2,B0,E9_formal_lag1_measurement,19999.12051347066,19999.12051347066,0.0,0.0,20789.677322698677,17297.245588178812,5505.734682353637,4543.830197646374,5209.430584957905,6699.352464213692,6000.0,9.094947017729282e-13,19583.351833595665,19583.351833595665
2025-02-02,32,q4_2,B0,E9_formal_lag1_measurement,103838.93070547086,46430.79141215857,57408.139293312306,9578.004268436674,23582.96463747893,21789.024971897696,669.7957816666654,0.0,6699.352464213692,6104.4681658114905,6000.0,9.094947017729282e-13,46430.79141215855,46430.79141215855
2025-02-03,33,q4_2,B0,E9_formal_lag1_measurement,60075.16923075627,60075.16923075627,0.0,0.0,25457.557474243524,23010.908930902508,2820.126745370386,0.0,6104.4681658114905,6000.0,6000.0,1.8189894035458565e-12,60312.34437210627,60312.34437210627
2025-02-04,34,q4_2,B0,E9_formal_lag1_measurement,60453.29518151902,60453.29518151902,0.0,0.0,27504.681778374885,25524.436365954058,2816.2859188888992,0.0,6000.0,5188.113918523256,6000.0,9.094947017729282e-13,60857.246326318986,60857.246326318986
2025-02-05,35,q4_2,B0,E9_formal_lag1_measurement,61198.540917707454,60247.62668275204,950.9142349554268,196.95044374999407,29179.930997112097,24900.512298650905,2066.3126400925994,2.052500000000009,5188.113918523256,6623.182504159417,6000.0,1.8189894035458565e-12,59606.500396602016,59606.500396602016
2025-02-06,36,q4_2,B0,E9_formal_lag1_measurement,59997.141421486835,59850.853645126736,146.28777636009096,23.387626574073806,27067.592499949547,25888.29536112126,3167.428051759272,0.0,6623.182504159417,5013.09606719409,6000.0,1.8189894035458565e-12,60285.138475876745,60285.138475876745
2025-02-07,37,q4_2,B0,E9_formal_lag1_measurement,27503.67719704361,27503.67719704361,0.0,0.0,17611.071617955942,15663.70517832702,18997.86628103851,7886.074403035584,5013.09606719409,5209.430584957905,6000.0,9.094947017729282e-13,27514.96774055611,27514.96774055611
2025-02-08,38,q4_2,B0,E9_formal_lag1_measurement,17837.828067407674,17837.828067407674,0.0,0.0,24359.35362134446,20593.194967543357,3572.174927592596,4481.271054351862,5209.430584957905,6611.609051048954,6000.0,9.094947017729282e-13,17392.25269314518,17392.25269314518
2025-02-09,39,q4_2,B0,E9_formal_lag1_measurement,135609.15049669723,42620.88745389578,92988.26304280141,15128.657364916658,19800.100678610168,19084.45477249914,579.781916666669,0.0,6611.609051048954,5278.852203375772,6000.0,9.094947017729282e-13,42874.68884375829,42874.68884375829
2025-02-10,40,q4_2,B0,E9_formal_lag1_measurement,56282.47409155104,56267.442828713545,15.031262837492406,6.784591666663239,25045.366170604477,22696.796505877363,6680.002357590076,148.69274999999993,5278.852203375772,5114.448600346357,6000.0,9.094947017729282e-13,56694.534212976054,56694.534212976054
2025-02-11,41,q4_2,B0,E9_formal_lag1_measurement,57496.19538044882,56218.75074559424,1277.4446348545835,214.39605708333306,28702.549154635337,25047.242589647612,4462.923259189962,162.0572999999997,5114.448600346357,5941.9656981359285,6000.0,9.094947017729282e-13,55741.06769646925,55741.06769646925
2025-02-12,42,q4_2,B0,E9_formal_lag1_measurement,56358.026635014125,55810.24016954815,547.7864654659688,102.49077299999499,26746.034124174887,23602.714165531608,4601.300210092603,94.73593333333315,5941.9656981359285,6436.036319162971,6000.0,9.094947017729282e-13,55607.03044454813,55607.03044454813
2025-02-13,43,q4_2,B0,E9_formal_lag1_measurement,54804.055171242704,54490.274299131466,313.7808721112363,55.086870833331204,21764.165141380243,20814.34817082556,7657.1368066024,662.82465,6436.036319162971,5143.086874280867,6000.0,9.094947017729282e-13,54887.16788859815,54887.16788859815
2025-02-14,44,q4_2,B0,E9_formal_lag1_measurement,24753.768840957728,24753.768840957728,0.0,0.0,19823.682149953725,17028.374764708355,14349.598457870374,8247.943052500004,5143.086874280867,6000.0,6000.0,9.094947017729282e-13,24506.698737486895,24506.698737486895
2025-02-15,45,q4_2,B0,E9_formal_lag1_measurement,16922.88713795213,16922.88713795213,0.0,0.0,23993.348817591173,21110.144532569862,2573.9074674074045,4780.827914313039,6000.0,6510.043134791685,6000.0,1.8189894035458565e-12,16773.066260553776,16773.066260553776
