date,day_index,event_hour,branch,level,label,soc_event,scenario_k,scenario_weights,scenario_source_days,history_source_days,expected_cash,scenario_cvar_cash,level1,level2_throughput,level3_curtailment,pred_emergency_kwh,pred_unused_kwh,pred_curtailment_kwh,solve_seconds,max_eq_residual,epsilon,risk_lambda,alpha,contract_changed_kwh,contracts_locked,schema_hash
2025-01-09,8,0,q4_2,B1,B1,5196.841038188668,3,0.666666666667;0.166666666667;0.166666666667,1;2;4,1;2;3;4;5;6,111841.76716286918,228397.19836039277,112481.76705038747,61553.76097411827,0.0,4955.646337413549,8638.623902139276,0.0,0.20525400000042282,1.8189894035458565e-12,0.0,0.0,0.8,95954.57623081857,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-10,9,0,q4_2,B1,B1,4768.181113796256,3,0.428571428571;0.428571428571;0.142857142857,1;3;4,1;2;3;4;5;6;7,60598.45655708154,150246.39693041175,60898.88974484517,55337.0828572041,0.0,4628.586770569094,5541.359813032313,0.0,0.24856170000566635,1.8189894035458565e-12,0.0,0.0,0.8,70833.49607786056,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-11,10,0,q4_2,B1,B1,6251.016175559329,3,0.375;0.5;0.125,1;3;4,1;2;3;4;5;6;7;8,42683.3604284842,117980.3583146956,42934.27819887758,53839.75174237051,0.0,4094.896189955893,6446.41715352023,0.0,0.26498459999857005,1.8189894035458565e-12,0.0,0.0,0.8,53574.86808665945,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-12,11,0,q4_2,B1,B1,6255.957984238907,3,0.444444444444;0.111111111111;0.444444444444,5;2;3,1;2;3;4;5;6;7;8;9,59170.21620183104,67065.45617090933,60008.84979248072,46683.69668676391,296.6885185592945,0.0,11795.41997754671,296.68851855929455,0.24601979999715695,9.094947017729282e-13,0.0,0.0,0.8,80092.4150323222,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-13,12,0,q4_2,B1,B1,3776.5097736658813,3,0.5;0.4;0.1,10;5;2,1;2;3;4;5;6;7;8;9;10,79582.39652404524,86874.67351390897,80036.38623227944,55364.71796007255,0.0,0.0,9291.257315063285,0.0,0.22808359999908134,9.094947017729282e-13,0.0,0.0,0.8,99659.04984911758,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-14,13,0,q4_2,B1,B1,4657.706953266711,3,0.454545454545;0.454545454545;0.0909090909091,10;5;2,1;2;3;4;5;6;7;8;9;10;11,79660.21568079837,86799.29665233576,80267.3018496307,55984.36902136709,0.0,0.0,8311.595076716185,0.0,0.185993300001428,3.922195901395753e-12,0.0,0.0,0.8,98073.18300556543,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-15,14,0,q4_2,B1,B1,5265.8908004227405,3,0.5;0.416666666667;0.0833333333333,10;5;2,1;2;3;4;5;6;7;8;9;10;11;12,77595.38098102661,84882.37124554855,78040.46683731573,43892.44811792953,0.0,0.0,8417.628273504153,0.0,0.21273549999750685,1.3642420526593924e-12,0.0,0.0,0.8,96801.20942695974,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-16,15,0,q4_2,B1,B1,4960.76246951368,3,0.538461538462;0.384615384615;0.0769230769231,13;5;2,1;2;3;4;5;6;7;8;9;10;11;12;13,77324.7466977779,86112.88739423432,77518.47660934986,57052.582666037444,0.0,0.0,6994.964487537293,0.0,0.1963677000021562,9.094947017729282e-13,0.0,0.0,0.8,98601.39112104409,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-17,16,0,q4_2,B1,B1,4861.207979438534,3,0.571428571429;0.357142857143;0.0714285714286,10;5;2,1;2;3;4;5;6;7;8;9;10;11;12;13;14,39252.633590004654,44366.8502509972,39713.97846516712,50491.057988455104,410.76340179383,0.0,7862.768700359196,410.76340179383,0.17669630000455072,1.9326762412674725e-12,0.0,0.0,0.8,71104.79496674334,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-18,17,0,q4_2,B1,B1,4720.439613983959,3,0.6;0.333333333333;0.0666666666667,13;5;2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,26807.918516233785,31032.321848608077,26973.239304680246,50268.73104683547,928.8494472726313,0.0,5825.628561758043,928.8494472726312,0.1965749999944819,1.8189894035458565e-12,0.0,0.0,0.8,55607.87639941235,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-19,18,0,q4_2,B1,B1,6394.915906148007,3,0.625;0.3125;0.0625,10;5;2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,59373.31286149036,65842.43198130296,59979.805525544914,49557.40701456841,195.8511947543017,0.0,7487.5394069150825,195.8511947543017,0.21079050000116695,1.8189894035458565e-12,0.0,0.0,0.8,78904.47404309324,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
