date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-01-09,8,q4_2,B2,B2_a0.8_l0.10_q75,105387.80636356965,105387.80636356965,0.0,0.0,25111.767199778362,23705.93918771557,34204.072147557825,0.0,5196.841038188668,4031.701196276759,4400.000143232672,4.547473508864641e-13,104939.1347034738,104939.1347034738
2025-01-10,9,q4_2,B2,B2_a0.8_l0.10_q75,59844.147957300695,59844.147957300695,0.0,0.0,13064.569965060946,9946.941598206453,47182.24280474698,4135.242077764283,4031.701196276759,5940.843450673187,5314.285714285714,2.2737367544323206e-13,59641.84104613402,59641.84104613402
2025-01-11,10,q4_2,B2,B2_a0.8_l0.10_q75,47839.16255944556,47839.16255944556,0.0,0.0,15693.04587379571,14107.107849795539,34601.06066926262,1365.6748098275689,5940.843450673187,5958.376632352239,5400.0,9.094947017729282e-13,47839.16255944557,47839.16255944557
2025-01-12,11,q4_2,B2,B2_a0.8_l0.10_q75,164196.99065267498,59788.768390229816,104408.2222624451,14773.918593223698,21092.538914097175,18804.71480275993,4225.828409319826,0.0,5958.376632352239,6146.606171434965,6000.0,4.547473508864641e-13,59788.76839022982,59788.76839022982
2025-01-13,12,q4_2,B2,B2_a0.8_l0.10_q75,77647.63981468939,74543.91081218958,3103.72900249982,526.9903407217189,29424.69607678924,27253.63952382224,7926.1392949540805,0.0,6146.606171434965,5333.465414875724,6000.0,1.8189894035458565e-12,75006.08098897396,75006.08098897396
2025-01-14,13,q4_2,B2,B2_a0.8_l0.10_q75,78074.31185933537,74472.44872391697,3601.8631354184045,575.2333045177804,26692.41073835909,23569.790337025148,6931.053258429865,0.0,5333.465414875724,5811.369187852128,6000.0,9.094947017729282e-13,74281.97202418257,74281.97202418257
2025-01-15,14,q4_2,B2,B2_a0.8_l0.10_q75,87257.3073487898,73885.21550131585,13372.091847473943,1839.8986174835295,25904.122752978812,23184.49761644525,6330.845774533791,0.0,5811.369187852128,5947.571502682815,6000.0,9.094947017729282e-13,73873.41378886587,73873.41378886587
2025-01-16,15,q4_2,B2,B2_a0.8_l0.10_q75,76989.52922273018,73355.85197790676,3633.677244823415,564.0591102190994,27679.67031983263,25711.191801701676,6815.226164149752,0.0,5947.571502682815,5104.836613710696,6000.0,9.094947017729282e-13,73547.40299768178,73547.40299768178
2025-01-17,16,q4_2,B2,B2_a0.8_l0.10_q75,38343.31212618606,38343.31212618606,0.0,0.0,18111.31906307316,16200.96060316684,23488.0048927403,4447.301496840695,5104.836613710696,5209.430584957905,6000.0,2.2737367544323206e-13,38313.53635579439,38313.53635579439
2025-01-18,17,q4_2,B2,B2_a0.8_l0.10_q75,27252.850120539988,27252.850120539988,0.0,0.0,23740.51211678735,20051.373689164175,8561.647431478987,1800.0277164327883,5209.430584957905,6595.654226342621,6000.0,4.547473508864641e-13,26831.18310655666,26831.18310655666
