date,day_index,plan_j,B_kwh,A_kwh,delta_A_minus_B_kwh,price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-01-09,8,0,1592.2532494444442,1592.2532494444442,0.0,0.4191,667.3133368421666,667.3133368421666
2025-01-09,8,1,1456.3917283333333,1456.3917283333333,0.0,0.4194,610.810690863,610.810690863
2025-01-09,8,2,616.9155000000001,616.9155000000001,0.0,0.438,270.20898900000003,270.20898900000003
2025-01-09,8,3,642.8977108333332,642.8977108333332,0.0,0.4088,262.81658418866664,262.81658418866664
2025-01-09,8,4,1461.4319941666668,1461.4319941666668,0.0,0.4364,637.7689222543333,637.7689222543333
2025-01-09,8,5,804.0897417323728,804.0897417323728,0.0,0.5088,409.1208605934313,409.1208605934313
2025-01-09,8,6,0.0,0.0,0.0,0.5012,0.0,0.0
2025-01-09,8,7,750.1147890740741,750.1147890740741,0.0,0.478,358.5548691774074,358.5548691774074
2025-01-09,8,8,1448.6085833333332,1448.6085833333332,0.0,0.4707,681.860060175,681.860060175
2025-01-09,8,9,764.7665832407407,764.7665832407407,0.0,0.4535,346.8216454996759,346.8216454996759
2025-01-09,8,10,0.0,0.0,0.0,0.4965,0.0,0.0
2025-01-09,8,11,0.0,0.0,0.0,0.5399,0.0,0.0
2025-01-09,8,12,1500.6793191666666,1500.6793191666666,0.0,0.4534,680.4080033101667,680.4080033101667
2025-01-09,8,13,1514.3918591666666,1514.3918591666666,0.0,0.4312,653.0057696726667,653.0057696726667
2025-01-09,8,14,1463.4433333333332,1463.4433333333332,0.0,0.4938,722.6483179999999,722.6483179999999
2025-01-09,8,15,691.9212466666668,691.9212466666668,0.0,0.475,328.6625921666667,328.6625921666667
2025-01-09,8,16,834.9237889814816,834.9237889814816,0.0,0.4826,402.934220562463,402.934220562463
2025-01-09,8,17,1464.0219166666668,1464.0219166666668,0.0,0.5133,751.482449825,751.482449825
2025-01-09,8,18,670.0667183333333,670.0667183333333,0.0,0.4523,303.0711767021666,303.0711767021666
2025-01-09,8,19,0.0,0.0,0.0,0.4587,0.0,0.0
2025-01-09,8,20,810.2258055555556,810.2258055555556,0.0,0.5359,434.20000919722224,434.20000919722224
2025-01-09,8,21,1329.8762077400056,1329.8762077400056,0.0,0.5214,693.3974547156389,693.3974547156389
2025-01-09,8,22,796.9269832785142,796.9269832785142,0.0,0.4921,392.1677684713568,392.1677684713568
2025-01-09,8,23,24.893074074074093,24.893074074074093,0.0,0.5031,12.523705566666676,12.523705566666676
2025-01-09,8,24,300.9240573269219,300.9240573269219,0.0,0.5235,157.5337440106436,157.5337440106436
2025-01-09,8,25,1542.8394461182343,1542.8394461182343,0.0,0.5153,795.0251665847261,795.0251665847261
2025-01-09,8,26,833.3333333333333,833.3333333333333,0.0,0.4959,413.24999999999994,413.24999999999994
2025-01-09,8,27,707.1448450000001,707.1448450000001,0.0,0.5105,360.9974433725,360.9974433725
2025-01-09,8,28,38.921914259259324,38.921914259259324,0.0,0.4981,19.387005492537067,19.387005492537067
2025-01-09,8,29,1465.6829166666666,1465.6829166666666,0.0,0.4678,685.6464684166666,685.6464684166666
2025-01-09,8,30,710.9047908333333,710.9047908333333,0.0,0.4969,353.24859056508336,353.24859056508336
2025-01-09,8,31,0.0,0.0,0.0,0.543,0.0,0.0
2025-01-09,8,32,638.5941666666668,638.5941666666668,0.0,0.5172,330.280903,330.280903
2025-01-09,8,33,1524.5616308333333,1524.5616308333333,0.0,0.4212,642.1453589070001,642.1453589070001
2025-01-09,8,34,968.838770462963,968.838770462963,0.0,0.6542,633.8143236368704,633.8143236368704
2025-01-09,8,35,922.8476666666668,922.8476666666668,0.0,1.0808,997.4137581333334,997.4137581333334
2025-01-09,8,36,988.6639241666667,988.6639241666667,0.0,1.1405,1127.5712055120835,1127.5712055120835
2025-01-09,8,37,990.9069350000002,990.9069350000002,0.0,1.096,1086.0340007600003,1086.0340007600003
2025-01-09,8,38,949.3995833333333,949.3995833333333,0.0,1.1079,1051.839798375,1051.839798375
2025-01-09,8,39,668.553725785775,668.553725785775,0.0,1.0647,711.8091518441146,711.8091518441146
2025-01-09,8,40,80.94370833333335,80.94370833333335,0.0,1.0185,82.44116693750001,82.44116693750001
