date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-01-09,8,q4_2,B2,B2_eps0,79706.54010573411,76957.82901942218,2748.711086311943,438.42304886106024,34258.72623360511,31239.516121059278,2899.064508806382,0.0,5196.841038188668,4768.181113796256,5200.0,9.094947017729282e-13,76509.15735932633,76509.15735932633
2025-01-10,9,q4_2,B2,B2_eps0,37395.166849198125,37395.166849198125,0.0,0.0,21751.671759052602,18169.763726289013,19130.146930447485,3264.8295646471333,4768.181113796256,6251.016175559329,5624.458439171855,1.8189894035458565e-12,37192.85993803147,37192.85993803147
2025-01-11,10,q4_2,B2,B2_eps0,26963.970653522614,25648.19775394792,1315.7728995746993,240.22252123483293,27359.84135347658,24619.169006772427,5940.676327829113,453.9536499501952,6251.016175559329,6255.957984238907,5686.352733340427,1.8189894035458565e-12,25648.197753947916,25648.197753947916
2025-01-12,11,q4_2,B2,B2_eps0,160323.95641740455,58666.809640547785,101657.14677685674,14459.321237169752,20910.468773951383,21171.633002308106,3905.695431181884,0.0,6255.957984238907,3776.5097736658813,4951.707936676822,9.094947017729282e-13,58666.80964054777,58666.80964054777
2025-01-13,12,q4_2,B2,B2_eps0,74966.33505695451,74966.33505695451,0.0,0.0,29991.554791389895,26156.422265674377,6964.513440067297,0.0,3776.5097736658813,4657.706953266711,5432.51276466179,1.8189894035458565e-12,75227.52748973781,75227.52748973781
2025-01-14,13,q4_2,B2,B2_eps0,77522.12774549543,74609.34352514647,2912.7842203489445,437.1362068425944,30121.189119700564,26532.096349789485,6267.022092490656,0.0,4657.706953266711,5265.8908004227405,5241.142188625479,9.094947017729282e-13,74348.15109236314,74348.15109236314
2025-01-15,14,q4_2,B2,B2_eps0,82070.2554176674,73333.40626165233,8736.84915601508,1225.2774751581346,23265.589332258776,21228.500550328346,5249.837853520796,0.0,5265.8908004227405,4960.76246951368,5443.642582088025,9.094947017729282e-13,73593.29802625233,73593.29802625233
2025-01-16,15,q4_2,B2,B2_eps0,77759.81990696663,73660.55710113363,4099.262805833001,609.1881922646421,28791.536892072792,26006.82888484576,6474.675939416313,0.0,4960.76246951368,4861.207979438534,5757.837513636946,9.094947017729282e-13,73852.10812090863,73852.10812090863
2025-01-17,16,q4_2,B2,B2_eps0,37680.74441005021,37680.74441005021,0.0,0.0,18169.501270600133,16486.09574074074,22743.8176928046,4018.795944079202,4861.207979438534,4720.439613983959,5423.3188564044185,2.2737367544323206e-13,37647.387421658554,37647.387421658554
2025-01-18,17,q4_2,B2,B2_eps0,27269.16550657985,27269.16550657985,0.0,0.0,24145.096385442903,20142.03905555552,8158.080142549167,1745.3234936416873,4720.439613983959,6394.915906132726,5793.349028410412,9.094947017729282e-13,26851.079710596525,26851.079710596525
2025-01-19,18,q4_2,B2,B2_eps0,144734.65147656912,56988.88063848337,87745.77083808578,12513.871400537782,23215.41356021032,23950.372730212617,2837.7886469837736,0.0,6394.915906132726,3173.081462220555,5241.884094957052,4.547473508864641e-13,57279.30667970001,57279.30667970001
2025-01-20,19,q4_2,B2,B2_eps0,81884.91374601975,72778.9882449191,9105.925501100643,1316.7359258575611,28972.816527440522,24587.713154952413,5800.250530964593,0.0,3173.081462220555,4741.383257773863,5382.841698635111,9.094947017729282e-13,72746.05049736908,72746.05049736908
2025-01-21,20,q4_2,B2,B2_eps0,70662.8356491826,70662.8356491826,0.0,0.0,26718.23755522938,23844.402308831137,9301.506934363857,0.0,4741.383257773863,4954.322066004643,5440.472537202436,9.094947017729282e-13,70672.13805710763,70672.13805710763
2025-01-22,21,q4_2,B2,B2_eps0,82453.92298498852,70739.71644872714,11714.20653626139,1562.016607418671,25572.208998259965,23807.990245551246,5032.304255329576,0.0,4954.322066004643,4118.42440790647,5686.166817306095,9.094947017729282e-13,71143.57825699796,71143.57825699796
2025-01-23,22,q4_2,B2,B2_eps0,84464.63391125148,73768.38135297857,10696.252558272938,1445.3018716560782,27944.90716868643,24421.350043523606,5270.993990548469,0.0,4118.42440790647,4886.927879815776,5829.552009332137,9.094947017729282e-13,73571.00901564385,73571.00901564385
2025-01-24,23,q4_2,B2,B2_eps0,35916.92409005975,35916.92409005975,0.0,0.0,18926.99014481929,16871.127011373945,23281.935505425092,5198.261643131992,4886.927879815776,5058.917962595455,5847.740934507397,9.094947017729282e-13,35845.63701194865,35845.63701194865
2025-01-25,24,q4_2,B2,B2_eps0,24655.136684054,24655.136684054,0.0,0.0,23650.808695495747,19919.832316989545,8344.86774583328,3207.275242306456,5058.917962595455,6498.698247294744,5845.7235072198655,9.094947017729282e-13,24253.143589637337,24253.143589637337
2025-01-26,25,q4_2,B2,B2_eps0,149045.56544013988,54034.71647650598,95010.84896363392,13527.294647823968,20390.316498831045,20666.597312473412,605.0205873390203,0.0,6498.698247294744,4058.1446207227486,5680.2627688733655,9.094947017729282e-13,54346.38062623654,54346.38062623654
