date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-01-09,8,q4_3,B0,B0,74922.73328271725,72680.5367096613,2242.1965730559464,326.6644421872846,29062.949985028354,26248.923739500784,1091.624775775541,0.0,5196.841011722429,5099.581206300682,6000.0,9.094947017729282e-13,69305.06032211235,72450.32676123215
2025-01-10,9,q4_3,B0,B0,36927.489713071685,36927.489713071685,0.0,0.0,18308.94760537371,15099.841217723535,17068.60087214557,2822.9022564506176,5099.581206300682,6552.343819435063,6000.0,1.8189894035458565e-12,38726.91729082263,36506.721098466034
2025-01-11,10,q4_3,B0,B0,24143.549421911397,24143.549421911397,0.0,0.0,22720.555391940958,20425.293302109665,2957.300374692094,1269.760350862573,6552.343819435063,6576.805671651583,6000.0,1.8189894035458565e-12,23974.104201919137,24143.549413683722
2025-01-12,11,q4_3,B0,B0,109859.93165088048,74375.6795171356,35484.25213374488,5054.670894888883,28389.76370543564,26158.39670148754,40.853203333333795,0.0,6576.805671651583,5936.3291629536,6000.0,9.094947017729282e-13,56813.6986555944,74375.67951794721
2025-01-13,12,q4_3,B0,B0,71151.03841556892,70230.92819745022,920.1102181186999,185.29740863888537,30549.924787783744,27909.29447282157,2260.0234602353744,0.0,5936.3291629536,5499.553091668602,6000.0,9.094947017729282e-13,71412.21707320013,70642.43508611468
2025-01-14,13,q4_3,B0,B0,72346.72574451251,70059.41157738771,2287.314167124785,343.5360434878892,29950.072388929337,26572.71126025416,1684.4884966049467,0.0,5499.553091668602,5902.5894796475795,6000.0,1.8189894035458565e-12,69317.02738950137,69855.29147553223
2025-01-15,14,q4_3,B0,B0,74351.17748633247,72735.09024254582,1616.0872437866522,259.6503491666645,25895.498724481324,23223.848180255234,1053.5867194623938,0.0,5902.5894796475795,5989.131186397011,5999.999973452911,1.8189894035458565e-12,66495.49293787187,72777.22576952525
2025-01-16,15,q4_3,B0,B0,71241.60121978218,69953.79905835433,1287.8021614278541,183.52955280425886,29478.54292351566,27427.30557422932,681.6815528240768,0.0,5989.131186397011,5044.013943469143,6000.0,1.8189894035458565e-12,65474.7020473678,70147.50473646267
2025-01-17,16,q4_3,B0,B0,34442.73879968111,34442.73879968111,0.0,0.0,19972.90029805681,17818.68226325113,18045.175246623192,4100.824661666667,5044.013943469143,5209.430584957905,6000.0,2.2737367544323206e-13,34279.93639827288,34413.38693762278
2025-01-18,17,q4_3,B0,B0,24662.778379955984,24662.778379955984,0.0,0.0,23584.866024379236,19904.747045274635,3702.764130886464,1268.079533888889,5209.430584957905,6602.553431520652,6000.0,9.094947017729282e-13,25199.024702205843,24248.902249305982
2025-01-19,18,q4_3,B0,B0,112129.00809271529,69547.36660452357,42581.64148819171,6436.3274687499925,28326.912154652968,27326.67382894249,0.0,0.0,6602.553431520652,4670.978485993093,5999.999999874995,9.094947017729282e-13,50302.09033799477,70226.31842074025
2025-01-20,19,q4_3,B0,B0,73654.31466410987,68657.78523406014,4996.529430049722,713.6364654166566,30764.463016034395,27191.405593471965,807.218091203714,0.0,4670.978485993093,5194.45257052636,5999.999987214736,1.8189894035458565e-12,65597.9832908437,68577.40321151011
2025-01-21,20,q4_3,B0,B0,64351.833020279155,64310.96742159582,40.86559868333256,7.816679166666518,28561.87897714834,25710.148702933173,2607.956239722245,0.0,5194.45257052636,5189.753822789555,5999.999989147598,1.8189894035458565e-12,64362.474456167016,64324.553554520826
