date,day_index,plan_j,B_kwh,A_kwh,delta_A_minus_B_kwh,price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-12-01,334,0,574.7891433333332,574.7891433333332,0.0,0.4668,268.31157210799995,268.31157210799995
2025-12-01,334,1,573.9912924999999,573.9912924999999,0.0,0.459,263.46200325749993,263.46200325749993
2025-12-01,334,2,1394.9669999999999,1394.9669999999999,0.0,0.4551,634.8494817,634.8494817
2025-12-01,334,3,1413.3952341666666,1413.3952341666666,0.0,0.4711,665.8504948159166,665.8504948159166
2025-12-01,334,4,607.9893149999999,607.9893149999999,0.0,0.4726,287.33575026899996,287.33575026899996
2025-12-01,334,5,0.0,0.0,0.0,0.4604,0.0,0.0
2025-12-01,334,6,573.9399066666667,573.9399066666667,0.0,0.4661,267.5133904973334,267.5133904973334
2025-12-01,334,7,1187.8341799731138,1187.8341799731138,0.0,0.4548,540.2269850517721,540.2269850517721
2025-12-01,334,8,1433.6798333333331,1433.6798333333331,0.0,0.4441,636.6972139833332,636.6972139833332
2025-12-01,334,9,606.5297125,606.5297125,0.0,0.4865,295.07670513125,295.07670513125
2025-12-01,334,10,0.0,0.0,0.0,0.5013,0.0,0.0
2025-12-01,334,11,0.0,0.0,0.0,0.4763,0.0,0.0
2025-12-01,334,12,592.4845033333332,592.4845033333332,0.0,0.4806,284.74805230199996,284.74805230199996
2025-12-01,334,13,1426.0097849999997,1426.0097849999997,0.0,0.4973,709.1546660804999,709.1546660804999
2025-12-01,334,14,1432.4197499999996,1432.4197499999996,0.0,0.4904,702.4586453999998,702.4586453999998
2025-12-01,334,15,1405.2715975,1405.2715975,0.0,0.4519,635.04223491025,635.04223491025
2025-12-01,334,16,1393.4500458333332,1393.4500458333332,0.0,0.4641,646.7001662712499,646.7001662712499
2025-12-01,334,17,0.0,0.0,0.0,0.4997,0.0,0.0
2025-12-01,334,18,613.0121475000001,613.0121475000001,0.0,0.4567,279.96264776325006,279.96264776325006
2025-12-01,334,19,637.38078,637.38078,0.0,0.4576,291.665444928,291.665444928
2025-12-01,334,20,0.0,0.0,0.0,0.5092,0.0,0.0
2025-12-01,334,21,0.0,0.0,0.0,0.4888,0.0,0.0
2025-12-01,334,22,0.0,0.0,0.0,0.4469,0.0,0.0
2025-12-01,334,23,653.9355833333334,653.9355833333334,0.0,0.4453,291.19751525833334,291.19751525833334
2025-12-01,334,24,587.2858458333334,587.2858458333334,0.0,0.4923,289.12082190375,289.12082190375
2025-12-01,334,25,568.3721166666667,568.3721166666667,0.0,0.5218,296.5765704766667,296.5765704766667
2025-12-01,334,26,615.8887499999997,615.8887499999997,0.0,0.5213,321.06280537499987,321.06280537499987
2025-12-01,334,27,1440.8447716666665,1440.8447716666665,0.0,0.5318,766.2412495723333,766.2412495723333
2025-12-01,334,28,1441.6359775,1441.6359775,0.0,0.525,756.8588881875,756.8588881875
2025-12-01,334,29,635.6720833333334,635.6720833333334,0.0,0.51,324.1927625,324.1927625
2025-12-01,334,30,633.0089833333334,633.0089833333334,0.0,0.5319,336.69747823500006,336.69747823500006
2025-12-01,334,31,1446.737595,1446.737595,0.0,0.5575,806.5562092125,806.5562092125
2025-12-01,334,32,1423.0356666666667,1423.0356666666667,0.0,0.5074,722.0482972666666,722.0482972666666
2025-12-01,334,33,1420.5175608333334,1420.5175608333334,0.0,0.3889,552.4392794080834,552.4392794080834
2025-12-01,334,34,704.5501774999999,704.5501774999999,0.0,0.628,442.45751146999993,442.45751146999993
2025-12-01,334,35,22.136666666666883,22.136666666666883,0.0,1.0747,23.7902756666669,23.7902756666669
2025-12-01,334,36,0.0,0.0,0.0,1.1227,0.0,0.0
2025-12-01,334,37,774.7746858333333,774.7746858333333,0.0,1.0516,814.7530596223334,814.7530596223334
2025-12-01,334,38,796.5855833333334,796.5855833333334,0.0,1.0707,852.904184075,852.904184075
2025-12-01,334,39,819.5130691666665,819.5130691666666,1.1368683772161603e-13,1.0994,900.972668241833,900.9726682418333
2025-12-01,334,40,326.77839399284574,597.6018931400006,270.82349914715485,1.0956,358.01840845856174,803.0897469569959
2025-12-01,334,41,830.6219499999997,836.8936166666665,6.271666666666761,1.058,878.7980230999998,888.7511581
2025-12-01,334,42,780.7127427777776,780.7127427777776,0.0,1.0191,795.6243561648331,795.6243561648331
2025-12-01,334,43,723.5630763888887,723.5630763888888,1.1368683772161603e-13,1.0262,742.5204289902775,742.5204289902778
2025-12-01,334,44,654.05805,1456.148982819298,802.090932819298,1.0086,659.68294923,1873.166321492316
2025-12-01,334,45,1411.585236111111,1427.605303611111,16.02006749999987,0.8959,1264.6392130319443,1286.1677807418191
2025-12-01,334,46,1498.1901088888885,1498.1901088888885,0.0,1.0789,1616.3973084802217,1616.3973084802217
2025-12-01,334,47,0.0,0.0,0.0,1.4345,0.0,0.0
2025-12-01,334,48,0.0,0.0,0.0,1.4229,0.0,0.0
2025-12-01,334,49,0.0,0.0,0.0,1.343,0.0,0.0
2025-12-01,334,50,0.0,0.0,0.0,1.3625,0.0,0.0
2025-12-01,334,51,0.0,0.0,0.0,1.3423,0.0,0.0
2025-12-01,334,52,0.0,0.0,0.0,1.3072,0.0,0.0
2025-12-01,334,53,0.0,0.0,0.0,1.2838,0.0,0.0
2025-12-01,334,54,0.0,0.0,0.0,1.2581,0.0,0.0
2025-12-01,334,55,0.0,0.0,0.0,1.2258,0.0,0.0
2025-12-01,334,56,0.0,0.0,0.0,1.186,0.0,0.0
2025-12-01,334,57,0.0,0.0,0.0,1.1638,0.0,0.0
2025-12-01,334,58,0.0,0.0,0.0,1.2789,0.0,0.0
2025-12-01,334,59,468.8070666666664,346.42545709876526,-122.38160956790114,1.4359,673.1600670266663,585.2961904373916
2025-12-01,334,60,359.32846777777786,274.16211472222267,-85.16635305555519,1.3979,502.3052651065556,442.77824263837533
2025-12-01,334,61,297.58405888888876,159.5849677777777,-137.99909111111106,1.3137,390.9361781623332,300.2914751659999
2025-12-01,334,62,0.0,0.0,0.0,1.3199,0.0,0.0
2025-12-01,334,63,0.0,0.0,0.0,1.3654,0.0,0.0
2025-12-01,334,64,226.5182680943676,173.43630864992315,-53.081959444444465,1.1188,253.4286383439785,223.73459023075625
2025-12-01,334,65,908.7446666666667,839.7157666666667,-69.02890000000002,0.7142,649.0254409333334,624.3752207433333
2025-12-01,334,66,913.5556158333336,863.3453833333333,-50.2102325000003,0.6396,584.3101718870001,568.2529395335
2025-12-01,334,67,913.0971274999999,828.2790583333331,-84.81806916666687,0.6731,614.60567652025,586.0601553422083
