date,day_index,branch,level,label,backend,settlement_clock,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,pv_curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-01-09,8,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,102998.03607625677,102998.03607625677,0.0,0.0,22623.130729289438,21596.449500434766,29898.645965685566,0.0,0.0,7802.123952434151,6499.6536268645805,5833.136147123707,9.094947017729282e-13,102905.7011523276,102905.7011523276
2025-01-10,9,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,46502.25844872673,46502.25844872673,0.0,0.0,23216.231470944622,17325.74714952819,22534.62663628382,3581.8221166666663,3581.8221166666663,6499.6536268645805,10261.563614798133,6293.760296697319,9.094947017729282e-13,46299.95153756006,46299.95153756006
2025-01-11,10,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,29859.894246729702,29859.894246729702,0.0,0.0,23160.083927994285,20673.79261001893,5650.856664011419,2382.9488,2382.9488,10261.563614798133,10441.057578195454,8952.19699339143,9.094947017729282e-13,30068.089234729705,30068.089234729705
2025-01-12,11,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,131870.6883972006,58122.52762733964,73748.16076986096,12137.677083252307,18319.786175482423,21640.167361562922,2.5579538487363607e-13,0.0,0.0,10441.057578195454,5009.993476807215,4599.244295845121,8.526512829121202e-13,57914.33263933964,57914.33263933964
2025-01-13,12,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,74735.40762968165,74735.40762968165,0.0,0.0,29897.95503177922,26689.320843627862,4784.532866156814,0.0,0.0,5009.993476807215,5240.669705031254,4351.529961574724,9.094947017729282e-13,74996.60006246499,74996.60006246498
2025-01-14,13,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,75433.93454696223,75406.57603917844,27.35850778379677,4.855534259259343,28879.57272400766,24738.94795975252,3704.192750904438,0.0,0.0,5240.669705031254,6561.097180068013,4727.10785111193,9.094947017729282e-13,75145.38360639512,75145.3836063951
2025-01-15,14,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,85183.98308513932,85183.98308513932,0.0,0.0,25417.239703776657,21725.53570317761,12389.238226884583,0.0,0.0,6561.097180068013,7773.2825664709535,6971.201078395738,8.810729923425242e-13,85437.28871596431,85437.28871596431
2025-01-16,15,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,71627.32453850945,71627.32453850945,0.0,0.0,25627.403659394855,27416.62359186447,4570.880351883951,0.0,0.0,7773.2825664709535,3185.9136232713577,3170.713677876437,9.094947017729282e-13,71785.38299258027,71785.38299258027
2025-01-17,16,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,39438.31758591814,39438.31758591814,0.0,0.0,24603.597005499432,15732.6195179516,18612.05619708157,4175.823562573423,4175.823562573423,3185.9136232713577,9943.298095171858,6832.597686762841,8.810729923425242e-13,39410.60999879731,39410.60999879731
2025-01-18,17,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,26255.422073037185,26255.422073037185,0.0,0.0,21945.979368567507,19573.856602673728,4215.178805414903,3157.7178166666667,3157.7178166666667,9943.298095171858,10130.425695501537,8622.213472910113,9.094947017729282e-13,26116.81428585385,26116.81428585385
2025-01-19,18,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,133963.758700715,56186.48395323953,77777.27474747549,12554.61450681481,21100.6063077081,22085.317800585442,14.88164070707083,0.0,0.0,10130.425695501537,6868.249445526735,7556.418340342925,9.094947017729282e-13,56558.0567648862,56558.05676488619
2025-01-20,19,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,71819.5846532395,71700.52676374165,119.0578894978449,16.51059346801344,27874.25982851758,25609.20847536952,2402.292539551543,0.0,0.0,6868.249445526735,6317.618238276484,6299.556310498699,9.094947017729282e-13,71627.75611680333,71627.75611680333
2025-01-21,20,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,70585.71411192343,70585.71411192343,0.0,0.0,26486.887229198925,23345.056417663716,7307.229637179686,204.29321666666647,204.29321666666647,6317.618238276484,6837.435641648822,6712.721034029854,9.094947017729282e-13,70598.61301672675,70598.61301672675
2025-01-22,21,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,70890.27486686836,70890.27486686836,0.0,0.0,26217.213185214172,23862.00154854882,1541.7517967868578,0.0,0.0,6837.435641648822,6556.509770598154,6763.392591501621,9.094947017729282e-13,70981.22101297753,70981.22101297753
2025-01-23,22,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,71905.85736049383,71905.85736049383,0.0,0.0,24138.93069816078,24437.95868976899,1990.3216133759481,0.0,0.0,6556.509770598154,3696.839881817379,3455.3721424462256,8.952838470577262e-13,71714.32160997577,71714.32160997577
2025-01-24,23,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,36881.384516836435,36881.384516836435,0.0,0.0,22474.442434915873,14132.780067481479,18120.92799739198,5806.496548395201,5806.496548395201,3696.839881817379,10120.709824996578,7323.611323798873,8.526512829121202e-13,36793.339579496154,36793.339579496154
2025-01-25,24,q4_2,B1,JANUARY_B1,q4-inheritance-v2,delivery,24347.620655905426,24347.620655905426,0.0,0.0,20909.0462626763,18809.864279252528,5535.673094042371,4645.345830707078,4645.345830707078,10120.709824996578,10129.434925536614,9065.451163134896,9.094947017729282e-13,24194.85708254709,24194.85708254709
