date,day_index,event_hour,branch,level,label,backend,settlement_clock,soc_event_kwh,scenario_k,source_days,scenario_weights,objective_with_surrogates_yuan,level1,expected_emergency_cost_yuan,scenario_cvar_emergency_cost_yuan,solve_seconds,max_eq_residual,horizon_intervals,epsilon,risk_lambda,alpha,contract_changed_kwh,binaries,mip_gap,contracts_locked,schema_hash
2025-02-01,31,0,q4_2,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,9240.560328473632,9,"[9, 3, 17, 20, 7, 14, 1, 5, 25]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",76972.00726748815,76972.00726748815,4062.504904547228,20312.52452273614,0.1443808999902103,2.1827872842550278e-11,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-02,32,0,q4_2,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,8234.993867534266,9,"[9, 3, 17, 26, 19, 8, 1, 5, 25]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",92890.17667179399,92890.17667179399,4509.8852309687745,22549.426154843874,0.14590030000545084,1.4551915228366852e-11,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-03,33,0,q4_2,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,6054.020762223359,9,"[9, 30, 10, 20, 13, 8, 1, 5, 25]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",110042.8271895582,110042.8271895582,4670.255274342188,23351.27637171095,0.22918130000471137,1.4551915228366852e-11,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-04,34,0,q4_2,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,6922.624566881346,9,"[16, 30, 10, 28, 13, 8, 21, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",112600.15853146587,112600.15853146587,4580.244764035955,22901.223820179777,0.1351619000051869,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-05,35,0,q4_2,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,6928.637195721283,9,"[16, 3, 10, 20, 19, 8, 1, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",112658.72699125667,112658.72699125667,4609.681091101004,23048.405455505028,0.1557728999905521,7.275957614183426e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-06,36,0,q4_2,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,7739.982800699151,9,"[16, 3, 10, 20, 13, 8, 1, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",91760.06615954991,91760.06615954991,4614.4339168920815,23072.16958446041,0.21291079999355134,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-07,37,0,q4_2,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,7111.829481146639,9,"[16, 3, 10, 33, 12, 22, 1, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",70413.16708427716,70413.16708427716,4290.134223441496,21450.671117207487,0.18631059999461286,1.4551915228366852e-11,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-08,38,0,q4_2,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,9967.03788939186,9,"[16, 3, 10, 33, 12, 22, 1, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",68015.58109909027,68015.58109909027,3911.392335538391,19556.961677691957,0.17652510000334587,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-09,39,0,q4_2,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,7669.039902078265,9,"[16, 3, 17, 36, 12, 22, 21, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",88681.81612154451,88681.81612154451,4387.30770569673,21936.538528483656,0.2730174000025727,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-10,40,0,q4_2,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,5915.8272434385635,9,"[16, 37, 10, 36, 29, 15, 21, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",105729.72107340588,105729.72107340588,4607.2739180161,23036.369590080503,0.16687719999754336,9.094947017729282e-13,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
