date,day_index,event_hour,branch,level,label,backend,settlement_clock,soc_event_kwh,scenario_k,source_days,scenario_weights,objective_with_surrogates_yuan,level1,expected_emergency_cost_yuan,scenario_cvar_emergency_cost_yuan,solve_seconds,max_eq_residual,horizon_intervals,epsilon,risk_lambda,alpha,contract_changed_kwh,binaries,mip_gap,contracts_locked,schema_hash
2025-02-01,31,0,q4_2,B0,FORMAL_FROZEN,q4-inheritance-v2,delivery,9240.560328473632,9,"[9, 3, 17, 20, 7, 14, 1, 5, 25]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",80156.05671671963,80156.05671671963,3888.629930728272,19443.14965364136,0.139628899996751,7.275957614183426e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-02,32,0,q4_2,B0,FORMAL_FROZEN,q4-inheritance-v2,delivery,10574.466510143278,9,"[9, 3, 17, 26, 19, 8, 1, 5, 25]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",106382.41674385601,106382.41674385601,5758.707677004063,28793.53838502032,0.14250290000927635,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-03,33,0,q4_2,B0,FORMAL_FROZEN,q4-inheritance-v2,delivery,6979.000802968313,9,"[9, 30, 10, 20, 13, 8, 1, 5, 25]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",126170.74775741991,126170.74775741991,5867.769140806168,29338.845704030842,0.17508529999759048,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-04,34,0,q4_2,B0,FORMAL_FROZEN,q4-inheritance-v2,delivery,7896.889655122105,9,"[16, 30, 10, 28, 13, 8, 21, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",128093.6174110176,128093.6174110176,5677.347330173821,28386.73665086911,0.13104939999175258,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-05,35,0,q4_2,B0,FORMAL_FROZEN,q4-inheritance-v2,delivery,7290.804745823163,9,"[16, 3, 10, 20, 19, 8, 1, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",127588.08404049593,127588.08404049593,5646.974041449765,28234.87020724883,0.1344530000060331,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-06,36,0,q4_2,B0,FORMAL_FROZEN,q4-inheritance-v2,delivery,8049.214791604326,9,"[16, 3, 10, 20, 13, 8, 1, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",96487.74374975274,96487.74374975274,5884.868142993927,29424.340714969636,0.1355739000136964,7.275957614183426e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-07,37,0,q4_2,B0,FORMAL_FROZEN,q4-inheritance-v2,delivery,3517.4043915187062,9,"[16, 3, 10, 33, 12, 22, 1, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",60781.059632697805,60781.059632697805,4111.991646439778,20559.958232198893,0.13540980000107083,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-08,38,0,q4_2,B0,FORMAL_FROZEN,q4-inheritance-v2,delivery,10080.584135943125,9,"[16, 3, 10, 33, 12, 22, 1, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",66270.6881077797,66270.6881077797,3436.946579784717,17184.73289892359,0.16106800000125077,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-09,39,0,q4_2,B0,FORMAL_FROZEN,q4-inheritance-v2,delivery,10291.797113507993,9,"[16, 3, 17, 36, 12, 22, 21, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",96388.21884532766,96388.21884532766,5092.231332104118,25461.1566605206,0.20931829999608453,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-10,40,0,q4_2,B0,FORMAL_FROZEN,q4-inheritance-v2,delivery,5953.854740026945,9,"[16, 37, 10, 36, 29, 15, 21, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",118176.27614772292,118176.27614772292,5389.425409974477,26947.12704987239,0.20980900000722613,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
