date,day_index,branch,level,label,backend,settlement_clock,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,pv_curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-01-09,8,q4_3,B1,JANUARY_B1,q4-inheritance-v2,adjustment_time,100313.1829139843,100313.1829139843,0.0,0.0,23170.40382191009,22089.015879247894,23249.21793063553,0.0,0.0,7802.145661949418,6499.6536268645805,5833.136147123706,9.094947017729282e-13,102738.91742676974,100220.84799005515
2025-01-10,9,q4_3,B1,JANUARY_B1,q4-inheritance-v2,adjustment_time,50088.49418735703,50088.49418735703,0.0,0.0,21465.43237608259,15750.027964152361,22614.665417706656,4626.603016666666,4626.603016666666,6499.6536268645805,10261.563614798133,6050.062980189139,9.094947017729282e-13,50492.26591141541,49886.18727619036
2025-01-11,10,q4_3,B1,JANUARY_B1,q4-inheritance-v2,adjustment_time,31947.93610042052,31947.93610042052,0.0,0.0,20523.010741347727,18592.23166109259,7839.6885749908415,2583.455700452685,2583.455700452685,10261.563614798133,10133.46818597658,8780.678041342715,9.094947017729282e-13,30537.56124021748,32156.13108842052
2025-01-12,11,q4_3,B1,JANUARY_B1,q4-inheritance-v2,adjustment_time,103404.8372250339,66268.01302729848,37136.82419773542,6247.08492425232,20364.94815654555,23410.41997615509,6.821210263296962e-13,0.0,0.0,10133.46818597658,4776.604999171001,4241.391406946151,9.094947017729282e-13,60091.73840369278,66059.8180392985
2025-01-13,12,q4_3,B1,JANUARY_B1,q4-inheritance-v2,adjustment_time,74831.17660050553,74679.97256706741,151.20403343811628,30.036558092593623,29864.910009738167,26674.5150981021,4101.354464084371,0.0,0.0,4776.604999171001,4991.538593007068,5149.969069024573,9.094947017729282e-13,76762.65721801734,74941.16499985073
2025-01-14,13,q4_3,B1,JANUARY_B1,q4-inheritance-v2,adjustment_time,76381.94130656094,74993.86148304584,1388.079823515105,185.93025419444245,29371.158428073762,25348.34855577358,2617.0805123171713,0.0,0.0,4991.538593007068,6135.96058475484,5590.680376056092,9.094947017729282e-13,75516.84110613284,74732.66905026251
2025-01-15,14,q4_3,B1,JANUARY_B1,q4-inheritance-v2,adjustment_time,81703.1707575187,81703.1707575187,0.0,0.0,24617.180889892476,20530.302508977275,6743.263203650718,0.0,0.0,6135.96058475484,7849.029946538233,7085.721664156408,9.094947017729282e-13,81330.82644965047,81956.4763883437
2025-01-16,15,q4_3,B1,JANUARY_B1,q4-inheritance-v2,adjustment_time,68897.87147723539,68543.14325788933,354.7282193460563,52.074491675924065,25031.356154036457,27412.262157229532,1050.270060051453,0.0,0.0,7849.029946538233,2700.7980459312275,3228.986672816504,9.059419880941277e-13,68597.77801527455,68701.20171196017
2025-01-17,16,q4_3,B1,JANUARY_B1,q4-inheritance-v2,adjustment_time,37991.84307148567,37991.84307148567,0.0,0.0,25741.253953606334,16289.184454715905,12342.4253435391,4456.506015547605,4456.506015547605,2700.7980459312275,9950.78770809093,7415.804700817052,9.094947017729282e-13,39294.29016471332,37985.894386181506
2025-01-18,17,q4_3,B1,JANUARY_B1,q4-inheritance-v2,adjustment_time,26650.55769150797,26650.55769150797,0.0,0.0,22010.958120850308,19702.215459163428,2127.413966684849,2687.959300878081,2687.959300878081,9950.78770809093,10064.257450652076,8932.885372682962,9.094947017729282e-13,27936.26320322338,26490.19100250797
