date,day_index,branch,level,label,backend,settlement_clock,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,pv_curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-02-01,31,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,23807.93468473535,23807.93468473535,0.0,0.0,20131.516194761032,17409.717231064824,3358.6978116141945,3666.009727129631,3666.009727129631,9306.397425825946,10053.377314347577,8524.08771860742,9.094947017729282e-13,21344.147558020613,23613.073973910352
2025-02-02,32,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,87998.72896355591,47896.37021677417,40102.35874678174,7592.303916129622,19404.76015628133,21609.187732690232,77.65427398148267,5.684341886080802e-14,5.684341886080802e-14,10053.377314347577,5684.26530346411,5121.9718568681055,9.094947017729282e-13,46535.33127621963,47698.85238897418
2025-02-03,33,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,64067.917410008755,64067.917410008755,0.0,0.0,25256.588883729873,20698.62873623458,3518.044145925928,5.684341886080802e-14,5.684341886080802e-14,5684.26530346411,7826.498926948966,7258.210555878258,9.094947017729282e-13,66382.99253862054,64289.11444784209
2025-02-04,34,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,65219.2937301338,65219.2937301338,0.0,0.0,26389.794474897724,24424.853890726343,4505.858635874486,0.3517833333333442,0.3517833333333442,7826.498926948966,7115.999580429954,7369.70134487094,8.242295734817162e-13,67744.01614254877,65599.56955152546
2025-02-05,35,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,62505.5039329839,62505.5039329839,0.0,0.0,26565.977624243766,23263.272107456647,3073.4966180967135,5.684341886080802e-14,5.684341886080802e-14,7115.999580429954,7797.056952990909,6745.78993926151,9.094947017729282e-13,62461.65218538583,61904.031073758895
2025-02-06,36,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,62240.81160637505,62240.81160637505,0.0,0.0,24167.990965897385,26160.6809979095,3574.9651840123574,1.4008166666668558,1.4008166666668558,7797.056952990909,3149.047298279921,3509.733265989651,8.668621376273222e-13,66694.21294325806,62650.66168762504
2025-02-07,37,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,30448.150188149022,30448.150188149022,0.0,0.0,22796.86035384305,14659.758799090487,9394.163224697977,9600.572294950898,9600.572294950898,3149.047298279921,9323.305379353867,6189.634657625587,9.094947017729282e-13,32057.076976159762,30464.75522830319
2025-02-08,38,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,16852.75802863075,16852.75802863075,0.0,0.0,23200.788362899915,20383.826930801344,1557.519584734335,3448.594612409746,3448.594612409746,9323.305379353867,9847.065623504512,8577.073587345618,8.810729923425242e-13,16915.539389264653,16631.391527851585
2025-02-09,39,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,92808.4891416941,48157.554551023786,44650.93459067032,8346.14101631575,18751.377337279664,22002.861629618477,6.821210263296962e-13,1.1368683772161603e-13,1.1368683772161603e-13,9847.065623504512,4443.131521785137,4789.322231044707,9.094947017729282e-13,46485.76789489889,48194.41521439045
2025-02-10,40,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,57074.419989340735,57074.419989340735,0.0,0.0,25498.387922177535,22126.71572076219,2781.3789478474614,308.47425423073685,308.47425423073685,4443.131521785137,5309.419998546999,5664.4449656516135,9.094947017729282e-13,58646.0647071038,57426.32503055711
2025-02-11,41,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,59232.364032105375,57446.53833285466,1785.8256992507193,310.13943705555823,27324.346559675305,23863.790575753203,1617.3137065329165,29.75382461934852,29.75382461934852,5309.419998546999,6076.927268307963,6062.329145982216,9.094947017729282e-13,59443.36258032078,57057.976332646605
2025-02-12,42,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,57672.958046688,57483.24760995525,189.71043673274838,30.451743703706477,25805.37346647498,22357.626856519346,2266.581312303608,163.38428333333343,163.38428333333343,6076.927268307963,6991.046094991424,6130.015569506833,9.094947017729282e-13,58599.02166603063,57277.95528495524
2025-02-13,43,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,51716.71716743922,50934.671681038104,782.0454864011197,120.77575185185174,19708.80408818078,21820.44798616963,2055.7384567672193,232.90716666666685,232.90716666666685,6991.046094991424,2687.687624154772,2881.2617243757704,9.094947017729282e-13,52944.37639814986,51300.01474454644
2025-02-14,44,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,26806.313942776364,26806.313942776364,0.0,0.0,22202.009383052875,15123.22595943098,7403.775353292187,9952.782466666666,9952.782466666666,2687.687624154772,7809.083241955467,3820.4354781256793,8.242295734817162e-13,27495.016125796214,26598.788423597194
2025-02-15,45,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,19341.127759157596,19341.127759157596,0.0,0.0,24504.490968085378,21154.786046940237,1790.379436673369,5971.983008695752,5971.983008695752,7809.083241955467,8756.982109980785,8501.26889854733,9.094947017729282e-13,19257.573820119112,19452.684124053434
2025-02-16,46,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,96288.59372275964,43768.36119284824,52520.2325299114,9770.957006454115,19262.94707371234,20282.720642702214,95.08075620370357,1.1368683772161603e-13,1.1368683772161603e-13,8756.982109980785,5651.553478091617,5876.87955810324,9.094947017729282e-13,44520.950453878744,43719.19271362324
