date,day_index,event_hour,branch,level,label,backend,settlement_clock,soc_event_kwh,scenario_k,source_days,scenario_weights,objective_with_surrogates_yuan,level1,expected_emergency_cost_yuan,scenario_cvar_emergency_cost_yuan,solve_seconds,max_eq_residual,horizon_intervals,epsilon,risk_lambda,alpha,contract_changed_kwh,binaries,mip_gap,contracts_locked,schema_hash
2025-02-01,31,0,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,9306.397425825946,9,"[9, 3, 10, 12, 8, 15, 22, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",79188.01588114479,79188.01588114479,4756.100171466343,23780.50085733172,0.14304739999352023,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-01,31,6,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,10614.7667431312,9,"[9, 3, 10, 12, 8, 15, 22, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",69650.3421971835,69650.3421971835,2889.5636183534916,14447.818091767462,0.07459319999907166,1.0913936421275139e-11,253,0.0,0.02,0.8,1.1368683772161603e-12,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-01,31,12,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,8235.650584781564,9,"[9, 3, 10, 12, 8, 15, 22, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",69896.61473560637,69896.61473560637,189.77679424661386,948.8839712330695,2.0887954000063473,1.8189894035458565e-12,217,0.0,0.02,0.8,26862.096689516045,23,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-01,31,18,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,5963.006144660726,9,"[9, 3, 10, 12, 8, 15, 22, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",60236.372164984656,60236.372164984656,815.6882504589391,4078.4412522946964,0.0537289000058081,1.8189894035458565e-12,181,0.0,0.02,0.8,14182.800356896696,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-02,32,0,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,10053.377314347577,9,"[9, 3, 10, 7, 8, 15, 29, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",107313.8237919454,107313.8237919454,7239.428813276852,36197.14406638427,0.12800919999426696,7.275957614183426e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-02,32,6,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,10259.851896905278,9,"[9, 3, 10, 7, 8, 15, 29, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",94535.50476399741,94535.50476399741,5051.9873814179955,25259.936907089985,0.08258300001034513,1.4551915228366852e-11,253,0.0,0.02,0.8,519.7149810833367,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-02,32,12,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,5444.250502889047,9,"[9, 3, 10, 7, 8, 15, 29, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",82987.77658088168,82987.77658088168,1391.660990386346,6958.304951931731,1.067672400007723,1.8189894035458565e-12,217,0.0,0.02,0.8,11541.446814688607,10,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-02,32,18,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,8681.577205770136,9,"[9, 3, 10, 7, 8, 15, 29, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",62527.16866330695,62527.16866330695,1060.5735896770902,5302.867948385452,0.053522200003499165,1.8189894035458565e-12,181,0.0,0.02,0.8,10399.586358957116,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-03,33,0,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,5684.26530346411,9,"[9, 30, 24, 12, 27, 15, 29, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",133041.60494564194,133041.60494564194,7336.382751556082,36681.91375778042,0.1352408000093419,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-03,33,6,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,10800.0,9,"[9, 30, 24, 12, 27, 15, 29, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",115668.71032385931,115668.71032385931,4350.636989589894,21753.184947949478,0.07604410000203643,1.8189894035458565e-12,253,0.0,0.02,0.8,129.16054972222705,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-03,33,12,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,7991.94799008757,9,"[9, 30, 24, 12, 27, 15, 29, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",98583.25891345159,98583.25891345159,874.7592260150054,4373.7961300750285,1.9884443999908399,1.8189894035458565e-12,217,0.0,0.02,0.8,17391.002816189488,12,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-03,33,18,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,10729.78161710128,9,"[9, 30, 24, 12, 27, 15, 29, 5, 18]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",78126.00882004606,78126.00882004606,306.9144076896302,1534.572038448151,0.05384700000286102,1.8189894035458565e-12,181,0.0,0.02,0.8,13733.741036631738,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-04,34,0,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,7826.498926948966,9,"[16, 30, 24, 20, 27, 15, 22, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",128626.5840483245,128626.5840483245,5027.10736847517,25135.536842375852,0.13902870001038536,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-04,34,6,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,10800.0,9,"[16, 30, 24, 20, 27, 15, 22, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",112601.31871867595,112601.31871867595,2361.3448041107936,11806.724020553971,0.07572649999929126,1.8189894035458565e-12,253,0.0,0.02,0.8,617.7594846533532,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-04,34,12,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,8331.762435327875,9,"[16, 30, 24, 20, 27, 15, 22, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",93757.75187786586,93757.75187786586,1941.1308984527411,9705.654492263706,0.35500490000413265,1.8189894035458565e-12,217,0.0,0.02,0.8,9664.534356694025,5,7.654288119716982e-08,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-04,34,18,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,10800.0,9,"[16, 30, 24, 20, 27, 15, 22, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",77697.83050345909,77697.83050345909,307.550064207018,1537.75032103509,0.05196609999984503,1.8189894035458565e-12,181,0.0,0.02,0.8,5272.639924242846,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-05,35,0,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,7115.999580429954,9,"[16, 3, 24, 12, 8, 15, 29, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",126300.18327950985,126300.18327950985,4897.676722739762,24488.383613698817,0.14309420000063255,7.275957614183426e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-05,35,6,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,10800.0,9,"[16, 3, 24, 12, 8, 15, 29, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",114202.76001904644,114202.76001904644,4876.664728384586,23353.997634310046,0.07719989999895915,1.8189894035458565e-12,253,0.0,0.02,0.8,227.26548245160478,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-05,35,12,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,6193.961439526444,9,"[16, 3, 24, 12, 8, 15, 29, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",101439.47118321765,101439.47118321765,1429.7784755287928,7148.892377643964,0.364860800007591,5.4569682106375694e-12,217,0.0,0.02,0.8,13044.465456605874,9,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-05,35,18,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,10590.50955288643,9,"[16, 3, 24, 12, 8, 15, 29, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",77860.80455225687,77860.80455225687,314.52510859931704,1572.6255429965852,0.05373970000073314,1.8189894035458565e-12,181,0.0,0.02,0.8,12307.928307006314,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-02-06,36,0,q4_3,B0,FORMAL_FROZEN,q4-inheritance-v2,adjustment_time,7797.056952990909,9,"[16, 3, 24, 20, 27, 15, 29, 5, 11]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",100478.31655938404,100478.31655938404,5086.8383926431525,25434.19196321577,0.18172690000210423,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
