date,day_index,plan_j,branch,level,backend,settlement_clock,B_kwh,A_kwh,delta_kwh,price_yuan_per_kwh,adjustment_price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-02-01,31,0,q4_3,B0,q4-inheritance-v2,delivery,250.25666928703782,250.25666928703782,0.0,0.3281,0.3281,82.10921319307711,82.10921319307711
2025-02-01,31,1,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.3257,0.3257,0.0,0.0
2025-02-01,31,2,q4_3,B0,q4-inheritance-v2,delivery,1308.0366018518519,1308.0366018518519,0.0,0.3041,0.3041,397.77393062314815,397.77393062314815
2025-02-01,31,3,q4_3,B0,q4-inheritance-v2,delivery,1310.9539874074073,1310.9539874074073,0.0,0.3126,0.3126,409.8042164635555,409.8042164635555
2025-02-01,31,4,q4_3,B0,q4-inheritance-v2,delivery,503.97704870370364,503.97704870370364,0.0,0.3286,0.3286,165.60685820403702,165.60685820403702
2025-02-01,31,5,q4_3,B0,q4-inheritance-v2,delivery,524.6610462962963,524.6610462962963,0.0,0.3438,0.3438,180.37846771666665,180.37846771666665
2025-02-01,31,6,q4_3,B0,q4-inheritance-v2,delivery,79.52752129629567,79.52752129629567,0.0,0.3704,0.3704,29.456993888147917,29.456993888147917
2025-02-01,31,7,q4_3,B0,q4-inheritance-v2,delivery,489.94929722222224,489.94929722222224,0.0,0.3746,0.3746,183.53500673944444,183.53500673944444
2025-02-01,31,8,q4_3,B0,q4-inheritance-v2,delivery,528.894101851852,528.894101851852,0.0,0.3606,0.3606,190.71921312777783,190.71921312777783
2025-02-01,31,9,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.3582,0.3582,0.0,0.0
2025-02-01,31,10,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.3041,0.3041,0.0,0.0
2025-02-01,31,11,q4_3,B0,q4-inheritance-v2,delivery,1370.7973425925925,1370.7973425925925,0.0,0.2537,0.2537,347.77128581574067,347.77128581574067
2025-02-01,31,12,q4_3,B0,q4-inheritance-v2,delivery,1342.9020710185184,1342.9020710185184,0.0,0.3346,0.3346,449.3350329627963,449.3350329627963
2025-02-01,31,13,q4_3,B0,q4-inheritance-v2,delivery,513.5266538888887,513.5266538888887,0.0,0.3971,0.3971,203.92143425927773,203.92143425927773
2025-02-01,31,14,q4_3,B0,q4-inheritance-v2,delivery,538.6677685185185,538.6677685185185,0.0,0.367,0.367,197.6910710462963,197.6910710462963
2025-02-01,31,15,q4_3,B0,q4-inheritance-v2,delivery,507.21728212962967,507.21728212962967,0.0,0.3185,0.3185,161.54870435828704,161.54870435828704
2025-02-01,31,16,q4_3,B0,q4-inheritance-v2,delivery,488.02732351851853,488.02732351851853,0.0,0.3285,0.3285,160.31697577583336,160.31697577583336
2025-02-01,31,17,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.3772,0.3772,0.0,0.0
2025-02-01,31,18,q4_3,B0,q4-inheritance-v2,delivery,572.8688947222223,572.8688947222223,0.0,0.3815,0.3815,218.5494833365278,218.5494833365278
2025-02-01,31,19,q4_3,B0,q4-inheritance-v2,delivery,583.7669164814815,583.7669164814815,0.0,0.3822,0.3822,223.11571547922225,223.11571547922225
2025-02-01,31,20,q4_3,B0,q4-inheritance-v2,delivery,554.2607314814815,554.2607314814815,0.0,0.3962,0.3962,219.59810181296294,219.59810181296294
2025-02-01,31,21,q4_3,B0,q4-inheritance-v2,delivery,331.87770416666706,331.87770416666706,0.0,0.3879,0.3879,128.73536144625015,128.73536144625015
2025-02-01,31,22,q4_3,B0,q4-inheritance-v2,delivery,557.7457591666667,557.7457591666667,0.0,0.3405,0.3405,189.91243099625004,189.91243099625004
2025-02-01,31,23,q4_3,B0,q4-inheritance-v2,delivery,567.5843796296298,567.5843796296298,0.0,0.3164,0.3164,179.58369771481486,179.58369771481486
2025-02-01,31,24,q4_3,B0,q4-inheritance-v2,delivery,568.9453477777778,568.9453477777778,0.0,0.3916,0.3916,222.7989981897778,222.7989981897778
2025-02-01,31,25,q4_3,B0,q4-inheritance-v2,delivery,580.5324366666666,580.5324366666666,0.0,0.4109,0.4109,238.54077822633332,238.54077822633332
2025-02-01,31,26,q4_3,B0,q4-inheritance-v2,delivery,615.2078240740741,615.2078240740741,0.0,0.361,0.361,222.09002449074075,222.09002449074075
2025-02-01,31,27,q4_3,B0,q4-inheritance-v2,delivery,1391.4288143518518,1391.4288143518518,0.0,0.3799,0.3799,528.6038065722685,528.6038065722685
2025-02-01,31,28,q4_3,B0,q4-inheritance-v2,delivery,510.5427855555555,510.5427855555555,0.0,0.4094,0.4094,209.0162164064444,209.0162164064444
2025-02-01,31,29,q4_3,B0,q4-inheritance-v2,delivery,506.75554469444444,506.75554469444444,0.0,0.4052,0.4052,205.33734671018888,205.33734671018888
2025-02-01,31,30,q4_3,B0,q4-inheritance-v2,delivery,602.8736524074073,602.8736524074073,0.0,0.3896,0.3896,234.8795749779259,234.8795749779259
2025-02-01,31,31,q4_3,B0,q4-inheritance-v2,delivery,630.6010792592592,630.6010792592592,0.0,0.3908,0.3908,246.43890177451848,246.43890177451848
2025-02-01,31,32,q4_3,B0,q4-inheritance-v2,delivery,598.0064444444445,598.0064444444445,0.0,0.3821,0.3821,228.49826242222224,228.49826242222224
2025-02-01,31,33,q4_3,B0,q4-inheritance-v2,delivery,602.577985,602.577985,0.0,0.3475,0.3475,209.3958497875,209.3958497875
2025-02-01,31,34,q4_3,B0,q4-inheritance-v2,delivery,355.45346963173523,355.45346963173523,0.0,0.5182,0.5182,184.1959879631652,184.1959879631652
2025-02-01,31,35,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8102,0.8102,0.0,0.0
2025-02-01,31,36,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8756,0.8756,0.0,0.0
2025-02-01,31,37,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.818,0.818,0.0,0.0
2025-02-01,31,38,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7708,0.7708,0.0,0.0
2025-02-01,31,39,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7715,0.7715,0.0,0.0
2025-02-01,31,40,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8181,0.8181,0.0,0.0
2025-02-01,31,41,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8678,0.8678,0.0,0.0
2025-02-01,31,42,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.864,0.864,0.0,0.0
2025-02-01,31,43,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8237,0.8237,0.0,0.0
2025-02-01,31,44,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7654,0.7654,0.0,0.0
2025-02-01,31,45,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7258,0.7258,0.0,0.0
2025-02-01,31,46,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8697,0.8697,0.0,0.0
2025-02-01,31,47,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,1.0783,1.0783,0.0,0.0
2025-02-01,31,48,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,1.0448,1.0448,0.0,0.0
2025-02-01,31,49,q4_3,B0,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.9667,0.9667,0.0,0.0
