date,day_index,event_hour,branch,level,label,backend,settlement_clock,soc_event_kwh,scenario_k,source_days,scenario_weights,objective_with_surrogates_yuan,level1,expected_emergency_cost_yuan,scenario_cvar_emergency_cost_yuan,solve_seconds,max_eq_residual,horizon_intervals,epsilon,risk_lambda,alpha,contract_changed_kwh,binaries,mip_gap,contracts_locked,schema_hash
2025-01-09,8,0,q4_3,B1,JANUARY_B1,q4-inheritance-v2,delivery,7802.124421984468,5,"[2, 3, 1, 5, 4]","[0.2, 0.2, 0.2, 0.2, 0.2]",147652.27683838073,147652.27683838073,707.5867127694445,3537.9335638472226,0.09366610000142828,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09,8,6,q4_3,B1,JANUARY_B1,q4-inheritance-v2,delivery,10800.0,5,"[2, 3, 1, 5, 4]","[0.2, 0.2, 0.2, 0.2, 0.2]",132398.48644228122,132398.48644228122,970.4387536076159,4852.19376803808,0.07349270000122488,1.8189894035458565e-12,253,0.0,0.02,0.8,1870.0395053817401,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09,8,12,q4_3,B1,JANUARY_B1,q4-inheritance-v2,delivery,10800.0,5,"[2, 3, 1, 5, 4]","[0.2, 0.2, 0.2, 0.2, 0.2]",95918.15833113382,95918.15833113382,2020.2651514187596,10101.325757093799,0.06423689999792259,5.4569682106375694e-12,217,0.0,0.02,0.8,4554.994366666667,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09,8,18,q4_3,B1,JANUARY_B1,q4-inheritance-v2,delivery,10800.0,5,"[2, 3, 1, 5, 4]","[0.2, 0.2, 0.2, 0.2, 0.2]",58786.0848960387,58786.0848960387,0.09607991466861292,0.4803995733430646,0.05598160000226926,1.8189894035458565e-12,181,0.0,0.02,0.8,4.547473508864641e-13,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-10,9,0,q4_3,B1,JANUARY_B1,q4-inheritance-v2,delivery,6499.6536268645805,6,"[2, 3, 1, 6, 5, 4]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",106324.72238854093,106324.72238854093,14425.978226731759,72129.8911336588,0.12405719999514986,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-10,9,6,q4_3,B1,JANUARY_B1,q4-inheritance-v2,delivery,8636.424430181003,6,"[2, 3, 1, 6, 5, 4]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",89815.17104649084,89815.17104649084,8212.543420125543,41062.71710062771,0.08379980000609066,1.8189894035458565e-12,253,0.0,0.02,0.8,1314.7425392708062,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-10,9,12,q4_3,B1,JANUARY_B1,q4-inheritance-v2,delivery,10800.0,6,"[2, 3, 1, 6, 5, 4]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",70270.4687617215,70270.4687617215,2925.46215567246,14627.310778362304,0.053086800005985424,1.8189894035458565e-12,217,0.0,0.02,0.8,2568.2090089506164,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-10,9,18,q4_3,B1,JANUARY_B1,q4-inheritance-v2,delivery,10800.0,6,"[2, 3, 1, 6, 5, 4]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",44816.35955162928,44816.35955162928,597.0449286573141,2985.2246432865713,0.04154710000148043,1.8189894035458565e-12,181,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-11,10,0,q4_3,B1,JANUARY_B1,q4-inheritance-v2,delivery,10261.563614798133,7,"[2, 3, 7, 1, 6, 5, 4]","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",109149.49624805221,109149.49624805221,15393.196553666548,76965.98276833275,0.10652430000482127,1.8189894035458565e-12,289,0.0,0.02,0.8,0.0,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-11,10,6,q4_3,B1,JANUARY_B1,q4-inheritance-v2,delivery,10625.105156089196,7,"[2, 3, 7, 1, 6, 5, 4]","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",100095.74745380817,100095.74745380817,14113.349543379562,70566.74771689782,0.11142699999618344,1.8189894035458565e-12,253,0.0,0.02,0.8,23.14033611111465,0,0.0,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
