date,day_index,plan_j,branch,level,backend,settlement_clock,B_kwh,A_kwh,delta_kwh,price_yuan_per_kwh,adjustment_price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-02-01,31,0,q4_3,B0,q4-inheritance-v2,delivery,461.79371240740744,461.79371240740744,0.0,0.3281,0.3281,151.51451704087037,151.51451704087037
2025-02-01,31,1,q4_3,B0,q4-inheritance-v2,delivery,476.7954062962965,476.7954062962965,0.0,0.3257,0.3257,155.29226383070377,155.29226383070377
2025-02-01,31,2,q4_3,B0,q4-inheritance-v2,delivery,474.70326851851854,474.70326851851854,0.0,0.3041,0.3041,144.3572639564815,144.3572639564815
2025-02-01,31,3,q4_3,B0,q4-inheritance-v2,delivery,477.6206540740741,477.6206540740741,0.0,0.3126,0.3126,149.30421646355555,149.30421646355555
2025-02-01,31,4,q4_3,B0,q4-inheritance-v2,delivery,503.97704870370364,503.97704870370364,0.0,0.3286,0.3286,165.60685820403702,165.60685820403702
2025-02-01,31,5,q4_3,B0,q4-inheritance-v2,delivery,524.6610462962963,524.6610462962963,0.0,0.3438,0.3438,180.37846771666665,180.37846771666665
2025-02-01,31,6,q4_3,B0,q4-inheritance-v2,delivery,491.9324170370371,491.9324170370371,0.0,0.3704,0.3704,182.21176727051855,182.21176727051855
2025-02-01,31,7,q4_3,B0,q4-inheritance-v2,delivery,489.94929722222224,489.94929722222224,0.0,0.3746,0.3746,183.53500673944444,183.53500673944444
2025-02-01,31,8,q4_3,B0,q4-inheritance-v2,delivery,528.894101851852,528.894101851852,0.0,0.3606,0.3606,190.71921312777783,190.71921312777783
2025-02-01,31,9,q4_3,B0,q4-inheritance-v2,delivery,543.9859245370369,543.9859245370369,0.0,0.3582,0.3582,194.85575816916662,194.85575816916662
2025-02-01,31,10,q4_3,B0,q4-inheritance-v2,delivery,543.609179722222,543.609179722222,0.0,0.3041,0.3041,165.31155155352772,165.31155155352772
2025-02-01,31,11,q4_3,B0,q4-inheritance-v2,delivery,537.4640092592592,537.4640092592592,0.0,0.2537,0.2537,136.35461914907407,136.35461914907407
2025-02-01,31,12,q4_3,B0,q4-inheritance-v2,delivery,509.56873768518517,509.56873768518517,0.0,0.3346,0.3346,170.50169962946296,170.50169962946296
2025-02-01,31,13,q4_3,B0,q4-inheritance-v2,delivery,513.5266538888887,513.5266538888887,0.0,0.3971,0.3971,203.92143425927773,203.92143425927773
