date,day_index,branch,level,label,backend,settlement_clock,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,pv_curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-02-01,31,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,20159.20054651549,20159.20054651549,0.0,0.0,13829.508996919192,13838.401106962137,4271.640505031145,3733.0282583333305,3733.0282583333305,9639.284758616803,8172.153406568111,6694.323184356251,9.094947017729282e-13,20430.90847912902,20015.75146661549
2025-02-02,32,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,85432.14358950366,47810.946291629065,37621.19729787459,6716.1508827098705,17938.61020054087,19285.819838562707,75.90870916666726,5.684341886080802e-14,5.684341886080802e-14,8172.153406568111,4861.174216220146,5699.599126533029,8.881784197001252e-13,47320.679994211416,47840.577940012394
2025-02-03,33,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,65438.63289166445,65386.984134325285,51.648757339167936,7.9778983333335205,22218.054145143746,18045.99048469949,5606.56376150693,0.0,0.0,4861.174216220146,6916.926910441219,6437.014262104747,9.094947017729282e-13,65911.26195821623,65355.817118566956
2025-02-04,34,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,66491.13518730989,66400.5735672651,90.56162004478426,14.314647916665496,20871.803674147643,18865.787523373874,6648.380029958853,0.3517833333333442,0.3517833333333442,6916.926910441219,6831.37231407826,6383.1514048359595,8.384404281969182e-13,67212.67619834538,66424.08424979843
2025-02-05,35,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,62909.9736202037,62909.9736202037,0.0,0.0,22031.183175083614,19024.3638243808,3787.064331066916,5.684341886080802e-14,5.684341886080802e-14,6831.37231407826,7678.5475883199415,7305.916441062404,9.023892744153272e-13,62921.00986556036,62950.966482320364
2025-02-06,36,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,66196.99177571105,66196.99177571105,0.0,0.0,20446.882744115384,18350.388397662453,6193.082775504123,1.400816666666799,1.400816666666799,7678.5475883199415,7733.155983079133,7412.57570915577,9.094947017729282e-13,67597.33203145122,66065.85131246105
2025-02-07,37,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,30201.729488016954,30201.729488016954,0.0,0.0,14386.07474715331,10071.094801775673,13163.42955462043,9569.338866666667,9569.338866666667,7733.155983079133,10765.118785178718,6772.397891462344,9.094947017729282e-13,30819.448170596334,30197.61385751279
2025-02-08,38,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,16231.824190117148,16231.824190117148,0.0,0.0,14279.410603822484,15484.198935449496,1381.0331146399244,3630.28385352085,3630.28385352085,10765.118785178718,7989.978337972192,6664.00097129347,9.094947017729282e-13,15861.7839117236,16276.373410746313
2025-02-09,39,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,93827.26593502218,48236.790893025405,45590.47504199677,8326.377484053492,17711.321649184858,18807.738191442302,5.684341886080801e-13,1.1368683772161603e-13,1.1368683772161603e-13,7989.978337972192,4967.316599256483,5678.777392217617,9.094947017729282e-13,47302.89489552019,48283.83516482957
2025-02-10,40,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,56543.83869953795,56543.83869953795,0.0,0.0,20675.21228425692,17510.256238588383,3179.8421758436284,193.2046666666668,193.2046666666668,4967.316599256483,6124.114467942489,5880.75229141379,9.094947017729282e-13,57817.88739820273,56563.274793500445
2025-02-11,41,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,59997.18371642795,58618.598327873566,1378.5853885543781,227.1402249074071,22360.22230556911,18563.62658679209,4066.4431871193406,121.92456969136038,121.92456969136038,6124.114467942489,7769.103360892327,7874.241116198728,8.872902412804251e-13,59407.32187566311,58551.3923242319
2025-02-12,42,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,57105.17123008481,56877.54726932121,227.6239607635991,36.54137416666468,19926.58972646812,18175.52285996826,2901.4542695120663,163.38428333333331,163.38428333333331,7769.103360892327,7514.442920845147,7293.741245706764,9.094947017729282e-13,58124.69093531031,56921.284509629535
2025-02-13,43,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,52265.92149223206,52186.409225318486,79.51226691357415,13.408412350820512,18461.91172464836,17639.582034583244,2461.563044022633,232.90716666666685,232.90716666666685,7514.442920845147,6435.1981565453025,6083.996070943626,9.094947017729282e-13,53098.237762334036,52074.52399947682
2025-02-14,44,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,26560.528907411514,26560.528907411514,0.0,0.0,14960.10017715348,9739.779559457771,8081.73540968341,9580.6982,9580.6982,6435.1981565453025,10360.96622649403,6314.731055542097,8.810729923425242e-13,26790.18830131385,26566.02931227402
2025-02-15,45,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,16845.5328762071,16845.5328762071,0.0,0.0,12433.829906900954,13738.418565894537,1361.5080242489832,6665.962496296297,6665.962496296297,10360.96622649403,7675.168284315007,7345.000394480177,9.059419880941277e-13,17157.612403269963,16946.77550343627
2025-02-16,46,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,89301.93083229937,44955.827470104734,44346.10336219463,7743.682998893008,16691.50115449122,17636.961927451594,95.0807562037038,1.1368683772161603e-13,1.1368683772161603e-13,7675.168284315007,4919.126416831549,5922.960624672775,9.094947017729282e-13,44844.77807955895,44952.3845965464
2025-02-17,47,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,58123.055749916,56358.475778301516,1764.5799716144877,277.6458531841565,20610.65236345214,16446.035041391875,3379.855944259267,646.6990333333333,646.6990333333333,4919.126416831549,7136.465006050656,7288.193959299408,9.094947017729282e-13,59199.089339601196,56407.04751991401
2025-02-18,48,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,53330.32733354625,50829.20706267556,2501.1202708706937,431.2187732571516,19651.183880028526,17695.50589269419,1729.5290690221495,114.79955731481465,114.79955731481465,7136.465006050656,7126.513950004957,7046.006869248044,9.094947017729282e-13,50937.45612964614,50752.94032008806
2025-02-19,49,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,53213.57177554364,51190.232059708345,2023.339715835292,334.0473023775248,20735.59124826337,18941.36130634974,1726.7517569135805,294.4889166666667,294.4889166666667,7126.513950004957,6832.075138352315,7176.599785776195,9.094947017729282e-13,51241.906399459134,51220.39888155835
2025-02-20,50,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,53979.053208715086,52969.74843832877,1009.3047703863211,163.6571176944449,19190.344541310573,17983.40549401122,3130.0590653347704,553.5938999999995,553.5938999999995,6832.075138352315,6081.4606727081755,6003.350130517694,9.094947017729282e-13,53657.782047867375,52861.032437270434
2025-02-21,51,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,23900.679811734615,23900.679811734615,0.0,0.0,15331.308575034664,10193.513027118268,6285.550837654322,11493.586933333332,11493.586933333332,6081.4606727081755,9881.110880338369,6153.191635738131,9.094947017729282e-13,24255.075537744764,23905.14664871795
2025-02-22,52,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,15635.620575115558,15581.957729515554,53.662845600003216,9.555350000000573,13569.2137519524,14474.520071118268,613.2510780401276,5996.5339537036925,5996.5339537036925,9881.110880338369,7496.513513640909,6538.372679004228,8.624212455288216e-13,15677.475812093886,15657.944110090557
2025-02-23,53,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,88846.50298066885,40948.37113450731,47898.13184616154,8494.48894279728,15373.631445003917,16876.99813347574,1.1368683772161603e-13,0.0,0.0,7496.513513640909,4291.302839835718,5295.148586662206,8.810729923425242e-13,38892.70122028604,40956.44380925731
2025-02-24,54,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,52557.17052329606,51672.96253213376,884.207991162294,161.41306149999812,22005.154066928357,16910.28627240322,2680.334683240736,967.5018999999999,967.5018999999999,4291.302839835718,7342.218138734747,7268.09842567898,8.881784197001252e-13,51786.632022808735,51718.54451190459
2025-02-25,55,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,50485.60410449493,49802.74256488866,682.8615396062764,108.76817750000427,17621.113648165225,15886.84139306989,2816.9687441234532,1100.7015148148143,1100.7015148148143,7342.218138734747,7312.873140484646,7308.742921694682,8.490985692333197e-13,51064.59497151487,49739.22644134698
2025-02-26,56,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,47746.91017479559,46925.86170071017,821.0484740854148,137.66748316666616,19647.811912699333,18242.429148605155,5.741300000000379,1.9220519273388526e-14,1.9220519273388526e-14,7312.873140484646,6723.215424020911,6463.298076991923,8.988365607365267e-13,46668.05422086097,46962.511291231
2025-02-27,57,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,47359.52120261791,46737.53254115324,621.9886614646671,99.00861083333268,20426.356166748836,18354.70734532814,1181.4322548072703,538.9719662962926,538.9719662962926,6723.215424020911,6753.798027093438,6596.136634131887,8.633094239485217e-13,46652.31155031643,46642.93100890324
2025-02-28,58,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,21548.807713391914,21548.807713391914,0.0,0.0,15966.19791826803,10937.903422951602,5540.386151111107,11274.720887037034,11274.720887037034,6753.798027093438,10371.100777696833,6670.103082559745,8.668621376273222e-13,21661.934456646755,21546.23297289191
2025-03-01,59,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,15919.80687455181,15919.80687455181,0.0,0.0,10500.346584585108,12055.571446705728,2499.10659691203,10405.728037037039,10405.728037037039,10371.100777696833,7624.91611740738,6824.454300335425,9.094947017729282e-13,16186.015758672944,16007.022258426812
2025-03-02,60,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,86652.04595808059,41260.24294697417,45391.803011106414,8394.773486835697,17149.875078270285,18176.619803209094,23.153271388889152,4.973799150320701e-14,4.973799150320701e-14,7624.91611740738,4734.876587461057,5849.146529993253,9.094947017729282e-13,39264.437025091305,41254.15894914917
2025-03-03,61,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,54623.725399799274,54218.46946014636,405.255939652914,83.11933499999947,22938.66857116855,18780.609913856904,3413.312126551156,296.48960000000005,296.48960000000005,4734.876587461057,6699.90728213607,6929.595426291388,9.094947017729282e-13,55341.27752417394,54207.633497171366
2025-03-04,62,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,48640.90316833531,48628.467323627876,12.435844707428224,2.324022557919683,20811.038978611385,18157.787330594936,504.83491202528063,600.6831000000003,600.6831000000003,6699.90728213607,7303.003965013312,7399.109389785403,9.094947017729282e-13,47677.69897834484,48640.44320587788
2025-03-05,63,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,47748.0257060335,47610.49083471181,137.53487132168715,34.059401728393134,19016.129650688054,17180.3277435174,3241.880844259261,259.10245,259.10245,7303.003965013312,7233.633018952195,7336.497230139323,9.094947017729282e-13,48802.390916819124,47630.05928216181
2025-03-06,64,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,46663.462025855886,46400.365868930894,263.09615692498966,56.91807723456323,19582.529394470545,18174.781500088386,2276.037497743822,599.4014666666666,599.4014666666666,7233.633018952195,6653.349750345966,6687.1295674874555,8.739675649849232e-13,45586.39853060187,46294.62196593089
2025-03-07,65,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,22432.570559488868,22432.570559488868,0.0,0.0,13862.925159115304,9635.31601628493,7805.111312932089,12622.514374074073,12622.514374074073,6653.349750345966,9648.360448602776,5997.004823002257,8.384404281969182e-13,23114.93165679068,22444.342040888867
2025-03-08,66,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,13030.339744374376,13030.339744374376,0.0,0.0,15477.053593004479,15722.14451141549,110.39855305555639,10146.301160979707,10146.301160979707,9648.360448602776,7758.587242522787,7010.493874368845,8.988365607365267e-13,13098.10714964104,13098.107149641044
2025-03-09,67,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,78918.36615535169,34781.02004726242,44137.34610808927,8148.825590666672,15470.351448586523,16731.25113793308,24.844366666666417,1.0413891970983968e-13,1.0413891970983968e-13,7758.587242522787,4798.764043384207,5711.309355164222,8.242295734817162e-13,34228.093713084614,34764.56775619576
2025-03-10,68,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,50414.68937603813,47970.48465974831,2444.2047162898166,418.6242723055601,22861.938054067057,18059.949563847644,706.3264093038412,1.5121237595394632e-13,1.5121237595394632e-13,4798.764043384207,7450.644486502077,7365.406858036487,9.094947017729282e-13,47478.93909295632,48037.65012304832
2025-03-11,69,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,46126.58465334118,43277.91868377805,2848.6659695631274,562.1643197777727,18585.494232286466,17571.632736430976,423.4921339814807,1.0658141036401503e-13,1.0658141036401503e-13,7450.644486502077,6560.265232320058,6283.27257154174,9.094947017729282e-13,40093.02078132465,43210.225394853056
2025-03-12,70,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,46865.252656890414,45175.47777216369,1689.7748847267228,266.64884950000095,20025.785110265897,17130.502791514307,2742.58954296296,685.2110380555541,685.2110380555541,6560.265232320058,7501.2576684253945,7603.409653518331,8.946732243941824e-13,46120.111309776126,45190.07285212203
2025-03-13,71,q4_3,B0,MATCHED_FIXED_DECISION,q4-inheritance-v2,delivery,47944.70955244296,45686.541731254176,2258.1678211887875,347.0346616666675,17229.412828783672,17029.617178764314,1113.774053055557,105.99734999999994,105.99734999999994,7501.2576684253945,5895.721199101038,5871.814249028928,9.094947017729282e-13,45798.39873676386,45615.441000620835
