date,day_index,plan_j,branch,level,backend,settlement_clock,B_kwh,A_kwh,delta_kwh,price_yuan_per_kwh,adjustment_price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-02-01,31,0,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.3281,0.3281,0.0,0.0
2025-02-01,31,1,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.3257,0.3257,0.0,0.0
2025-02-01,31,2,q4_3,B1,q4-inheritance-v2,delivery,1271.8426096258672,1271.8426096258672,0.0,0.3041,0.3041,386.7673375872262,386.7673375872262
2025-02-01,31,3,q4_3,B1,q4-inheritance-v2,delivery,1310.9539874074073,1310.9539874074073,0.0,0.3126,0.3126,409.8042164635555,409.8042164635555
2025-02-01,31,4,q4_3,B1,q4-inheritance-v2,delivery,503.97704870370364,503.97704870370364,0.0,0.3286,0.3286,165.60685820403702,165.60685820403702
2025-02-01,31,5,q4_3,B1,q4-inheritance-v2,delivery,524.6610462962963,524.6610462962963,0.0,0.3438,0.3438,180.37846771666665,180.37846771666665
2025-02-01,31,6,q4_3,B1,q4-inheritance-v2,delivery,491.9324170370371,491.9324170370371,0.0,0.3704,0.3704,182.21176727051855,182.21176727051855
2025-02-01,31,7,q4_3,B1,q4-inheritance-v2,delivery,489.94929722222224,489.94929722222224,0.0,0.3746,0.3746,183.53500673944444,183.53500673944444
2025-02-01,31,8,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.3606,0.3606,0.0,0.0
2025-02-01,31,9,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.3582,0.3582,0.0,0.0
2025-02-01,31,10,q4_3,B1,q4-inheritance-v2,delivery,116.4892061111106,116.4892061111106,0.0,0.3041,0.3041,35.42436757838873,35.42436757838873
2025-02-01,31,11,q4_3,B1,q4-inheritance-v2,delivery,1370.7973425925925,1370.7973425925925,0.0,0.2537,0.2537,347.77128581574067,347.77128581574067
2025-02-01,31,12,q4_3,B1,q4-inheritance-v2,delivery,1342.9020710185184,1342.9020710185184,0.0,0.3346,0.3346,449.3350329627963,449.3350329627963
2025-02-01,31,13,q4_3,B1,q4-inheritance-v2,delivery,513.5266538888887,513.5266538888887,0.0,0.3971,0.3971,203.92143425927773,203.92143425927773
2025-02-01,31,14,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.367,0.367,0.0,0.0
2025-02-01,31,15,q4_3,B1,q4-inheritance-v2,delivery,1105.7370249279845,1105.7370249279845,0.0,0.3185,0.3185,352.1772424395631,352.1772424395631
2025-02-01,31,16,q4_3,B1,q4-inheritance-v2,delivery,488.02732351851853,488.02732351851853,0.0,0.3285,0.3285,160.31697577583336,160.31697577583336
2025-02-01,31,17,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.3772,0.3772,0.0,0.0
2025-02-01,31,18,q4_3,B1,q4-inheritance-v2,delivery,572.8688947222223,572.8688947222223,0.0,0.3815,0.3815,218.5494833365278,218.5494833365278
2025-02-01,31,19,q4_3,B1,q4-inheritance-v2,delivery,626.1136033333335,626.1136033333335,0.0,0.3822,0.3822,239.30061919400003,239.30061919400003
2025-02-01,31,20,q4_3,B1,q4-inheritance-v2,delivery,554.2607314814815,554.2607314814815,0.0,0.3962,0.3962,219.59810181296294,219.59810181296294
2025-02-01,31,21,q4_3,B1,q4-inheritance-v2,delivery,543.9439217592593,543.9439217592593,0.0,0.3879,0.3879,210.9958472504167,210.9958472504167
2025-02-01,31,22,q4_3,B1,q4-inheritance-v2,delivery,562.9196025,562.9196025,0.0,0.3405,0.3405,191.67412465125003,191.67412465125003
2025-02-01,31,23,q4_3,B1,q4-inheritance-v2,delivery,594.9016666666666,594.9016666666666,0.0,0.3164,0.3164,188.22688733333334,188.22688733333334
2025-02-01,31,24,q4_3,B1,q4-inheritance-v2,delivery,579.8875533333331,579.8875533333331,0.0,0.3916,0.3916,227.08396588533324,227.08396588533324
2025-02-01,31,25,q4_3,B1,q4-inheritance-v2,delivery,597.5417283333333,597.5417283333333,0.0,0.4109,0.4109,245.52989617216662,245.52989617216662
2025-02-01,31,26,q4_3,B1,q4-inheritance-v2,delivery,615.2078240740741,615.2078240740741,0.0,0.361,0.361,222.09002449074075,222.09002449074075
2025-02-01,31,27,q4_3,B1,q4-inheritance-v2,delivery,835.1708775743581,835.1708775743581,0.0,0.3799,0.3799,317.28141639049863,317.28141639049863
2025-02-01,31,28,q4_3,B1,q4-inheritance-v2,delivery,572.4512141666665,572.4512141666665,0.0,0.4094,0.4094,234.36152707983328,234.36152707983328
2025-02-01,31,29,q4_3,B1,q4-inheritance-v2,delivery,239.16767731270878,239.16767731270878,0.0,0.4052,0.4052,96.9107428471096,96.9107428471096
2025-02-01,31,30,q4_3,B1,q4-inheritance-v2,delivery,605.3375608333334,605.3375608333334,0.0,0.3896,0.3896,235.8395137006667,235.8395137006667
2025-02-01,31,31,q4_3,B1,q4-inheritance-v2,delivery,639.6178416666668,639.6178416666668,0.0,0.3908,0.3908,249.96265252333336,249.96265252333336
2025-02-01,31,32,q4_3,B1,q4-inheritance-v2,delivery,56.76884971506804,56.76884971506804,0.0,0.3821,0.3821,21.6913774761275,21.6913774761275
2025-02-01,31,33,q4_3,B1,q4-inheritance-v2,delivery,1421.0051291666664,1421.0051291666664,0.0,0.3475,0.3475,493.7992823854165,493.7992823854165
2025-02-01,31,34,q4_3,B1,q4-inheritance-v2,delivery,555.9989258333331,555.9989258333331,0.0,0.5182,0.5182,288.1186433668332,288.1186433668332
2025-02-01,31,35,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8102,0.8102,0.0,0.0
2025-02-01,31,36,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8756,0.8756,0.0,0.0
2025-02-01,31,37,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.818,0.818,0.0,0.0
2025-02-01,31,38,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7708,0.7708,0.0,0.0
2025-02-01,31,39,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7715,0.7715,0.0,0.0
2025-02-01,31,40,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8181,0.8181,0.0,0.0
2025-02-01,31,41,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8678,0.8678,0.0,0.0
2025-02-01,31,42,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.864,0.864,0.0,0.0
2025-02-01,31,43,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8237,0.8237,0.0,0.0
2025-02-01,31,44,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7654,0.7654,0.0,0.0
2025-02-01,31,45,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7258,0.7258,0.0,0.0
2025-02-01,31,46,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8697,0.8697,0.0,0.0
2025-02-01,31,47,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,1.0783,1.0783,0.0,0.0
2025-02-01,31,48,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,1.0448,1.0448,0.0,0.0
2025-02-01,31,49,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.9667,0.9667,0.0,0.0
2025-02-01,31,50,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.9429,0.9429,0.0,0.0
2025-02-01,31,51,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.893,0.893,0.0,0.0
2025-02-01,31,52,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.9266,0.9266,0.0,0.0
2025-02-01,31,53,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.9995,0.9995,0.0,0.0
2025-02-01,31,54,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.9415,0.9415,0.0,0.0
2025-02-01,31,55,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8825,0.8825,0.0,0.0
2025-02-01,31,56,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8929,0.8929,0.0,0.0
2025-02-01,31,57,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.9059,0.9059,0.0,0.0
2025-02-01,31,58,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8581,0.8581,0.0,0.0
2025-02-01,31,59,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8084,0.8084,0.0,0.0
2025-02-01,31,60,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8605,0.8605,0.0,0.0
2025-02-01,31,61,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8292,0.8292,0.0,0.0
2025-02-01,31,62,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7446,0.7446,0.0,0.0
2025-02-01,31,63,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7982,0.7982,0.0,0.0
2025-02-01,31,64,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.6917,0.6917,0.0,0.0
2025-02-01,31,65,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.438,0.438,0.0,0.0
2025-02-01,31,66,q4_3,B1,q4-inheritance-v2,delivery,275.5488910802534,275.5488910802534,0.0,0.3671,0.3671,101.153997915561,101.153997915561
2025-02-01,31,67,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.3419,0.3419,0.0,0.0
2025-02-01,31,68,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.308,0.308,0.0,0.0
2025-02-01,31,69,q4_3,B1,q4-inheritance-v2,delivery,485.68033379629605,352.4083407795566,-133.27199301673943,0.3563,0.3563,173.04790293162029,149.30549737568816
2025-02-01,31,70,q4_3,B1,q4-inheritance-v2,delivery,495.95956481481505,0.0,-495.95956481481505,0.3499,0.3499,173.53625172870377,86.76812586435189
2025-02-01,31,71,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.2979,0.2979,0.0,0.0
2025-02-01,31,72,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.3528,0.3528,0.0,0.0
2025-02-01,31,73,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.4214,0.4214,0.0,0.0
2025-02-01,31,74,q4_3,B1,q4-inheritance-v2,delivery,533.7143416666667,0.0,-533.7143416666667,0.4077,0.4077,217.5953370975,108.79766854875
2025-02-01,31,75,q4_3,B1,q4-inheritance-v2,delivery,521.9761375925927,0.0,-521.9761375925927,0.3359,0.3359,175.3317846173519,87.66589230867595
2025-02-01,31,76,q4_3,B1,q4-inheritance-v2,delivery,314.7383619832572,0.0,-314.7383619832572,0.4541,0.4541,142.92269017659711,71.46134508829856
2025-02-01,31,77,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.6884,0.6884,0.0,0.0
2025-02-01,31,78,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7168,0.7168,0.0,0.0
2025-02-01,31,79,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7194,0.7194,0.0,0.0
2025-02-01,31,80,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7375,0.7375,0.0,0.0
2025-02-01,31,81,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.6413,0.6413,0.0,0.0
2025-02-01,31,82,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.6761,0.6761,0.0,0.0
2025-02-01,31,83,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8225,0.8225,0.0,0.0
2025-02-01,31,84,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8111,0.8111,0.0,0.0
2025-02-01,31,85,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8061,0.8061,0.0,0.0
2025-02-01,31,86,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8727,0.8727,0.0,0.0
2025-02-01,31,87,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.8717,0.8717,0.0,0.0
2025-02-01,31,88,q4_3,B1,q4-inheritance-v2,delivery,0.0,0.0,0.0,0.7054,0.7054,0.0,0.0
2025-02-01,31,89,q4_3,B1,q4-inheritance-v2,delivery,777.3381641975295,698.5713052777796,-78.7668589197499,0.5147,0.5147,400.09595311246846,379.82530196947084
