date,day_index,branch,level,label,backend,settlement_clock,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,pv_curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-02-01,31,q4_3,B1,FORMAL_FROZEN,q4-inheritance-v2,delivery,21212.039709587643,21212.039709587643,0.0,0.0,21390.683720045337,18315.253010192344,5162.857726802764,3571.650948526478,3571.650948526478,9639.284758616803,10626.297326217222,9058.512350645671,9.094947017729282e-13,21441.537197810372,21017.178998762643
2025-02-02,32,q4_3,B1,FORMAL_FROZEN,q4-inheritance-v2,delivery,84080.97522810125,47213.45658798434,36867.518640116905,6750.93053381607,19612.78108243593,22509.41001460901,50.0444021581435,5.684341886080802e-14,5.684341886080802e-14,10626.297326217222,5505.613689855779,5486.230702627283,8.473222123939195e-13,46585.52448260235,47015.93876018435
2025-02-03,33,q4_3,B1,FORMAL_FROZEN,q4-inheritance-v2,delivery,65570.88550295516,65570.88550295516,0.0,0.0,27177.141934750754,22343.2459772479,4705.6726101049335,0.0,0.0,5505.613689855779,7736.265128936026,7219.973303576188,9.094947017729282e-13,66738.69971721363,65811.93927337183
2025-02-04,34,q4_3,B1,FORMAL_FROZEN,q4-inheritance-v2,delivery,66637.06655070606,66637.06655070606,0.0,0.0,26719.594938341284,25071.247551229375,7339.044400058477,0.3517833333333442,0.3517833333333442,7736.265128936026,6657.283229680836,6900.24900220213,9.094947017729282e-13,67691.51285143736,66997.48563951439
2025-02-05,35,q4_3,B1,FORMAL_FROZEN,q4-inheritance-v2,delivery,64231.934322945424,64231.934322945424,0.0,0.0,27046.54153767256,22948.131944156274,4931.039028806576,2.052500000000066,2.052500000000066,6657.283229680836,8126.430459966337,7061.63321205428,9.094947017729282e-13,62714.53389886821,63630.46146372042
2025-02-06,36,q4_3,B1,FORMAL_FROZEN,q4-inheritance-v2,delivery,64595.54910099563,64595.54910099563,0.0,0.0,25114.674732128366,26970.269235247888,6563.759501399181,1.400816666666799,1.400816666666799,8126.430459966337,3523.1429505241404,3921.202177892114,9.094947017729282e-13,66635.03364109849,65005.39918224563
2025-02-07,37,q4_3,B1,FORMAL_FROZEN,q4-inheritance-v2,delivery,31992.801842106208,31992.801842106208,0.0,0.0,21102.27234393227,12165.82030340016,14518.955562449195,9569.338866666667,9569.338866666667,3523.1429505241404,10718.615686437552,6987.155448631232,8.526512829121202e-13,32356.977139102597,31756.87431011871
2025-02-08,38,q4_3,B1,FORMAL_FROZEN,q4-inheritance-v2,delivery,17735.572760536816,17735.572760536816,0.0,0.0,22376.118668973384,20532.850679224193,2445.60359041975,4255.851413827158,4255.851413827158,10718.615686437552,10302.940742060962,8979.43289001568,9.094947017729282e-13,16565.41449714695,17753.509905374314
2025-02-09,39,q4_3,B1,FORMAL_FROZEN,q4-inheritance-v2,delivery,92168.41061783815,48760.65613674944,43407.75448108871,7988.253075545649,18493.350250800147,21922.257111737465,9.663381206337363e-13,1.7053025658242404e-13,1.7053025658242404e-13,10302.940742060962,4739.185275021757,4996.9691920351,9.094947017729282e-13,46742.113284065716,48797.845609903605
2025-02-10,40,q4_3,B1,FORMAL_FROZEN,q4-inheritance-v2,delivery,57049.822903574306,57049.822903574306,0.0,0.0,25849.863014990115,22588.703367858754,2096.4465438556986,193.2046666666668,193.2046666666668,4739.185275021757,5451.934563453262,5194.151308929988,9.094947017729282e-13,58588.67152724354,57108.44486496181
