date,day_index,plan_j,B_kwh,A_kwh,delta_A_minus_B_kwh,price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-06-01,151,0,0.0,0.0,0.0,0.5243,0.0,0.0
2025-06-01,151,1,0.0,0.0,0.0,0.5142,0.0,0.0
2025-06-01,151,2,512.0691666666668,512.0691666666668,0.0,0.535,273.95700416666676,273.95700416666676
2025-06-01,151,3,1367.7249841666667,1367.7249841666667,0.0,0.5077,694.3939744614167,694.3939744614167
2025-06-01,151,4,1373.1871091666667,1373.1871091666667,0.0,0.4869,668.60480345325,668.60480345325
2025-06-01,151,5,519.56425,519.56425,0.0,0.4953,257.340173025,257.340173025
2025-06-01,151,6,0.0,0.0,0.0,0.4969,0.0,0.0
2025-06-01,151,7,0.0,0.0,0.0,0.4887,0.0,0.0
2025-06-01,151,8,0.0,0.0,0.0,0.479,0.0,0.0
2025-06-01,151,9,0.0,0.0,0.0,0.4779,0.0,0.0
2025-06-01,151,10,0.0,0.0,0.0,0.4928,0.0,0.0
2025-06-01,151,11,0.0,0.0,0.0,0.4969,0.0,0.0
2025-06-01,151,12,527.852205,527.852205,0.0,0.4617,243.70936304850002,243.70936304850002
2025-06-01,151,13,1354.7574475,1354.7574475,0.0,0.4772,646.4902539469999,646.4902539469999
2025-06-01,151,14,1362.157,1362.157,0.0,0.5155,702.1919334999999,702.1919334999999
2025-06-01,151,15,1385.0250735702555,1385.0250735702555,0.0,0.461,638.4965589158878,638.4965589158878
2025-06-01,151,16,554.5996416666667,554.5996416666667,0.0,0.432,239.5870452,239.5870452
2025-06-01,151,17,0.0,0.0,0.0,0.4559,0.0,0.0
2025-06-01,151,18,1379.61819,1379.61819,0.0,0.4425,610.481049075,610.481049075
2025-06-01,151,19,1386.9293375,1386.9293375,0.0,0.434,601.927332475,601.927332475
2025-06-01,151,20,542.9679166666667,542.9679166666667,0.0,0.4424,240.20900633333338,240.20900633333338
2025-06-01,151,21,539.3249416666666,539.3249416666666,0.0,0.4324,233.20410477666667,233.20410477666667
2025-06-01,151,22,550.3707408333333,550.3707408333333,0.0,0.4379,241.00734741091668,241.00734741091668
2025-06-01,151,23,2.1441558943057277,2.1441558943057277,0.0,0.4629,0.9925297634741214,0.9925297634741214
2025-06-01,151,24,0.0,0.0,0.0,0.4761,0.0,0.0
2025-06-01,151,25,0.0,0.0,0.0,0.4965,0.0,0.0
2025-06-01,151,26,540.9540833333334,540.9540833333334,0.0,0.5039,272.58676259166674,272.58676259166674
2025-06-01,151,27,554.0309383333333,554.0309383333333,0.0,0.4586,254.07858831966666,254.07858831966666
2025-06-01,151,28,0.0,0.0,0.0,0.4488,0.0,0.0
2025-06-01,151,29,0.0,0.0,0.0,0.4765,0.0,0.0
2025-06-01,151,30,1390.9088716666665,1390.9088716666665,0.0,0.4576,636.4798996746666,636.4798996746666
2025-06-01,151,31,1360.7221116666667,1360.7221116666667,0.0,0.4352,592.1862629973333,592.1862629973333
2025-06-01,151,32,465.6880208333333,465.6880208333333,0.0,0.4079,189.95414369791666,189.95414369791666
2025-06-01,151,33,426.1097958333334,426.1097958333334,0.0,0.3697,157.53279151958336,157.53279151958336
2025-06-01,151,34,0.0,0.0,0.0,0.585,0.0,0.0
2025-06-01,151,35,0.0,0.0,0.0,0.9241,0.0,0.0
2025-06-01,151,36,0.0,0.0,0.0,0.9495,0.0,0.0
2025-06-01,151,37,0.0,0.0,0.0,0.837,0.0,0.0
2025-06-01,151,38,0.0,0.0,0.0,0.7681,0.0,0.0
2025-06-01,151,39,0.0,0.0,0.0,0.7617,0.0,0.0
2025-06-01,151,40,0.0,0.0,0.0,0.7946,0.0,0.0
2025-06-01,151,41,0.0,0.0,0.0,0.8085,0.0,0.0
2025-06-01,151,42,0.0,0.0,0.0,0.756,0.0,0.0
2025-06-01,151,43,0.0,0.0,0.0,0.7343,0.0,0.0
2025-06-01,151,44,0.0,0.0,0.0,0.7179,0.0,0.0
2025-06-01,151,45,0.0,0.0,0.0,0.6344,0.0,0.0
2025-06-01,151,46,0.0,0.0,0.0,0.8323,0.0,0.0
2025-06-01,151,47,0.0,0.0,0.0,1.1829,0.0,0.0
2025-06-01,151,48,0.0,0.0,0.0,1.1763,0.0,0.0
2025-06-01,151,49,0.0,0.0,0.0,1.1012,0.0,0.0
2025-06-01,151,50,0.0,0.0,0.0,1.1139,0.0,0.0
2025-06-01,151,51,0.0,0.0,0.0,1.0818,0.0,0.0
2025-06-01,151,52,0.0,0.0,0.0,1.0652,0.0,0.0
2025-06-01,151,53,0.0,0.0,0.0,1.0938,0.0,0.0
2025-06-01,151,54,0.0,0.0,0.0,1.1116,0.0,0.0
2025-06-01,151,55,0.0,0.0,0.0,1.0579,0.0,0.0
2025-06-01,151,56,0.0,0.0,0.0,1.0027,0.0,0.0
2025-06-01,151,57,0.0,0.0,0.0,1.0719,0.0,0.0
2025-06-01,151,58,0.0,0.0,0.0,1.1008,0.0,0.0
2025-06-01,151,59,0.0,0.0,0.0,1.037,0.0,0.0
2025-06-01,151,60,0.0,0.0,0.0,0.9932,0.0,0.0
2025-06-01,151,61,0.0,0.0,0.0,0.9935,0.0,0.0
2025-06-01,151,62,0.0,0.0,0.0,1.0231,0.0,0.0
2025-06-01,151,63,0.0,0.0,0.0,1.0337,0.0,0.0
2025-06-01,151,64,0.0,0.0,0.0,0.9079,0.0,0.0
2025-06-01,151,65,0.0,0.0,0.0,0.7195,0.0,0.0
2025-06-01,151,66,0.0,0.0,0.0,0.6776,0.0,0.0
2025-06-01,151,67,0.0,0.0,0.0,0.7033,0.0,0.0
2025-06-01,151,68,0.0,0.0,0.0,0.6991,0.0,0.0
2025-06-01,151,69,0.0,0.0,0.0,0.6506,0.0,0.0
2025-06-01,151,70,0.0,0.0,0.0,0.6469,0.0,0.0
2025-06-01,151,71,0.0,0.0,0.0,0.6555,0.0,0.0
2025-06-01,151,72,0.0,0.0,0.0,0.5626,0.0,0.0
2025-06-01,151,73,0.0,0.0,0.0,0.5057,0.0,0.0
2025-06-01,151,74,0.0,0.0,0.0,0.5332,0.0,0.0
2025-06-01,151,75,0.0,0.0,0.0,0.5802,0.0,0.0
2025-06-01,151,76,0.0,0.0,0.0,0.7386,0.0,0.0
2025-06-01,151,77,0.0,0.0,0.0,0.9443,0.0,0.0
2025-06-01,151,78,0.0,0.0,0.0,1.0012,0.0,0.0
2025-06-01,151,79,0.0,0.0,0.0,0.9715,0.0,0.0
2025-06-01,151,80,0.0,0.0,0.0,0.9505,0.0,0.0
2025-06-01,151,81,0.0,0.0,0.0,0.9764,0.0,0.0
2025-06-01,151,82,0.0,0.0,0.0,0.9981,0.0,0.0
2025-06-01,151,83,0.0,0.0,0.0,1.0068,0.0,0.0
2025-06-01,151,84,0.0,0.0,0.0,1.0372,0.0,0.0
2025-06-01,151,85,0.0,0.0,0.0,1.0424,0.0,0.0
2025-06-01,151,86,0.0,0.0,0.0,1.0442,0.0,0.0
2025-06-01,151,87,0.0,0.0,0.0,1.081,0.0,0.0
2025-06-01,151,88,0.0,0.0,0.0,0.9172,0.0,0.0
2025-06-01,151,89,0.0,0.0,0.0,0.6687,0.0,0.0
2025-06-01,151,90,0.0,0.0,0.0,0.7151,0.0,0.0
2025-06-01,151,91,0.0,0.0,0.0,0.8162,0.0,0.0
2025-06-01,151,92,0.0,0.0,0.0,0.825,0.0,0.0
2025-06-01,151,93,0.0,0.0,0.0,0.8312,0.0,0.0
2025-06-01,151,94,70.30884666666668,70.30884666666668,0.0,0.8551,60.121094784666674,60.121094784666674
2025-06-01,151,95,134.5785625000002,134.5785625000002,0.0,0.865,116.41045656250017,116.41045656250017
2025-06-01,151,96,183.75058000000035,183.75058000000035,0.0,0.8342,153.2847338360003,153.2847338360003
2025-06-01,151,97,220.64614416666666,220.64614416666666,0.0,0.878,193.72731457833333,193.72731457833333
2025-06-01,151,98,255.26554166666676,255.26554166666676,0.0,0.9721,248.14363305416674,248.14363305416674
2025-06-01,151,99,308.8709500000001,308.8709500000001,0.0,0.9734,300.65498273000014,300.65498273000014
2025-06-01,151,100,355.1278749999999,355.1278749999999,0.0,0.9616,341.4909645999999,341.4909645999999
2025-06-01,151,101,385.46383333333335,385.46383333333335,0.0,0.9798,377.6774639,377.6774639
2025-06-01,151,102,425.3302683333335,425.3302683333335,0.0,0.9925,422.1402913208335,422.1402913208335
2025-06-01,151,103,470.09362250000004,470.09362250000004,0.0,1.0203,479.63652303675,479.63652303675
2025-06-01,151,104,529.5298750000002,529.5298750000002,0.0,1.0309,545.8923481375001,545.8923481375001
2025-06-01,151,105,588.2602216666668,588.2602216666668,0.0,0.9855,579.7304484525001,579.7304484525001
2025-06-01,151,106,561.8251608333333,561.8251608333333,0.0,1.0772,605.1980632496666,605.1980632496666
2025-06-01,151,107,489.2943541666667,489.2943541666667,0.0,1.2546,613.8686967375,613.8686967375
2025-06-01,151,108,514.7084833333334,514.7084833333334,0.0,1.2645,650.8488771750001,650.8488771750001
2025-06-01,151,109,412.32543371506836,412.32543371506836,0.0,1.2523,516.3551406413801,516.3551406413801
2025-06-01,151,110,0.0,0.0,0.0,1.3001,0.0,0.0
2025-06-01,151,111,0.0,0.0,0.0,1.3379,0.0,0.0
2025-06-01,151,112,0.0,0.0,0.0,1.3489,0.0,0.0
2025-06-01,151,113,0.0,0.0,0.0,1.3501,0.0,0.0
2025-06-01,151,114,0.0,0.0,0.0,1.3694,0.0,0.0
2025-06-01,151,115,673.0515783333333,673.0515783333333,0.0,1.4009,942.8779560871666,942.8779560871666
2025-06-01,151,116,685.7595,685.7595,0.0,1.406,964.1778569999999,964.1778569999999
2025-06-01,151,117,0.0,0.0,0.0,1.3566,0.0,0.0
2025-06-01,151,118,0.0,0.0,0.0,1.3535,0.0,0.0
2025-06-01,151,119,0.0,0.0,0.0,1.3869,0.0,0.0
2025-06-01,151,120,0.0,0.0,0.0,1.352,0.0,0.0
2025-06-01,151,121,0.0,0.0,0.0,1.3355,0.0,0.0
2025-06-01,151,122,0.0,0.0,0.0,1.3691,0.0,0.0
2025-06-01,151,123,0.0,0.0,0.0,1.3713,0.0,0.0
2025-06-01,151,124,0.0,0.0,0.0,1.2337,0.0,0.0
2025-06-01,151,125,732.2943333333334,732.2943333333334,0.0,1.059,775.499699,775.499699
2025-06-01,151,126,710.3310866666667,710.3310866666667,0.0,1.065,756.5026073,756.5026073
2025-06-01,151,127,688.5972708333334,688.5972708333334,0.0,1.0726,738.5894326958334,738.5894326958334
2025-06-01,151,128,695.9472499999999,695.9472499999999,0.0,1.0487,729.8398810749999,729.8398810749999
2025-06-01,151,129,722.5557183333334,722.5557183333334,0.0,1.0897,787.3689662678333,787.3689662678333
2025-06-01,151,130,645.3252600000001,645.3252600000001,0.0,0.8466,546.3323651160001,546.3323651160001
2025-06-01,151,131,1349.9685833333333,1349.9685833333333,0.0,0.4701,634.620231025,634.620231025
2025-06-01,151,132,1348.1929774999999,1348.1929774999999,0.0,0.4948,667.085885267,667.085885267
2025-06-01,151,133,157.440979809133,157.440979809133,0.0,0.5535,87.14358232435512,87.14358232435512
2025-06-01,151,134,0.0,0.0,0.0,0.4834,0.0,0.0
2025-06-01,151,135,0.0,0.0,0.0,0.4865,0.0,0.0
