date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-11-01,304,q4_2,B0,FORMAL_FROZEN,14245.244226870764,14245.244226870764,0.0,0.0,20360.87212463109,17765.438483834656,1484.7322942592666,8279.616326442665,6000.0,6589.602904871158,6000.0,1.8189894035458565e-12,14097.105957245763,14097.105957245763
2025-11-02,305,q4_2,B0,FORMAL_FROZEN,142404.99733200023,30845.422643693422,111559.57468830686,18562.803835888873,18042.090261405294,17356.44806301476,0.0,0.0,6589.602904871158,5410.529941271412,6000.0,9.094947017729282e-13,31073.24610622676,31073.24610622676
2025-11-03,306,q4_2,B0,FORMAL_FROZEN,68843.02665617826,44270.17997515677,24572.846681021452,3963.7892746666507,22722.084288414826,19962.65077940668,105.05901314814898,0.0,5410.529941271412,5924.110270099678,6000.0,1.8189894035458565e-12,44236.23590043178,44236.23590043178
2025-11-04,307,q4_2,B0,FORMAL_FROZEN,53093.567123891895,44312.853520205615,8780.713603686305,1481.652725666662,26635.821123850947,23946.711929632525,581.0594315740736,0.0,5924.110270099678,5951.0181769699575,6000.0,1.8189894035458565e-12,44379.746727813916,44379.746727813916
2025-11-05,308,q4_2,B0,FORMAL_FROZEN,62068.553752061845,45683.506394452554,16385.047357609306,2728.1480641666476,24887.324343125252,21843.027795396065,155.67898750000091,130.65149750000015,5951.0181769699575,6536.634171852884,6000.0,1.8189894035458565e-12,45422.73379903588,45422.73379903588
2025-11-06,309,q4_2,B0,FORMAL_FROZEN,73408.48965154384,44657.82154774001,28750.668103803855,4828.745335333324,22675.994892212555,21799.721197991308,138.83325305555525,0.0,6536.634171852884,5070.048012004715,6000.0,9.094947017729282e-13,45158.324348815004,45158.324348815004
2025-11-07,310,q4_2,B0,FORMAL_FROZEN,20757.667661326566,20757.667661326566,0.0,0.0,20116.71899804058,17909.975984236527,9867.791068113269,10643.065864313037,5070.048012004715,5275.6710206535,6000.0,2.2737367544323206e-13,20787.064036751566,20787.064036751566
2025-11-08,311,q4_2,B0,FORMAL_FROZEN,15412.469371645439,15412.469371645439,0.0,0.0,23493.862212559427,19879.763222970167,2072.847721944448,7219.047400424152,5275.6710206535,6608.795331930237,6000.0,9.094947017729282e-13,14882.57019514544,14882.57019514544
2025-11-09,312,q4_2,B0,FORMAL_FROZEN,143828.8411271366,32289.053507557972,111539.78761957868,18278.16833626194,17008.94512190048,17129.126633500156,4.066924166666922,0.0,6608.795331930237,4689.212656097399,6000.0,9.094947017729282e-13,32935.44387643297,32935.44387643297
2025-11-10,313,q4_2,B0,FORMAL_FROZEN,78743.09273623645,47406.564807759634,31336.5279284768,5205.17242808332,22862.419286781325,20150.450076813475,240.90246435185406,0.0,4689.212656097399,5137.968613079638,6000.0,9.094947017729282e-13,47276.17948200963,47276.17948200963
2025-11-11,314,q4_2,B0,FORMAL_FROZEN,61123.11221722232,47105.963425580674,14017.148791641663,2355.569642583319,25194.55197603969,21990.882787185717,331.55041425925845,9.772750000000016,5137.968613079638,5859.193486181146,6000.0,1.8189894035458565e-12,46861.203921988985,46861.203921988985
2025-11-12,315,q4_2,B0,FORMAL_FROZEN,58868.29786077594,46924.5381258311,11943.75973494484,2025.301255166667,22841.1404696542,21177.08581302211,722.189700833337,0.0,5859.193486181146,5205.59350017157,6000.0,9.094947017729282e-13,47286.62699289776,47286.62699289776
2025-11-13,316,q4_2,B0,FORMAL_FROZEN,67196.07718838438,48507.39679333325,18688.68039505115,2936.51644133333,25385.847264052336,22843.622359397108,433.7073422222324,69.00116666666668,5205.59350017157,5209.430584957905,6000.0,9.094947017729282e-13,48363.79382094159,48363.79382094159
2025-11-14,317,q4_2,B0,FORMAL_FROZEN,21733.490183614707,21733.490183614707,0.0,0.0,19533.05868221983,16342.150063997859,9711.887069444449,8190.4514906481545,5209.430584957905,6513.978427787222,6000.0,1.1368683772161603e-13,21243.758749406377,21243.758749406377
2025-11-15,318,q4_2,B0,FORMAL_FROZEN,15551.36968513231,15252.337750463981,299.0319346683271,65.508505333332,21665.457786503153,19438.037983352846,1314.286130555564,3984.5658832945164,6513.978427787222,6578.145283707519,6000.0,9.094947017729282e-13,15252.337750463985,15252.337750463985
2025-11-16,319,q4_2,B0,FORMAL_FROZEN,146501.7367999559,36016.368930922305,110485.36786903361,17903.286758916653,20518.04942627163,19085.629068977796,0.0,0.0,6578.145283707519,5925.256604623434,6000.0,9.094947017729282e-13,36016.3689309223,36016.3689309223
2025-11-17,320,q4_2,B0,FORMAL_FROZEN,54438.35751564,49839.29425813584,4599.06325750415,892.06528108333,29018.67802443915,26841.696567078576,601.7778440740863,0.0,5925.256604623434,5161.159306217391,6000.0,1.8189894035458565e-12,50400.50060094834,50400.50060094834
2025-11-18,321,q4_2,B0,FORMAL_FROZEN,71124.71117673938,50031.00847195425,21093.70270478512,3480.6630253726003,25809.9813491786,21904.999252677404,232.42346689549146,0.0,5161.159306217391,6556.760940929458,6000.0,9.094947017729282e-13,49469.80212914175,49469.80212914175
2025-11-19,322,q4_2,B0,FORMAL_FROZEN,69140.63900605272,50592.221530013965,18548.417476038736,3248.440441166658,26554.29925022871,23981.659809372497,129.23381064814834,0.0,6556.760940929458,6469.492108077868,6000.0,4.547473508864641e-13,50592.22153001398,50592.22153001398
2025-11-20,323,q4_2,B0,FORMAL_FROZEN,64545.11215275754,49410.60595758884,15134.506195168702,2456.275953527769,23759.61439679403,22683.76203603131,228.4667408333342,8.55066500000019,6469.492108077868,5099.056809397779,6000.0,9.094947017729282e-13,49856.78085970134,49856.78085970134
2025-11-21,324,q4_2,B0,FORMAL_FROZEN,23062.46492486916,23062.46492486916,0.0,0.0,18028.77472461456,16058.365805569774,11545.260150719912,7900.3557138171345,5099.056809397779,5275.650459699836,6000.0,9.094947017729282e-13,23012.560710281658,23012.560710281658
2025-11-22,325,q4_2,B0,FORMAL_FROZEN,15932.592440105906,15932.592440105906,0.0,0.0,22387.264175148404,19462.917940133568,1772.5668412037082,2551.6781825537814,5275.650459699836,5998.357203782826,6000.0,1.8189894035458565e-12,15777.116359830907,15777.116359830907
2025-11-23,326,q4_2,B0,FORMAL_FROZEN,139701.74462993297,37895.515621350176,101806.22900858278,16421.177895916662,20518.679876368114,19037.330379647963,0.0,0.0,5998.357203782826,5396.977910936575,6000.0,9.094947017729282e-13,37904.651606100175,37904.651606100175
2025-11-24,327,q4_2,B0,FORMAL_FROZEN,61265.21828585375,50906.90918980677,10358.309096046967,1611.6996365833343,26848.668160177298,24563.183193076242,799.2324893530526,148.01194999999984,5396.977910936575,4975.992478034603,6000.0,9.094947017729282e-13,51239.45213499841,51239.45213499841
2025-11-25,328,q4_2,B0,FORMAL_FROZEN,67122.49412589801,51130.12703882462,15992.367087073395,2797.1239392015846,27973.994300819773,25021.58293757113,311.78786670548436,0.0,4975.992478034603,5139.389402472091,6000.0,9.094947017729282e-13,51096.686424307954,51096.686424307954
2025-11-26,329,q4_2,B0,FORMAL_FROZEN,68443.51498008889,52437.567967939816,16005.947012149063,2649.5978399999894,24552.066983233955,21346.407522827238,606.505081851857,0.0,5139.389402472091,5930.436070654685,6000.0,9.094947017729282e-13,52133.00998536483,52133.00998536483
2025-11-27,330,q4_2,B0,FORMAL_FROZEN,62504.71422619729,52310.190841800046,10194.523384397251,1650.0071050833267,24587.378301491586,22846.3437030091,421.03409166666825,0.0,5930.436070654685,5173.910438611301,6000.0,1.8189894035458565e-12,52480.530828733405,52480.530828733405
2025-11-28,331,q4_2,B0,FORMAL_FROZEN,23064.041207386766,23064.041207386766,0.0,0.0,17775.740170559497,15964.468783920212,12442.812030841109,6687.98343148148,5173.910438611301,5209.430584957905,6000.0,2.2737367544323206e-13,23079.577526103432,23079.577526103432
2025-11-29,332,q4_2,B0,FORMAL_FROZEN,25988.507350820186,16308.74571904723,9679.761631772952,1736.3878486666583,23101.243222225738,19610.1458550865,1065.0308750925974,1429.6089163500717,5209.430584957905,6454.28547735824,6000.0,9.094947017729282e-13,15878.394473297232,15878.394473297232
2025-11-30,333,q4_2,B0,FORMAL_FROZEN,156561.02824189782,39851.096280876714,116709.93196102114,18924.333692100943,20369.42355031204,19239.47986478084,0.0,0.0,6454.28547735824,5498.224933904141,6000.0,9.094947017729282e-13,40106.114053726706,40106.114053726706
