date,day_index,event_hour,branch,level,label,soc_event,scenario_k,scenario_weights,scenario_source_days,history_source_days,expected_cash,scenario_cvar_cash,level1,level2_throughput,level3_curtailment,pred_emergency_kwh,pred_unused_kwh,pred_curtailment_kwh,solve_seconds,max_eq_residual,epsilon,risk_lambda,alpha,contract_changed_kwh,contracts_locked,schema_hash
2025-05-01,120,0,q4_2,B0,FORMAL_FROZEN,5929.544088751902,1,1,,,29864.070038133545,29864.070038133545,29864.07000826947,41471.20107414916,0.0,0.0,0.0,0.0,0.03888780000124825,2.2737367544323206e-13,0.0,0.0,0.8,51248.899428102835,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-05-02,121,0,q4_2,B0,FORMAL_FROZEN,4385.942858799163,1,1,,,15108.863801832678,15108.863801832678,15108.863786723816,45574.35524896223,9963.923600062553,0.0,-5.684341886080802e-14,9963.923600062555,0.036723600002005696,9.094947017729282e-13,0.0,0.0,0.8,37686.375576746665,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-05-03,122,0,q4_2,B0,FORMAL_FROZEN,5255.275926695632,1,1,,,10755.503292353469,10755.503292353469,10755.503281597965,42991.061074440666,15610.389295198474,0.0,1.1368683772161603e-13,15610.389295198474,0.035499999998137355,1.8189894035458565e-12,0.0,0.0,0.8,28932.786192475596,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-05-04,123,0,q4_2,B0,FORMAL_FROZEN,6509.290270693626,1,1,,,23707.99319245097,23707.99319245097,23707.993168742985,47368.619423138305,4698.6871566349855,0.0,0.0,4698.6871566349855,0.03865410000435077,1.7053025658242404e-12,0.0,0.0,0.8,42613.944331091494,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-05-05,124,0,q4_2,B0,FORMAL_FROZEN,5507.71032971729,1,1,,,32850.06399324247,32850.06399324247,32850.06396039241,44224.14517437603,0.0,0.0,0.0,0.0,0.03886350000539096,1.8189894035458565e-12,0.0,0.0,0.8,56438.53709141513,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-05-06,125,0,q4_2,B0,FORMAL_FROZEN,5590.298001663244,1,1,,,31144.522978313504,31144.522978313504,31144.52294716898,48266.83063832299,0.0,0.0,0.0,0.0,0.03817709999566432,9.094947017729282e-13,0.0,0.0,0.8,54315.00897034685,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-05-07,126,0,q4_2,B0,FORMAL_FROZEN,4628.158103175507,1,1,,,31137.98369740211,31137.98369740211,31137.98366626411,39393.49937283287,0.0,0.0,0.0,0.0,0.037943399998766836,1.8189894035458565e-12,0.0,0.0,0.8,53951.03000963475,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-05-08,127,0,q4_2,B0,FORMAL_FROZEN,6314.6196563077465,1,1,,,33356.820470214196,33356.820470214196,33356.82043685738,50139.477370161934,0.0,0.0,0.0,0.0,0.03824650000024121,1.8189894035458565e-12,0.0,0.0,0.8,55652.425648365315,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-05-09,128,0,q4_2,B0,FORMAL_FROZEN,5122.283816638885,1,1,,,17035.3796937841,17035.3796937841,17035.379676748722,46930.0038405567,5411.791723324557,0.0,-1.1368683772161603e-13,5411.791723324558,0.03717299999698298,2.2453150450019166e-12,0.0,0.0,0.8,38434.68574569229,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-05-10,129,0,q4_2,B0,FORMAL_FROZEN,5209.430584957905,1,1,,,11826.232694697452,11826.232694697452,11826.232682871216,38693.716148150146,14616.241890424382,0.0,0.0,14616.24189042438,0.034819799999240786,4.547473508864641e-13,0.0,0.0,0.8,29540.31168955652,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
