date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-02-01,31,q4_2,B0,FORMAL_FROZEN,19999.12051347066,19999.12051347066,0.0,0.0,20793.588911865347,17297.245588178812,5501.82309318697,4543.830197646374,5209.430584957905,6703.063323524944,6000.0,9.094947017729282e-13,19583.351833595665,19583.351833595665
2025-02-02,32,q4_2,B0,FORMAL_FROZEN,101144.20746488815,46428.96391773116,54715.24354715698,9150.6117486871,24197.587693322334,22216.417492406767,51.261137500000814,0.0,6703.063323524944,6240.750379555192,6000.0,9.094947017729282e-13,46428.96391773115,46428.96391773115
2025-02-03,33,q4_2,B0,FORMAL_FROZEN,60025.47066942448,60025.47066942448,0.0,0.0,25457.55751559934,23140.197628122736,2820.126745370385,0.0,6240.750379555192,6000.0,6000.0,1.8189894035458565e-12,60262.64581077448,60262.64581077448
2025-02-04,34,q4_2,B0,FORMAL_FROZEN,60453.29518151902,60453.29518151902,0.0,0.0,27527.151517726736,25524.436365954058,2793.81617953705,0.0,6000.0,5209.430584957905,6000.0,9.094947017729282e-13,60857.246326318986,60857.246326318986
2025-02-05,35,q4_2,B0,FORMAL_FROZEN,60669.59191501441,60236.44574057776,433.1461744366539,94.92857166666388,29270.81889660938,25002.53417361512,1955.0075044444536,0.0,5209.430584957905,6623.182504159417,6000.0,9.094947017729282e-13,59595.31945442775,59595.31945442775
2025-02-06,36,q4_2,B0,FORMAL_FROZEN,59950.79056145591,59850.853645126736,99.9369163291657,13.8129808333332,27281.74624771705,25897.870006862,2953.274303991783,0.0,6623.182504159417,5206.167588139373,6000.0,1.8189894035458565e-12,60285.138475876745,60285.138475876745
2025-02-07,37,q4_2,B0,FORMAL_FROZEN,27434.09532214197,27434.09532214197,0.0,0.0,17407.55645346303,15663.705257533396,18997.86636904064,7886.074315033458,5206.167588139373,5209.430584957905,6000.0,9.094947017729282e-13,27445.385865654476,27445.385865654476
2025-02-08,38,q4_2,B0,FORMAL_FROZEN,17837.828067407674,17837.828067407674,0.0,0.0,24359.35362134446,20593.19496754336,3572.174927592596,4481.271054351863,5209.430584957905,6611.609051048954,6000.0,9.094947017729282e-13,17392.25269314518,17392.25269314518
2025-02-09,39,q4_2,B0,FORMAL_FROZEN,132976.86388490745,42620.88745389578,90355.9764310116,14709.135429916658,20379.882595276835,19503.97670749914,0.0,0.0,6611.609051048954,5386.666676562117,6000.0,9.094947017729282e-13,42874.68884375829,42874.68884375829
2025-02-10,40,q4_2,B0,FORMAL_FROZEN,56238.73159010099,56223.7003272635,15.031262837492406,6.784591666663239,24934.40164839829,22696.7965758918,6677.320524252551,148.69274999999993,5386.666676562117,5116.992810837846,6000.0,9.094947017729282e-13,56650.791711526,56650.791711526
2025-02-11,41,q4_2,B0,FORMAL_FROZEN,57395.25839547335,56217.58682994001,1177.6715655333346,194.0383608333333,28771.994405385536,25067.60028618032,4390.796175420554,162.0572999999997,5116.992810837846,5988.932561823766,6000.0,9.094947017729282e-13,55739.90378081502,55739.90378081502
2025-02-12,42,q4_2,B0,FORMAL_FROZEN,56215.192549650725,55787.71231638475,427.4802332659689,83.77917299999501,26881.96281273147,23665.982476375008,4465.37155675927,94.73593333333316,5988.932561823766,6545.2658040848,6000.0,9.094947017729282e-13,55584.50259138473,55584.50259138473
2025-02-13,43,q4_2,B0,FORMAL_FROZEN,54697.247530188935,54436.3551805777,260.89234961123293,47.084370833330695,21739.25634980033,20849.76508115364,7594.322023161209,662.82465,6545.2658040848,5191.353103215322,6000.0,1.8189894035458565e-12,54833.24877004437,54833.24877004437
2025-02-14,44,q4_2,B0,FORMAL_FROZEN,24736.653794444075,24736.653794444075,0.0,0.0,19772.80510004636,17028.374785041724,14349.598457870374,8247.943052500004,5191.353103215322,6000.0,6000.0,9.094947017729282e-13,24489.58369097324,24489.58369097324
2025-02-15,45,q4_2,B0,FORMAL_FROZEN,16922.88713795213,16922.88713795213,0.0,0.0,24038.65991333192,21110.144532569862,2528.5963716666647,4780.827914313039,6000.0,6553.029014537293,6000.0,1.8189894035458565e-12,16773.066260553776,16773.066260553776
2025-02-16,46,q4_2,B0,FORMAL_FROZEN,117586.49934702663,40264.41691314779,77322.08243387887,12605.9691299961,21116.708261894117,20110.77158371689,0.0,0.0,6553.029014537293,5387.4828830891975,6000.0,1.8189894035458565e-12,40509.19560255031,40509.19560255031
2025-02-17,47,q4_2,B0,FORMAL_FROZEN,53864.09227716836,52995.19698522869,868.8952919396645,139.5182273333329,26770.721773657115,23023.396860374745,4829.7242447222325,613.6867958333346,5387.4828830891975,6515.628322263651,6000.0,9.094947017729282e-13,52750.4156872287,52750.4156872287
2025-02-18,48,q4_2,B0,FORMAL_FROZEN,50844.75704009599,50380.33726976885,464.4197703271431,70.8008689999964,22926.25009673915,21872.793064398586,3054.2998114815027,49.79471666666655,6515.628322263651,5209.430584957905,6000.0,1.8189894035458565e-12,50916.02342689385,50916.02342689385
2025-02-19,49,q4_2,B0,FORMAL_FROZEN,53105.90164768724,51477.9445453216,1627.9571023656458,312.8334926666631,25894.84320060857,22720.03851804772,2718.3725123148283,148.7882141666671,5209.430584957905,5826.412420416374,6000.0,1.8189894035458565e-12,51182.58455883827,51182.58455883827
2025-02-20,50,q4_2,B0,FORMAL_FROZEN,50990.16203139674,50848.83853909257,141.32349230416622,25.18910833333325,25564.431438862684,23617.492453726423,3159.537213302486,189.38294777777568,5826.412420416374,5183.938625418092,6000.0,9.094947017729282e-13,51010.29574826758,51010.29574826758
2025-02-21,51,q4_2,B0,FORMAL_FROZEN,23113.419195476527,23113.419195476527,0.0,0.0,15353.746485130285,13794.188040367257,13448.918920462973,11199.7532375,5183.938625418092,5209.430584957905,6000.0,1.8189894035458565e-12,23123.214602459862,23123.214602459862
2025-02-22,52,q4_2,B0,FORMAL_FROZEN,16244.328187000958,16244.328187000958,0.0,0.0,22013.998452197367,18528.22740531096,2520.139696388889,4977.998373572301,5209.430584957905,6563.276704422611,6000.0,9.094947017729282e-13,15832.74940020096,15832.74940020096
2025-02-23,53,q4_2,B0,FORMAL_FROZEN,108973.42010892746,37560.2850541205,71413.13505480696,11687.14504,21602.329039495857,20600.8456381296,0.0,0.0,6563.276704422611,5341.847482505779,6000.0,9.094947017729282e-13,37788.43560662048,37788.43560662048
2025-02-24,54,q4_2,B0,FORMAL_FROZEN,50568.94421331849,49641.29012233952,927.6540909789896,177.91398338120064,26099.132683399683,22325.399698809702,4024.1800395370487,804.2173925000029,5341.847482505779,6568.621178892736,6000.0,9.094947017729282e-13,49413.13956983951,49413.13956983951
2025-02-25,55,q4_2,B0,FORMAL_FROZEN,48373.0393554341,47376.420262999374,996.6190924347288,222.74482397843624,23727.80368357925,22701.052238054664,5128.988926307663,1601.0450891128903,6568.621178892736,5149.782114687285,6000.0,4.547473508864641e-13,47891.70207393688,47891.70207393688
2025-02-26,56,q4_2,B0,FORMAL_FROZEN,48387.67860600559,48286.07900088769,101.59960511790376,20.04245416666397,27220.023122780323,23707.279692835626,2257.945604629638,403.8492241666664,5149.782114687285,5983.296438478577,6000.0,1.8189894035458565e-12,48010.10270365851,48010.10270365851
2025-02-27,57,q4_2,B0,FORMAL_FROZEN,47337.53277820987,46215.53843023031,1121.994347979571,181.36546833333148,24776.473131452243,23032.979428473685,3513.1836600000074,855.7442319444432,5983.296438478577,5209.430584957905,6000.0,9.094947017729282e-13,46400.1561184178,46400.1561184178
2025-02-28,58,q4_2,B0,FORMAL_FROZEN,21184.023337554205,21184.023337554205,0.0,0.0,15935.64594496046,14342.081350464414,11191.989560594384,11939.563106905638,5209.430584957905,5209.430584957905,6000.0,2.273736754432321e-13,21173.35245247087,21173.35245247087
2025-03-01,59,q4_2,B0,FORMAL_FROZEN,15360.733953918205,15360.733953918205,0.0,0.0,22831.777425411907,19219.715887870723,3354.464036851855,7114.813991164892,5209.430584957905,6610.19709758733,6000.0,2.273736754432321e-13,14947.481637105706,14947.481637105706
2025-03-02,60,q4_2,B0,FORMAL_FROZEN,132630.53731905346,33842.08143196151,98788.45588709196,16285.809170499984,16405.381698260866,16689.50739939117,9.407558888888616,0.0,6610.19709758733,4581.423243434465,6000.0,9.094947017729282e-13,34429.91799308651,34429.91799308651
2025-03-03,61,q4_2,B0,FORMAL_FROZEN,62626.99559145547,47731.48305369305,14895.512537762434,2535.310339999989,27245.791264828174,23080.988168281423,900.5223826851842,0.0,4581.423243434465,6099.552605491856,6000.0,9.094947017729282e-13,47307.01263411493,47307.01263411493
2025-03-04,62,q4_2,B0,FORMAL_FROZEN,49364.30228423933,45914.14372131687,3450.1585629224664,582.1889633817275,23910.32867742735,22491.73039304217,1159.0077553817364,63.30344833333407,6099.552605491856,5074.516552516296,6000.0,1.8189894035458565e-12,46352.92682416994,46352.92682416994
2025-03-05,63,q4_2,B0,FORMAL_FROZEN,46791.23578691587,46023.658292281696,767.5774946341754,121.43287500000132,26748.6988045869,23214.29697962822,3601.5473688754555,488.6300666666668,5074.516552516296,5980.542774614109,6000.0,1.8189894035458565e-12,45678.14753460669,45678.14753460669
2025-03-06,64,q4_2,B0,FORMAL_FROZEN,47098.12385379543,44394.69350799696,2703.4303457984643,419.8522579999946,23933.77492133137,22435.136341948244,2498.59226240741,569.9818833333334,5980.542774614109,5037.405149456551,6000.0,9.094947017729282e-13,44571.23123915946,44571.23123915946
2025-03-07,65,q4_2,B0,FORMAL_FROZEN,20459.12120761969,20459.12120761969,0.0,0.0,16457.593299490618,14648.63631204156,11509.940778748043,12221.607697870382,5037.405149456551,5209.430584957905,6000.0,1.1368683772161605e-13,20481.240639369687,20481.240639369687
2025-03-08,66,q4_2,B0,FORMAL_FROZEN,14394.846969004037,14394.846969004037,0.0,0.0,22313.43505437987,18760.62416944189,2429.839994722227,10478.498120794518,5209.430584957905,6602.379509235938,6000.0,9.094947017729282e-13,13939.551319366536,13939.551319366536
2025-03-09,67,q4_2,B0,FORMAL_FROZEN,89476.88888411231,32370.905026962628,57105.98385714973,9423.706878817487,21297.370432204,20335.77990056693,368.5751991666671,0.0,6602.379509235938,5371.044970108073,6000.0,9.094947017729282e-13,32586.66484168764,32586.66484168764
2025-03-10,68,q4_2,B0,FORMAL_FROZEN,47817.09563829109,45282.10550564736,2534.990132643718,405.1330229166615,25503.638660525925,23219.86780597334,540.5886853137326,134.29456666666692,5371.044970108073,5090.031261900251,6000.0,9.094947017729282e-13,45763.12202052238,45763.12202052238
2025-03-11,69,q4_2,B0,FORMAL_FROZEN,45240.29061507278,45025.57845886376,214.7121562090321,42.75449508333179,26006.130748557574,22542.24553011848,3610.981319814812,1014.8572370370412,5090.031261900251,6000.0,6000.0,1.8189894035458565e-12,44543.02822288041,44543.02822288041
2025-03-12,70,q4_2,B0,FORMAL_FROZEN,43904.68355754448,42789.61099647197,1115.0725610724992,179.27391416666634,25735.154836531576,23223.43084429541,2805.579246809446,1622.2278832407435,6000.0,5934.866049034505,6000.0,1.8189894035458565e-12,42747.29702791418,42747.29702791418
2025-03-13,71,q4_2,B0,FORMAL_FROZEN,59623.6881979082,42406.771065902256,17216.91713200595,2829.7083619999926,20864.858409683264,19529.550743631247,726.5893734259262,0.0,5934.866049034505,5143.054728586519,6000.0,9.094947017729282e-13,42669.96702064337,42669.96702064337
2025-03-14,72,q4_2,B0,FORMAL_FROZEN,19613.683937749,19613.683937749,0.0,0.0,17986.121615229582,15165.0323854516,11895.117281843715,14787.745410609334,5143.054728586519,6220.840192245627,6000.0,1.8189894035458565e-12,19277.609780755665,19277.609780755665
2025-03-15,73,q4_2,B0,FORMAL_FROZEN,13642.241218983054,13620.830758396389,21.41046058666558,5.030653333333078,23014.143067646248,20450.40956797,2255.884335000008,7967.668605979706,6220.840192245627,6497.348900104921,6000.0,9.094947017729282e-13,13521.796835589716,13521.796835589716
2025-03-16,74,q4_2,B0,FORMAL_FROZEN,106884.91835103038,30160.042788927745,76724.87556210264,12378.395280861105,18790.239700024504,18824.96678106177,0.0,0.0,6497.348900104921,4480.078168162695,6000.0,9.094947017729282e-13,30737.95877849025,30737.95877849025
2025-03-17,75,q4_2,B0,FORMAL_FROZEN,42524.598181052745,42127.42766489567,397.1705161570743,75.66724249999857,21951.13409999035,17754.554966284926,5962.812415815066,2519.832840833332,4480.078168162695,6589.80828338585,6000.0,9.094947017729282e-13,41549.51167533318,41549.51167533318
2025-03-18,76,q4_2,B0,FORMAL_FROZEN,42520.52434796979,39292.941003608976,3227.583344360815,627.3347894999965,22984.52207757889,22127.232668571,1817.4742169444503,614.027347500005,6589.80828338585,5070.689309001562,6000.0,9.094947017729282e-13,39848.40057829647,39848.40057829647
2025-03-19,77,q4_2,B0,FORMAL_FROZEN,40705.42967583878,39763.17915611628,942.2505197224816,188.03496166666295,25110.48672656303,22474.38967265674,2643.9553624462314,1099.3664257945202,5070.689309001562,5202.5018764905935,6000.0,9.094947017729282e-13,39839.34935865796,39839.34935865796
2025-03-20,78,q4_2,B0,FORMAL_FROZEN,43063.208751362,41002.78792089888,2060.42083046311,325.69957749999776,25750.760979053262,23224.22484631461,1391.4632114814897,458.1236833333333,5202.5018764905935,5151.336260666625,6000.0,9.094947017729282e-13,40737.73319051138,40737.73319051138
2025-03-21,79,q4_2,B0,FORMAL_FROZEN,18592.824633705222,18592.824633705222,0.0,0.0,20409.79648066917,17089.123925768938,10033.293083796303,17889.1003735723,5151.336260666625,6500.251024384955,6000.0,2.273736754432321e-13,18226.24958686356,18226.24958686356
