date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-02-01,31,q4_2,B0,E14_PRICE_ORACLE,19596.89217468976,19596.89217468976,0.0,0.0,24242.893720769396,20482.162307025785,5626.763826890669,4535.813464313041,5209.430584957905,6618.164189115345,6000.0,1.8189894035458565e-12,19181.12349481477,19181.12349481477
2025-02-02,32,q4_2,B0,E14_PRICE_ORACLE,100707.43706419916,45431.36266152853,55276.07440267058,9153.385813749985,23624.297456001554,22229.747132401397,51.261137500000814,0.0,6618.164189115345,5597.92969780625,6000.0,1.8189894035458565e-12,45696.69468020354,45696.69468020354
2025-02-03,33,q4_2,B0,E14_PRICE_ORACLE,59139.61040228465,59091.44293365256,48.167468632081636,8.875055833333022,27482.69558702542,25102.988647989547,2809.597244384946,0.0,5597.92969780625,5209.430584957905,6000.0,1.8189894035458565e-12,59402.78605632754,59402.78605632754
2025-02-04,34,q4_2,B0,E14_PRICE_ORACLE,60469.79769149257,60469.79769149257,0.0,0.0,30796.980279883704,27051.971306145344,2872.3397305131484,0.0,5209.430584957905,5910.729898561479,6000.0,9.094947017729282e-13,60159.74883629254,60159.74883629254
2025-02-05,35,q4_2,B0,E14_PRICE_ORACLE,59853.85582973356,59216.36713622862,637.4886935049494,118.08442350148768,28792.406396798062,25237.27386953493,1977.9391836127684,0.0,5910.729898561479,6623.182504159417,6000.0,9.094947017729282e-13,58949.740850078604,58949.740850078604
2025-02-06,36,q4_2,B0,E14_PRICE_ORACLE,58996.341877413615,58896.40496108446,99.9369163291657,13.8129808333332,24702.84405535079,23575.94844564904,2905.9743246296384,0.0,6623.182504159417,5207.126378164667,6000.0,9.094947017729282e-13,59330.689791834455,59330.689791834455
2025-02-07,37,q4_2,B0,E14_PRICE_ORACLE,27351.61832774693,27351.61832774693,0.0,0.0,20104.72843711466,17342.069630903196,19143.76808824046,7775.410840000002,5207.126378164667,6000.0,6000.0,2.2737367544323206e-13,27082.825537926106,27082.825537926106
2025-02-08,38,q4_2,B0,E14_PRICE_ORACLE,17043.355165204855,17043.355165204855,0.0,0.0,23779.333432699903,20821.182999236527,3872.933784668452,4172.659264313045,6000.0,6611.602514122158,6000.0,9.094947017729282e-13,16877.865360526957,16877.865360526957
2025-02-09,39,q4_2,B0,E14_PRICE_ORACLE,132784.22254500317,41953.10093279338,90831.12161220974,14745.25471082039,21207.196262585952,20248.41085127075,43.833366574073466,0.0,6611.602514122158,5386.816310621897,6000.0,1.8189894035458565e-12,42206.900086404625,42206.900086404625
2025-02-10,40,q4_2,B0,E14_PRICE_ORACLE,56272.74821078893,55945.546358754764,327.2018520341634,81.7710258333326,27736.728810106553,23888.084457845907,6716.724036851866,148.69274999999993,5386.816310621897,6519.9357335726345,6000.0,9.094947017729282e-13,55691.744968892264,55691.744968892264
2025-02-11,41,q4_2,B0,E14_PRICE_ORACLE,55564.34176486673,54445.28317199923,1119.058592867487,188.00712249999788,24213.049359018256,23045.63262661643,4361.093542407416,162.0572999999997,6519.9357335726345,5198.221515480396,6000.0,9.094947017729282e-13,54948.49289699925,54948.49289699925
2025-02-12,42,q4_2,B0,E14_PRICE_ORACLE,55431.040962995074,55017.266836539166,413.7741264559025,80.56529649999766,25535.57010327476,22283.729980947304,4470.757147685203,58.95943333333321,5198.221515480396,5934.2765439972145,6000.0,9.094947017729282e-13,54757.54341051415,54757.54341051415
2025-02-13,43,q4_2,B0,E14_PRICE_ORACLE,54074.950468622825,53723.16846676908,351.78200185373174,54.78831749999722,24897.01671219747,23104.97401647774,7625.255986481493,525.8414333333335,5934.2765439972145,5198.8794131173445,6000.0,1.8189894035458565e-12,53876.575757260754,53876.575757260754
2025-02-14,44,q4_2,B0,E14_PRICE_ORACLE,23879.821101346264,23879.821101346264,0.0,0.0,15529.703545460408,13966.723470414363,13773.255299853636,8730.483362461186,5198.8794131173445,5209.430584957905,6000.0,9.094947017729282e-13,23898.33433120876,23898.33433120876
2025-02-15,45,q4_2,B0,E14_PRICE_ORACLE,16483.960587139427,16483.960587139427,0.0,0.0,22310.370317299396,18807.734496652804,2512.6821144444484,4780.827914313039,5209.430584957905,6549.81339925402,6000.0,9.094947017729282e-13,16068.553767810261,16068.553767810261
2025-02-16,46,q4_2,B0,E14_PRICE_ORACLE,117545.98223045579,39656.312250802075,77889.66997965371,12633.108764496099,21987.395525110733,20902.193718182993,0.0,0.0,6549.81339925402,5376.041553716543,6000.0,9.094947017729282e-13,39901.09354880208,39901.09354880208
2025-02-17,47,q4_2,B0,E14_PRICE_ORACLE,53149.7188170324,52315.05919456093,834.659622471469,134.53892700000108,26224.93041488413,22521.97745606239,4806.074035925931,613.6867958333346,5376.041553716543,6514.946306813399,6000.0,1.8189894035458565e-12,52070.27789656096,52070.27789656096
2025-02-18,48,q4_2,B0,E14_PRICE_ORACLE,50284.30928589213,49728.596080966316,555.7132049258101,106.03320333332965,25280.43622955428,23990.913567265532,3073.1620250000187,49.794716666666545,6514.946306813399,5209.430584957905,6000.0,1.8189894035458565e-12,50264.28223809133,50264.28223809133
2025-02-19,49,q4_2,B0,E14_PRICE_ORACLE,52110.42814561321,50626.01696726363,1484.4111783495682,291.70356833333074,29015.62010800308,25535.616888619454,2671.222862592608,148.7882141666671,5209.430584957905,5819.161155499196,6000.0,2.2737367544323206e-13,50330.65698078032,50330.65698078032
2025-02-20,50,q4_2,B0,E14_PRICE_ORACLE,50360.97090504977,50122.90501793597,238.0658871138128,45.727148416662295,24455.9538866135,22665.7917255355,3212.5747668518698,189.38294777777566,5819.161155499196,5128.273871059586,6000.0,1.8189894035458565e-12,50284.36222711095,50284.36222711095
2025-02-21,51,q4_2,B0,E14_PRICE_ORACLE,22592.053032375712,22592.053032375712,0.0,0.0,15947.849488456415,14276.072520610776,13649.98048939067,10970.0018485723,5128.273871059586,5209.430584957905,6000.0,1.8189894035458565e-12,22601.848439359044,22601.848439359044
2025-02-22,52,q4_2,B0,E14_PRICE_ORACLE,15782.280625486148,15782.280625486148,0.0,0.0,23780.79032077245,20118.340087028533,2510.2491774074088,4977.998373572301,5209.430584957905,6563.276704422611,6000.0,9.094947017729282e-13,15370.701838686151,15370.701838686151
2025-02-23,53,q4_2,B0,E14_PRICE_ORACLE,108280.21497709827,36670.790786947466,71609.4241901508,11694.549470583328,20086.585017544523,19998.487018579795,0.0,0.0,6563.276704422611,4538.828180098044,6000.0,1.8189894035458565e-12,37241.441339447454,37241.441339447454
2025-02-24,54,q4_2,B0,E14_PRICE_ORACLE,49895.87286155064,49003.23661099365,892.6362505570057,175.33805808333398,25987.924113443485,21888.39041945187,3992.6866110185297,804.2173925000029,4538.828180098044,6120.748390700666,6000.0,9.094947017729282e-13,48637.18680078589,48637.18680078589
2025-02-25,55,q4_2,B0,E14_PRICE_ORACLE,47827.24426125664,46942.43723129374,884.8070299628998,178.3926395833306,23066.98270929392,21726.833381972065,5253.435943240751,1431.6716150000016,6120.748390700666,5101.916346757516,6000.0,1.8189894035458565e-12,47253.118299939,47253.118299939
