date,day_index,plan_j,B_kwh,A_kwh,delta_A_minus_B_kwh,price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-02-01,31,0,1281.8339066666665,1281.8339066666665,0.0,0.3281,420.5697047773333,420.5697047773333
2025-02-01,31,1,466.86759833333326,466.86759833333326,0.0,0.3257,152.05877677716663,152.05877677716663
2025-02-01,31,2,1095.4247559963758,1095.4247559963758,0.0,0.3041,333.1186682984979,333.1186682984979
2025-02-01,31,3,459.27606666666657,459.27606666666657,0.0,0.3126,143.56969843999997,143.56969843999997
2025-02-01,31,4,462.860495,462.860495,0.0,0.3286,152.095958657,152.095958657
2025-02-01,31,5,475.2405,475.2405,0.0,0.3438,163.38768389999998,163.38768389999998
2025-02-01,31,6,518.1065424999999,518.1065424999999,0.0,0.3704,191.906663342,191.906663342
2025-02-01,31,7,1318.0532933333332,1318.0532933333332,0.0,0.3746,493.7427636826666,493.7427636826666
2025-02-01,31,8,436.0571666666666,436.0571666666666,0.0,0.3606,157.24221429999997,157.24221429999997
2025-02-01,31,9,0.0,0.0,0.0,0.3582,0.0,0.0
2025-02-01,31,10,518.5838241666665,518.5838241666665,0.0,0.3041,157.70134092908327,157.70134092908327
2025-02-01,31,11,1258.6941666666664,1258.6941666666664,0.0,0.2537,319.33071008333326,319.33071008333326
2025-02-01,31,12,1310.5630041666664,1310.5630041666664,0.0,0.3346,438.51438119416656,438.51438119416656
2025-02-01,31,13,536.6918316666666,536.6918316666666,0.0,0.3971,213.1203263548333,213.1203263548333
2025-02-01,31,14,1364.0215833333332,1364.0215833333332,0.0,0.367,500.5959210833333,500.5959210833333
2025-02-01,31,15,1366.7244458333332,1366.7244458333332,0.0,0.3185,435.30173599791664,435.30173599791664
2025-02-01,31,16,553.3224175000001,553.3224175000001,0.0,0.3285,181.76641414875004,181.76641414875004
2025-02-01,31,17,556.4369166666667,556.4369166666667,0.0,0.3772,209.88800496666664,209.88800496666664
2025-02-01,31,18,518.2586799999999,518.2586799999999,0.0,0.3815,197.71568642,197.71568642
2025-02-01,31,19,514.5124716666667,514.5124716666667,0.0,0.3822,196.646666671,196.646666671
2025-02-01,31,20,0.0,0.0,0.0,0.3962,0.0,0.0
2025-02-01,31,21,0.0,0.0,0.0,0.3879,0.0,0.0
2025-02-01,31,22,0.0,0.0,0.0,0.3405,0.0,0.0
2025-02-01,31,23,0.0,0.0,0.0,0.3164,0.0,0.0
2025-02-01,31,24,523.3323983333332,523.3323983333332,0.0,0.3916,204.9369671873333,204.9369671873333
2025-02-01,31,25,1241.596749907408,1241.596749907408,0.0,0.4109,510.172104536954,510.172104536954
2025-02-01,31,26,1407.1516666666666,1407.1516666666666,0.0,0.361,507.9817516666666,507.9817516666666
2025-02-01,31,27,1408.764610833333,1408.764610833333,0.0,0.3799,535.1896756555833,535.1896756555833
2025-02-01,31,28,572.4596083333331,572.4596083333331,0.0,0.4094,234.36496365166656,234.36496365166656
2025-02-01,31,29,0.0,0.0,0.0,0.4052,0.0,0.0
2025-02-01,31,30,546.6263349999999,546.6263349999999,0.0,0.3896,212.965620116,212.965620116
2025-02-01,31,31,1175.803850833334,1175.803850833334,0.0,0.3908,459.50414490566686,459.50414490566686
2025-02-01,31,32,577.3897499999999,577.3897499999999,0.0,0.3821,220.620623475,220.620623475
2025-02-01,31,33,636.5761458333333,636.5761458333333,0.0,0.3475,221.2102106770833,221.2102106770833
2025-02-01,31,34,258.4156445483975,258.4156445483975,0.0,0.5182,133.91098700497955,133.91098700497955
2025-02-01,31,35,0.0,0.0,0.0,0.8102,0.0,0.0
2025-02-01,31,36,0.0,0.0,0.0,0.8756,0.0,0.0
2025-02-01,31,37,0.0,0.0,0.0,0.818,0.0,0.0
2025-02-01,31,38,0.0,0.0,0.0,0.7708,0.0,0.0
2025-02-01,31,39,0.0,0.0,0.0,0.7715,0.0,0.0
2025-02-01,31,40,0.0,0.0,0.0,0.8181,0.0,0.0
2025-02-01,31,41,0.0,0.0,0.0,0.8678,0.0,0.0
2025-02-01,31,42,0.0,0.0,0.0,0.864,0.0,0.0
2025-02-01,31,43,0.0,0.0,0.0,0.8237,0.0,0.0
2025-02-01,31,44,0.0,0.0,0.0,0.7654,0.0,0.0
2025-02-01,31,45,0.0,0.0,0.0,0.7258,0.0,0.0
