model,block_scheme,alpha,n,mae,rmse,q95_abs_error,cvar95_abs_error,block_mae
lag7,global,1.0,3312,0.03866289251207729,0.0488873244527634,0.09508999999999995,0.11813115942028997,"{""0"": 0.03438061594202898, ""1"": 0.037214492753623186, ""2"": 0.04334728260869564, ""3"": 0.047550905797101445, ""4"": 0.03715778985507246, ""5"": 0.03232626811594203}"
lag7_R,global,1.0,3312,0.03891050920334586,0.048944408090026086,0.0956495833333333,0.11668671777151558,"{""0"": 0.03454620236178207, ""1"": 0.03780842894524959, ""2"": 0.04364950684380031, ""3"": 0.045268594001610304, ""4"": 0.037660884661835745, ""5"": 0.0345294384057971}"
full_ridge,global,10.0,3312,0.05751596740824722,0.07132919963073554,0.13681111419113418,0.16599908977130057,"{""0"": 0.05518636677293474, ""1"": 0.056340562556952696, ""2"": 0.06663924767323233, ""3"": 0.06713657862086075, ""4"": 0.051281576423322005, ""5"": 0.04851147240218085}"
full_ridge,global,0.1,3312,0.05752755003134801,0.07352867542927476,0.136646278399917,0.1838564036550293,"{""0"": 0.06068214963697182, ""1"": 0.060678558164258205, ""2"": 0.06673219530932765, ""3"": 0.06208373067538638, ""4"": 0.04902809696106584, ""5"": 0.04596056944107818}"
lag7_dN,global,10.0,3312,0.05755034318191968,0.07136534927329236,0.13682535129630538,0.1660773144338489,"{""0"": 0.055161258471116144, ""1"": 0.056304820916258755, ""2"": 0.06662362462558707, ""3"": 0.06723965210981805, ""4"": 0.05135126630033975, ""5"": 0.04862143666839825}"
full_ridge,global,1.0,3312,0.05774756090433126,0.07301501213064905,0.13902064998403296,0.179462203135366,"{""0"": 0.0586799214604959, ""1"": 0.05860878743729965, ""2"": 0.06614485811985357, ""3"": 0.06516277229303098, ""4"": 0.05047642565212012, ""5"": 0.047412600463187314}"
lag7_dN,global,1.0,3312,0.05800786116527792,0.07328269249877539,0.1390953652866165,0.18003879614377857,"{""0"": 0.0584528110537571, ""1"": 0.05828771665499128, ""2"": 0.06598155866007087, ""3"": 0.0660424122922145, ""4"": 0.051050234958730685, ""5"": 0.04823243337190306}"
full_ridge,global,0.01,3312,0.05807142025520279,0.07450963693934948,0.1396862283993797,0.1860265538582225,"{""0"": 0.0618489100255936, ""1"": 0.06267099542280155, ""2"": 0.06873025280083106, ""3"": 0.060736830598174134, ""4"": 0.04868527482070344, ""5"": 0.04575625786311295}"
lag7_dN,global,0.1,3312,0.05818462684289434,0.0742059921650278,0.14051530432799017,0.18586262881613777,"{""0"": 0.05954728840265794, ""1"": 0.05904751788622515, ""2"": 0.0655732543225887, ""3"": 0.06585492407945966, ""4"": 0.050963542616624447, ""5"": 0.048121233749810144}"
lag7_dN,global,0.01,3312,0.05821658635797235,0.07433982396785692,0.14067982788257544,0.18661215806465103,"{""0"": 0.05968100033292859, ""1"": 0.05915823640911041, ""2"": 0.06555140892921643, ""3"": 0.06584922846959053, ""4"": 0.05095239964267864, ""5"": 0.048107244364309465}"
full_ridge,6block,10.0,3312,0.06600511145653695,0.08886434244539557,0.19328941464143595,0.2396426352764772,"{""0"": 0.034624309929621844, ""1"": 0.05260882393499885, ""2"": 0.11857656801677086, ""3"": 0.10901034607224715, ""4"": 0.0479817523465153, ""5"": 0.03322886843906773}"
lag7_dN,6block,10.0,3312,0.06601312343544699,0.08887545977768332,0.1932663015996761,0.23968277927850323,"{""0"": 0.03462428403848147, ""1"": 0.052608019718576995, ""2"": 0.11856461436068713, ""3"": 0.10906040045751904, ""4"": 0.04799279102408808, ""5"": 0.03322863101332924}"
full_ridge,6block,1.0,3312,0.07125527152300676,0.10784419820917866,0.19727383923406325,0.33024632010273886,"{""0"": 0.03510273401275195, ""1"": 0.05382092016598041, ""2"": 0.13045665927495356, ""3"": 0.12364783541905723, ""4"": 0.05068023230339989, ""5"": 0.03382324796189749}"
lag7_dN,6block,1.0,3312,0.07132588541008017,0.1079421104879756,0.197708504530846,0.33058943125682905,"{""0"": 0.03510244268421376, ""1"": 0.053809942882972354, ""2"": 0.13032216036816743, ""3"": 0.12411227108116145, ""4"": 0.05078636149561939, ""5"": 0.033822133948346655}"
full_ridge,6block,0.1,3312,0.07601824488049375,0.12965361825748156,0.20080306199927703,0.4196727508782075,"{""0"": 0.03619239869534464, ""1"": 0.0552680685271405, ""2"": 0.14353187007826682, ""3"": 0.12818828881666397, ""4"": 0.056865441586143456, ""5"": 0.03606340157940309}"
lag7_dN,6block,0.1,3312,0.07642771754842359,0.13023894185454185,0.20285185946225212,0.42206446889754995,"{""0"": 0.036189463455499435, ""1"": 0.05515724214339649, ""2"": 0.14227101023725677, ""3"": 0.13140294532799002, ""4"": 0.05750017875910966, ""5"": 0.03604546536728921}"
full_ridge,6block,0.01,3312,0.07733889767182452,0.13404801773424738,0.21396586185112645,0.43526870296915304,"{""0"": 0.03692530245602677, ""1"": 0.05639706153007484, ""2"": 0.1504130118239507, ""3"": 0.12476557252583849, ""4"": 0.058437571824482476, ""5"": 0.03709486587057385}"
lag7_dN,6block,0.01,3312,0.07795223304228724,0.136463525377745,0.20441752074391795,0.44674017628437146,"{""0"": 0.03690075389742204, ""1"": 0.05565160232694135, ""2"": 0.1450917558745402, ""3"": 0.13248213670068076, ""4"": 0.0604654233557031, ""5"": 0.03712172609843589}"
lag1,global,1.0,3312,0.0866701388888889,0.12890023246897406,0.3114799999999999,0.3555756038647347,"{""0"": 0.05410253623188406, ""1"": 0.06810688405797101, ""2"": 0.12006666666666668, ""3"": 0.11512083333333334, ""4"": 0.09855344202898551, ""5"": 0.06407047101449276}"
