date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-01-09,8,q4_2,B1,B1,79706.54010572976,76957.82901941783,2748.711086311943,438.42304886106024,34258.726233545916,31239.516121006,2899.064508806381,0.0,5196.841038188668,4768.181113796256,5200.0,9.094947017729282e-13,76509.15735932198,76509.15735932198
2025-01-10,9,q4_2,B1,B1,37395.166849202185,37395.166849202185,0.0,0.0,21751.671759076155,18169.76372631021,19130.146930447485,3264.8295646471333,4768.181113796256,6251.016175559329,5624.458439171855,1.8189894035458565e-12,37192.85993803553,37192.85993803553
2025-01-11,10,q4_2,B1,B1,26963.970651926713,25648.197753995046,1315.772897931668,240.22252088606803,27359.84135463913,24619.169007818724,5940.676327441595,453.9536499501952,6251.016175559329,6255.957984238907,5686.352733340427,1.8189894035458565e-12,25648.197753995046,25648.197753995046
2025-01-12,11,q4_2,B1,B1,160323.95641742222,58666.809640547865,101657.14677687432,14459.321237172408,20910.468773949804,21171.633002306688,3905.6954311848344,0.0,6255.957984238907,3776.5097736658813,4951.707936676822,9.094947017729282e-13,58666.80964054786,58666.80964054786
2025-01-13,12,q4_2,B1,B1,74966.33505697364,74966.33505697364,0.0,0.0,29991.554791404367,26156.4222656874,6964.5134400673005,0.0,3776.5097736658813,4657.706953266711,5432.51276466179,1.8189894035458565e-12,75227.52748975693,75227.52748975693
2025-01-14,13,q4_2,B1,B1,77522.1277451317,74609.34352515082,2912.784219980887,437.13620678653507,30121.18911982566,26532.09634990207,6267.02209242837,0.0,4657.706953266711,5265.8908004227405,5241.142188625479,9.094947017729282e-13,74348.15109236748,74348.15109236748
2025-01-15,14,q4_2,B1,B1,82070.25542475935,73333.40626165806,8736.849163101273,1225.2774761176552,23265.589330661172,21228.500548890508,5249.837854640076,0.0,5265.8908004227405,4960.76246951368,5443.642582088025,9.094947017729282e-13,73593.29802625808,73593.29802625808
2025-01-16,15,q4_2,B1,B1,77759.81990696581,73660.55710113281,4099.262805833001,609.1881922646421,28791.536892059976,26006.828884834227,6474.67593941631,0.0,4960.76246951368,4861.207979438534,5757.837513636946,9.094947017729282e-13,73852.10812090783,73852.10812090783
2025-01-17,16,q4_2,B1,B1,37680.744410050334,37680.744410050334,0.0,0.0,18169.50127060013,16486.09574074074,22743.81769280359,4018.7959440803525,4861.207979438534,4720.439613983959,5423.3188564044185,2.2737367544323206e-13,37647.38742165867,37647.38742165867
2025-01-18,17,q4_2,B1,B1,27269.165506580255,27269.165506580255,0.0,0.0,24145.096385466823,20142.03905556254,8158.080142533057,1745.3234936416893,4720.439613983959,6394.915906148007,5793.349028425692,9.094947017729282e-13,26851.07971059693,26851.07971059693
2025-01-19,18,q4_2,B1,B1,144734.65147584866,56988.8806384746,87745.7708373741,12513.871400434522,23215.413560298926,23950.372730306863,2837.788646869039,0.0,6394.915906148007,3173.081462220555,5241.884094957052,4.547473508864641e-13,57279.30667969123,57279.30667969123
2025-01-20,19,q4_2,B1,B1,81884.91374601747,72778.9882449168,9105.925501100643,1316.7359258575611,28972.81652741583,24587.71315493019,5800.250530964591,0.0,3173.081462220555,4741.383257773863,5382.841698635111,9.094947017729282e-13,72746.0504973668,72746.0504973668
2025-01-21,20,q4_2,B1,B1,70662.83564918181,70662.83564918181,0.0,0.0,26718.23755518608,23844.402308804645,9301.50693437773,0.0,4741.383257773863,4954.3220659914805,5440.472537202436,9.094947017729282e-13,70672.13805710683,70672.13805710683
2025-01-22,21,q4_2,B1,B1,82453.92298495169,70739.71644873293,11714.206536218775,1562.0166074123379,25572.208998284063,23807.990245560442,5032.304255322539,0.0,4954.3220659914805,4118.42440790647,5686.166817306095,9.094947017729282e-13,71143.57825700376,71143.57825700376
2025-01-23,22,q4_2,B1,B1,84464.63391125115,73768.38135297822,10696.252558272938,1445.3018716560782,27944.907168680467,24421.350043518236,5270.993990548467,0.0,4118.42440790647,4886.927879815776,5829.552009332137,2.2737367544323206e-13,73571.0090156435,73571.0090156435
2025-01-24,23,q4_2,B1,B1,35916.924090059576,35916.924090059576,0.0,0.0,18926.99014481929,16871.127011373945,23281.93550542042,5198.261643136014,4886.927879815776,5058.917962595455,5847.740934507397,9.094947017729282e-13,35845.63701194846,35845.63701194846
2025-01-25,24,q4_2,B1,B1,24655.13668405394,24655.13668405394,0.0,0.0,23650.808695498003,19919.832316991575,8344.86774583328,3207.275242306456,5058.917962595455,6498.698247294744,5845.7235072198655,9.094947017729282e-13,24253.14358963728,24253.14358963728
2025-01-26,25,q4_2,B1,B1,149045.5655847421,54034.71647650843,95010.84910823368,13527.29466924933,20390.316475160653,20666.597291170063,605.0206111449763,0.0,6498.698247294744,4058.1446207227486,5680.2627688733655,9.094947017729282e-13,54346.380626238984,54346.380626238984
2025-01-27,26,q4_2,B1,B1,69571.70463950519,69571.70463950519,0.0,0.0,25811.10066050852,23177.377888915158,6872.375320079756,0.0,4058.1446207227486,4113.603281848767,5737.623256467532,9.094947017729282e-13,69918.90068086633,69918.90068086633
2025-01-28,27,q4_2,B1,B1,86332.38687974942,64818.09639180324,21514.29048794618,2998.347953601417,29591.61084344486,25744.55881520301,2333.7637953254352,0.0,4113.603281848767,5049.52251403293,5916.467466900281,9.094947017729282e-13,64725.604994253255,64725.604994253255
2025-01-29,28,q4_2,B1,B1,66684.99631471539,65869.16700402774,815.8293106876532,149.97949901726972,27077.966847360105,23527.75525331718,7633.25477436311,0.0,5049.52251403293,5937.5057967976145,5929.968547987055,9.094947017729282e-13,65573.18814214438,65573.18814214438
2025-01-30,29,q4_2,B1,B1,75727.14117935608,64533.54615143126,11193.595027924795,1605.7534889015078,28504.883324799754,26436.90128576258,5256.740556213141,6.083333333333485,5937.5057967976145,5112.671739899165,5911.7376142243165,9.094947017729282e-13,64714.334888559046,64714.334888559046
2025-01-31,30,q4_2,B1,B1,31745.269405322717,31745.269405322717,0.0,0.0,18237.71578653188,16374.311814764307,18281.485013043162,4937.911371459234,5112.671739899165,5154.447950354032,5915.03263921087,9.094947017729282e-13,31689.13376499493,31689.13376499493
