date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-01-09,8,q4_2,B2,B2_a0.8_l0.05_q75,105000.10700988343,105000.10700988343,0.0,0.0,25296.28287609752,23705.99910870146,33237.84561874804,0.0,5196.841038188668,4206.684974364216,4400.0,4.547473508864641e-13,104551.43534978757,104551.43534978757
2025-01-10,9,q4_2,B2,B2_a0.8_l0.05_q75,59556.275087840564,59556.275087840564,0.0,0.0,13701.732557143112,10686.392118781754,46483.994599440644,4135.242077764283,4206.684974364216,5940.843450673187,5314.285714285714,4.547473508864641e-13,59353.96817667389,59353.96817667389
2025-01-11,10,q4_2,B2,B2_a0.8_l0.05_q75,47693.702730170495,47693.702730170495,0.0,0.0,16264.480946603308,14621.399415322378,34000.97416697398,1365.6748098275684,5940.843450673187,5958.376632352238,5400.0,9.094947017729282e-13,47693.7027301705,47693.7027301705
2025-01-12,11,q4_2,B2,B2_a0.8_l0.05_q75,164190.548792092,59788.76817385731,104401.78061823461,14773.107047496782,21093.439044913885,18805.52492049497,4224.926691845478,0.0,5958.376632352238,6146.606171434965,6000.0,4.547473508864641e-13,59788.76817385732,59788.76817385732
2025-01-13,12,q4_2,B2,B2_a0.8_l0.05_q75,77647.63975124505,74543.91074874524,3103.72900249982,526.9903407217189,29424.695223088722,27253.638755491767,7926.1392949540805,0.0,6146.606171434965,5333.465414875724,6000.0,1.8189894035458565e-12,75006.08092552962,75006.08092552962
2025-01-14,13,q4_2,B2,B2_a0.8_l0.05_q75,78074.3147959307,74472.44938464896,3601.8654112817294,575.2336438950758,26692.41036126305,23569.789997647855,6931.053635525906,0.0,5333.465414875724,5811.369187842491,6000.0,9.094947017729282e-13,74281.97268491457,74281.97268491457
2025-01-15,14,q4_2,B2,B2_a0.8_l0.05_q75,87252.66347889394,73885.46666197128,13367.19681692266,1839.125453419305,25893.54548678491,23174.720355506855,6330.528986722591,0.0,5811.369187842491,5947.843164843697,6000.0,9.094947017729282e-13,73873.66494952129,73873.66494952129
2025-01-16,15,q4_2,B2,B2_a0.8_l0.05_q75,77024.58222190807,73321.76207203061,3702.8201498774542,553.6702148453129,27764.620675915277,25787.90484353081,6796.64920086864,0.0,5947.843164843697,5104.836613710696,6000.0,9.094947017729282e-13,73513.31309180564,73513.31309180564
2025-01-17,16,q4_2,B2,B2_a0.8_l0.05_q75,38347.284563243076,38347.284563243076,0.0,0.0,18111.42185609869,16201.05311688982,23488.0048927403,4447.301496840695,5104.836613710696,5209.430584957905,6000.0,2.2737367544323206e-13,38317.50879285141,38317.50879285141
2025-01-18,17,q4_2,B2,B2_a0.8_l0.05_q75,27252.850317358185,27252.850317358185,0.0,0.0,23740.517347763758,20051.378397042936,8561.666110851489,1800.0068133254629,5209.430584957905,6595.654226342621,6000.0,4.547473508864641e-13,26831.183303374855,26831.183303374855
2025-01-19,18,q4_2,B2,B2_a0.8_l0.05_q75,155510.10214005428,57350.71739932786,98159.38474072644,13966.538647294832,21907.073070191527,21406.905534718662,4437.286382211915,0.0,6595.654226342621,4813.668841946952,6000.0,4.547473508864641e-13,58041.72677387786,58041.72677387786
2025-01-20,19,q4_2,B2,B2_a0.8_l0.05_q75,85514.20182349504,72460.51910102867,13053.682722466368,1913.0253974791638,28972.292607868523,25718.942200885056,7382.97731709564,0.0,4813.668841946952,5189.053490257329,6000.0,9.094947017729282e-13,72378.664686812,72378.664686812
2025-01-21,20,q4_2,B2,B2_a0.8_l0.05_q75,73039.33628844627,70941.78975099268,2097.546537453605,312.9031904905803,24780.396225640994,22353.951397751924,10727.450646710775,0.0,5189.053490257329,5134.667801396736,6000.0,9.094947017729282e-13,70955.5088255844,70955.5088255844
2025-01-22,21,q4_2,B2,B2_a0.8_l0.05_q75,86288.80549760436,70895.21545127867,15393.59004632572,2182.1264234435357,25674.168775693135,23035.82569404357,5763.667104450923,0.0,5134.667801396736,5209.430584957905,6000.0,9.094947017729282e-13,70946.59154826618,70946.59154826618
2025-01-23,22,q4_2,B2,B2_a0.8_l0.05_q75,86172.9404068153,73490.10066907541,12682.839737739898,1717.181218143021,27006.597350367447,24305.937615330706,5948.491030876263,0.0,5209.430584957905,5209.430584957905,6000.0,1.8189894035458565e-12,73291.8136558574,73291.8136558574
2025-01-24,23,q4_2,B2,B2_a0.8_l0.05_q75,35901.43913070397,35901.43913070397,0.0,0.0,16060.540553399333,14454.4864980594,24043.392111523433,5431.524908026582,5209.430584957905,5209.430584957905,6000.0,2.2737367544323206e-13,35829.7538631762,35829.7538631762
2025-01-25,24,q4_2,B2,B2_a0.8_l0.05_q75,25130.41825155296,25130.41825155296,0.0,0.0,23335.96912698511,19632.905984328696,10037.433002735643,3207.275242306458,5209.430584957905,6652.974740074878,6000.0,9.094947017729282e-13,24726.140400386295,24726.140400386295
2025-01-26,25,q4_2,B2,B2_a0.8_l0.05_q75,153481.89744713026,54898.8666843228,98583.0307628074,13972.946739992984,19641.028773040816,18781.802475013894,3130.459848862476,0.0,6652.974740074878,5488.332565444409,6000.0,9.094947017729282e-13,55214.442368536686,55214.442368536686
