date,day_index,event_hour,branch,level,label,soc_event,scenario_k,scenario_weights,scenario_source_days,history_source_days,expected_cash,scenario_cvar_cash,level1,level2_throughput,level3_curtailment,pred_emergency_kwh,pred_unused_kwh,pred_curtailment_kwh,solve_seconds,max_eq_residual,epsilon,risk_lambda,alpha,contract_changed_kwh,contracts_locked,schema_hash
2025-01-09,8,0,q4_2,B2,B2_a0.9_l0.10_q75,5196.841038188668,3,0.666666666667;0.166666666667;0.166666666667,1;2;4,1;2;3;4;5;6,118313.93287605561,121840.95281667082,133872.44536605204,48552.143529539026,489.9958656790642,520.0983968719174,35326.30068554632,489.99586567906414,0.26668919999792706,1.8189894035458565e-12,0.34314810350750613,0.1,0.9,126084.61009959385,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-10,9,0,q4_2,B2,B2_a0.9_l0.10_q75,4031.7011863969237,3,0.428571428571;0.428571428571;0.142857142857,1;3;4,1;2;3;4;5;6;7,65599.5355814824,81604.30989518724,79895.30086357515,37481.81081368097,0.0,511.4527569934341,29288.325341272404,0.0,0.19781869999860646,9.094947017729282e-13,0.34314810350750613,0.1,0.9,98183.5607984068,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-11,10,0,q4_2,B2,B2_a0.9_l0.10_q75,5940.843450673187,3,0.375;0.5;0.125,1;3;4,1;2;3;4;5;6;7;8,48753.050013325235,62680.81816164838,60139.247539791744,35714.663387405366,0.0,371.15396544748194,31342.60519889619,0.0,0.22146139999676961,1.8189894035458565e-12,0.34314810350750613,0.1,0.9,81264.63331389603,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-12,11,0,q4_2,B2,B2_a0.9_l0.10_q75,5958.376632352239,3,0.444444444444;0.111111111111;0.444444444444,5;2;3,1;2;3;4;5;6;7;8;9,60367.955480894314,68249.11561419931,71409.24829543338,43859.98957116435,354.47596418591434,0.0,13096.764625930951,354.47596418591445,0.24843340000370517,9.094947017729282e-13,0.34314810350750613,0.1,0.9,82646.93899410004,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-13,12,0,q4_2,B2,B2_a0.9_l0.10_q75,6146.606171434965,3,0.5;0.4;0.1,10;5;2,1;2;3;4;5;6;7;8;9;10,79170.9914227693,85969.47965618534,92127.28020507259,57455.67137645464,0.0,0.0,10219.485013223766,0.0,0.21412480000435608,3.637978807091713e-12,0.34314810350750613,0.1,0.9,98897.21698476508,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-14,13,0,q4_2,B2,B2_a0.9_l0.10_q75,5333.465414875724,3,0.454545454545;0.454545454545;0.0909090909091,10;5;2,1;2;3;4;5;6;7;8;9;10;11,80037.80339633998,86583.06847433303,93343.02343680232,49369.83193423263,0.0,0.0,9256.08630041719,0.0,0.24095269999816082,1.8189894035458565e-12,0.34314810350750613,0.1,0.9,98284.91727768033,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-15,14,0,q4_2,B2,B2_a0.9_l0.10_q75,5811.369187851955,3,0.5;0.416666666667;0.0833333333333,10;5;2,1;2;3;4;5;6;7;8;9;10;11;12,77820.73226581703,84614.29739445154,90799.30945038596,49219.58853759467,0.0,0.0,9275.311642829714,0.0,0.21636810000200057,9.094947017729282e-13,0.34314810350750613,0.1,0.9,97330.25239358452,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-16,15,0,q4_2,B2,B2_a0.9_l0.10_q75,5947.571502679096,3,0.538461538462;0.384615384615;0.0769230769231,13;5;2,1;2;3;4;5;6;7;8;9;10;11;12;13,77242.20094749579,85586.86613788374,91116.81677569637,55030.02834502216,0.0,0.0,7414.478997934204,0.0,0.22897830000147223,1.8189894035458565e-12,0.34314810350750613,0.1,0.9,98170.84093875228,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-17,16,0,q4_2,B2,B2_a0.9_l0.10_q75,5104.836613710696,3,0.571428571429;0.357142857143;0.0714285714286,10;5;2,1;2;3;4;5;6;7;8;9;10;11;12;13;14,39943.736671052306,44511.48583732204,47153.21325273617,49900.43668631925,410.76340212891546,0.0,8972.438816628488,410.76340212891546,0.25653720000264,9.094947017729282e-13,0.34314810350750613,0.1,0.9,72515.97064948731,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-18,17,0,q4_2,B2,B2_a0.9_l0.10_q75,5209.430584957905,3,0.6;0.333333333333;0.0666666666667,13;5;2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,27000.787194651013,30667.25374290047,32184.311709344125,50016.086853189365,926.7922629830776,0.0,6267.284093921393,926.7922629830775,0.2620327000040561,1.1368683772161603e-12,0.34314810350750613,0.1,0.9,55740.699008868294,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
