date,day_index,plan_j,B_kwh,A_kwh,delta_A_minus_B_kwh,price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-01-09,8,0,1447.7161716666665,1447.7161716666665,0.0,0.4191,606.7378475454999,606.7378475454999
2025-01-09,8,1,1454.1863283333332,1454.1863283333332,0.0,0.4194,609.885746103,609.885746103
2025-01-09,8,2,619.9705,619.9705,0.0,0.438,271.547079,271.547079
2025-01-09,8,3,602.9157941666666,602.9157941666666,0.0,0.4088,246.47197665533332,246.47197665533332
2025-01-09,8,4,1431.0417775,1431.0417775,0.0,0.4364,624.5066317010001,624.5066317010001
2025-01-09,8,5,612.6411666666667,612.6411666666667,0.0,0.5088,311.7118256,311.7118256
2025-01-09,8,6,630.1793966666667,630.1793966666667,0.0,0.5012,315.8459136093333,315.8459136093333
2025-01-09,8,7,626.7464816666668,626.7464816666668,0.0,0.478,299.5848182366667,299.5848182366667
2025-01-09,8,8,1454.1919166666667,1454.1919166666667,0.0,0.4707,684.488135175,684.488135175
2025-01-09,8,9,648.2077591666667,648.2077591666667,0.0,0.4535,293.96221878208337,293.96221878208337
2025-01-09,8,10,653.6435241666667,653.6435241666667,0.0,0.4965,324.53400974875,324.53400974875
2025-01-09,8,11,638.26975,638.26975,0.0,0.5399,344.60183802500006,344.60183802500006
2025-01-09,8,12,658.2261358333334,658.2261358333334,0.0,0.4534,298.43972998683336,298.43972998683336
2025-01-09,8,13,1499.9357591666667,1499.9357591666667,0.0,0.4312,646.7722993526667,646.7722993526667
2025-01-09,8,14,732.7981371027405,732.7981371027405,0.0,0.4938,361.85572010133325,361.85572010133325
2025-01-09,8,15,682.7534966666667,682.7534966666667,0.0,0.475,324.3079109166667,324.3079109166667
2025-01-09,8,16,683.4876575000001,683.4876575000001,0.0,0.4826,329.8511435095,329.8511435095
2025-01-09,8,17,1494.48025,1494.48025,0.0,0.5133,767.116712325,767.116712325
2025-01-09,8,18,673.0225016666666,673.0225016666666,0.0,0.4523,304.4080775038333,304.4080775038333
2025-01-09,8,19,0.0,0.0,0.0,0.4587,0.0,0.0
2025-01-09,8,20,689.4469166666668,689.4469166666668,0.0,0.5359,369.47460264166676,369.47460264166676
2025-01-09,8,21,696.6501016666667,696.6501016666667,0.0,0.5214,363.233363009,363.233363009
2025-01-09,8,22,713.0415208333333,713.0415208333333,0.0,0.4921,350.88773240208326,350.88773240208326
2025-01-09,8,23,0.0,0.0,0.0,0.5031,0.0,0.0
2025-01-09,8,24,716.4324833333334,716.4324833333334,0.0,0.5235,375.052405025,375.052405025
2025-01-09,8,25,704.4256783333333,704.4256783333333,0.0,0.5153,362.9905520451666,362.9905520451666
2025-01-09,8,26,1534.37825,1534.37825,0.0,0.4959,760.898174175,760.898174175
2025-01-09,8,27,706.8426783333334,706.8426783333334,0.0,0.5105,360.8431872891667,360.8431872891667
2025-01-09,8,28,695.1622550000001,695.1622550000001,0.0,0.4981,346.26031921550003,346.26031921550003
2025-01-09,8,29,1372.529785185187,1372.529785185187,0.0,0.4678,642.0694335096305,642.0694335096305
2025-01-09,8,30,701.7823908333334,701.7823908333334,0.0,0.4969,348.7156700050833,348.7156700050833
2025-01-09,8,31,0.0,0.0,0.0,0.543,0.0,0.0
2025-01-09,8,32,689.8375000000001,689.8375000000001,0.0,0.5172,356.78395500000005,356.78395500000005
2025-01-09,8,33,1527.6121641666666,1527.6121641666666,0.0,0.4212,643.430243547,643.430243547
2025-01-09,8,34,788.3744408333334,788.3744408333334,0.0,0.6542,515.7545591931668,515.7545591931668
2025-01-09,8,35,915.8126666666668,915.8126666666668,0.0,1.0808,989.8103301333334,989.8103301333334
2025-01-09,8,36,189.01542416666643,189.01542416666643,0.0,1.1405,215.5720912620831,215.5720912620831
2025-01-09,8,37,927.8242516666668,927.8242516666668,0.0,1.096,1016.8953798266668,1016.8953798266668
2025-01-09,8,38,926.42625,926.42625,0.0,1.1079,1026.387642375,1026.387642375
2025-01-09,8,39,909.7271691666668,909.7271691666668,0.0,1.0647,968.5865170117502,968.5865170117502
2025-01-09,8,40,907.7437916666667,907.7437916666667,0.0,1.0185,924.5370518125,924.5370518125
2025-01-09,8,41,914.4217916666666,914.4217916666666,0.0,1.0129,926.2178327791665,926.2178327791665
2025-01-09,8,42,881.9307141666668,881.9307141666668,0.0,1.0364,914.0329921623335,914.0329921623335
2025-01-09,8,43,855.9958675,855.9958675,0.0,1.0651,911.72119847425,911.72119847425
2025-01-09,8,44,810.7195833333334,810.7195833333334,0.0,1.0227,829.122917875,829.122917875
2025-01-09,8,45,1538.1234024999999,1538.1234024999999,0.0,0.896,1378.1585686399999,1378.1585686399999
2025-01-09,8,46,767.3285425,767.3285425,0.0,1.097,841.7594111225,841.7594111225
2025-01-09,8,47,113.43325000000004,113.43325000000004,0.0,1.4817,168.07404652500006,168.07404652500006
2025-01-09,8,48,103.05957166666678,103.05957166666678,0.0,1.4693,151.42542864983352,151.42542864983352
2025-01-09,8,49,15.263552500000287,15.263552500000287,0.0,1.3708,20.923277767000393,20.923277767000393
2025-01-09,8,50,0.0,0.0,0.0,1.3803,0.0,0.0
2025-01-09,8,51,0.0,0.0,0.0,1.3732,0.0,0.0
2025-01-09,8,52,0.0,0.0,0.0,1.3357,0.0,0.0
2025-01-09,8,53,0.0,0.0,0.0,1.2847,0.0,0.0
2025-01-09,8,54,0.0,0.0,0.0,1.2378,0.0,0.0
2025-01-09,8,55,0.0,0.0,0.0,1.2154,0.0,0.0
2025-01-09,8,56,385.9690795484005,385.9690795484005,0.0,1.216,469.33840073085497,469.33840073085497
2025-01-09,8,57,481.3702941666668,481.3702941666668,0.0,1.2289,591.5559545014169,591.5559545014169
2025-01-09,8,58,0.0,0.0,0.0,1.2928,0.0,0.0
2025-01-09,8,59,0.0,0.0,0.0,1.3774,0.0,0.0
2025-01-09,8,60,0.0,0.0,0.0,1.3949,0.0,0.0
2025-01-09,8,61,0.0,0.0,0.0,1.3595,0.0,0.0
2025-01-09,8,62,0.0,0.0,0.0,1.3462,0.0,0.0
2025-01-09,8,63,0.0,0.0,0.0,1.3785,0.0,0.0
2025-01-09,8,64,314.29552750000016,314.29552750000016,0.0,1.1584,364.0799390560002,364.0799390560002
2025-01-09,8,65,1106.9245833333332,1106.9245833333332,0.0,0.7916,876.2415001666666,876.2415001666666
2025-01-09,8,66,1082.187465,1082.187465,0.0,0.7109,769.3270688685,769.3270688685
2025-01-09,8,67,1069.3367600000001,1069.3367600000001,0.0,0.7271,777.5147581960001,777.5147581960001
2025-01-09,8,68,1062.6410416666668,1062.6410416666668,0.0,0.7182,763.188796125,763.188796125
2025-01-09,8,69,1046.8443358333334,1046.8443358333334,0.0,0.7514,786.5988339451667,786.5988339451667
2025-01-09,8,70,1028.9127683333336,1028.9127683333336,0.0,0.7449,766.4371211315002,766.4371211315002
2025-01-09,8,71,999.2834791666668,999.2834791666668,0.0,0.685,684.5091832291668,684.5091832291668
2025-01-09,8,72,975.8655616666667,975.8655616666667,0.0,0.6549,639.0943563355,639.0943563355
2025-01-09,8,73,960.8636541666668,960.8636541666668,0.0,0.6902,663.1880941058334,663.1880941058334
2025-01-09,8,74,954.5546874999998,954.5546874999998,0.0,0.7207,687.9475632812498,687.9475632812498
2025-01-09,8,75,972.2389749999998,972.2389749999998,0.0,0.6738,655.0946213549998,655.0946213549998
2025-01-09,8,76,997.6751516666666,997.6751516666666,0.0,0.8184,816.4973441239999,816.4973441239999
2025-01-09,8,77,186.33004166666672,186.33004166666672,0.0,1.0838,201.9444991583334,201.9444991583334
2025-01-09,8,78,0.0,0.0,0.0,1.111,0.0,0.0
2025-01-09,8,79,0.0,0.0,0.0,1.0817,0.0,0.0
2025-01-09,8,80,0.0,0.0,0.0,1.1059,0.0,0.0
2025-01-09,8,81,266.72341672648156,266.72341672648156,0.0,1.1228,299.4770523004935,299.4770523004935
2025-01-09,8,82,0.0,0.0,0.0,1.2281,0.0,0.0
2025-01-09,8,83,0.0,0.0,0.0,1.3751,0.0,0.0
2025-01-09,8,84,0.0,0.0,0.0,1.3988,0.0,0.0
2025-01-09,8,85,0.0,0.0,0.0,1.3888,0.0,0.0
2025-01-09,8,86,0.0,0.0,0.0,1.4274,0.0,0.0
2025-01-09,8,87,0.0,0.0,0.0,1.4683,0.0,0.0
2025-01-09,8,88,0.0,0.0,0.0,1.2633,0.0,0.0
2025-01-09,8,89,1393.4270833333335,1393.4270833333335,0.0,0.9262,1290.5921645833334,1290.5921645833334
2025-01-09,8,90,1436.6820441666664,1436.6820441666664,0.0,0.8545,1227.6448067404165,1227.6448067404165
2025-01-09,8,91,627.0022475000003,627.0022475000003,0.0,0.9375,587.8146070312503,587.8146070312503
2025-01-09,8,92,1468.6460833333333,1468.6460833333333,0.0,0.9967,1463.7995512583334,1463.7995512583334
2025-01-09,8,93,700.9859558333335,700.9859558333335,0.0,0.9663,677.3627291217501,677.3627291217501
2025-01-09,8,94,1404.3989598797602,1404.3989598797602,0.0,0.9681,1359.5986330595958,1359.5986330595958
2025-01-09,8,95,1626.0700000000002,1626.0700000000002,0.0,1.0122,1645.9080540000002,1645.9080540000002
2025-01-09,8,96,827.5924683333335,827.5924683333335,0.0,1.001,828.4200608016668,828.4200608016668
2025-01-09,8,97,865.3605266666668,865.3605266666668,0.0,1.0308,892.0136308880001,892.0136308880001
2025-01-09,8,98,910.7029791666666,910.7029791666666,0.0,1.1035,1004.9607375104166,1004.9607375104166
2025-01-09,8,99,967.8452316666667,967.8452316666667,0.0,1.1117,1075.9535440438333,1075.9535440438333
2025-01-09,8,100,1013.8611033333336,1013.8611033333336,0.0,1.0904,1105.514147074667,1105.514147074667
2025-01-09,8,101,1040.4891458333334,1040.4891458333334,0.0,1.0938,1138.0870277125002,1138.0870277125002
2025-01-09,8,102,1053.5128325,1053.5128325,0.0,1.1348,1195.526362321,1195.526362321
2025-01-09,8,103,1044.9587125,1044.9587125,0.0,1.1374,1188.5360395975001,1188.5360395975001
2025-01-09,8,104,1033.77025,1033.77025,0.0,1.0995,1136.630389875,1136.630389875
2025-01-09,8,105,1047.8116816666668,1047.8116816666668,0.0,1.1025,1155.2123790375,1155.2123790375
2025-01-09,8,106,944.0254508333335,944.0254508333335,0.0,1.1726,1106.964243647167,1106.964243647167
2025-01-09,8,107,480.4536570484005,480.4536570484005,0.0,1.2522,601.6240693560071,601.6240693560071
2025-01-09,8,108,719.9006083333334,719.9006083333334,0.0,1.2547,903.2592932758333,903.2592932758333
2025-01-09,8,109,740.1329750000001,740.1329750000001,0.0,1.2508,925.7583251300001,925.7583251300001
2025-01-09,8,110,745.4078333333334,745.4078333333334,0.0,1.2576,937.4248912000002,937.4248912000002
2025-01-09,8,111,735.3623891666667,735.3623891666667,0.0,1.2454,915.8203194681668,915.8203194681668
2025-01-09,8,112,733.7991583333334,733.7991583333334,0.0,1.3588,997.0862963433334,997.0862963433334
2025-01-09,8,113,0.0,0.0,0.0,1.5205,0.0,0.0
2025-01-09,8,114,0.0,0.0,0.0,1.4967,0.0,0.0
2025-01-09,8,115,0.0,0.0,0.0,1.488,0.0,0.0
2025-01-09,8,116,0.0,0.0,0.0,1.5489,0.0,0.0
2025-01-09,8,117,0.0,0.0,0.0,1.5315,0.0,0.0
2025-01-09,8,118,0.0,0.0,0.0,1.5064,0.0,0.0
2025-01-09,8,119,0.0,0.0,0.0,1.5113,0.0,0.0
2025-01-09,8,120,0.0,0.0,0.0,1.504,0.0,0.0
2025-01-09,8,121,0.0,0.0,0.0,1.484,0.0,0.0
2025-01-09,8,122,0.0,0.0,0.0,1.5055,0.0,0.0
2025-01-09,8,123,0.0,0.0,0.0,1.5726,0.0,0.0
2025-01-09,8,124,0.0,0.0,0.0,1.3417,0.0,0.0
2025-01-09,8,125,765.4877500000001,765.4877500000001,0.0,0.9515,728.3615941250001,728.3615941250001
2025-01-09,8,126,1602.0505175,1602.0505175,0.0,0.9105,1458.66699618375,1458.66699618375
2025-01-09,8,127,751.6859041666668,751.6859041666668,0.0,0.9482,712.7485743308334,712.7485743308334
2025-01-09,8,128,747.8355833333334,747.8355833333334,0.0,0.9596,717.6230257666667,717.6230257666667
2025-01-09,8,129,33.37276833333351,33.37276833333351,0.0,1.0638,35.50195095300019,35.50195095300019
2025-01-09,8,130,716.5963858333334,716.5963858333334,0.0,0.8397,601.7259851842501,601.7259851842501
2025-01-09,8,131,581.53975,581.53975,0.0,0.4003,232.790361925,232.790361925
2025-01-09,8,132,1391.2227091666666,1391.2227091666666,0.0,0.3282,456.59929314849995,456.59929314849995
2025-01-09,8,133,1407.5301091666665,1407.5301091666665,0.0,0.401,564.4195737758333,564.4195737758333
2025-01-09,8,134,1406.91025,1406.91025,0.0,0.4273,601.172749825,601.172749825
2025-01-09,8,135,1264.1175022099983,1264.1175022099983,0.0,0.4395,555.5796422212943,555.5796422212943
2025-01-09,8,136,0.02889923680118045,0.02889923680118045,0.0,0.413,0.011935384798887526,0.011935384798887526
2025-01-09,8,137,565.8735,565.8735,0.0,0.364,205.977954,205.977954
2025-01-09,8,138,576.3508724999999,576.3508724999999,0.0,0.3559,205.12327552274996,205.12327552274996
2025-01-09,8,139,592.1480041666666,592.1480041666666,0.0,0.4074,241.24109689749997,241.24109689749997
2025-01-09,8,140,606.1665833333333,606.1665833333333,0.0,0.4773,289.323310225,289.323310225
2025-01-09,8,141,1449.0657433333333,1449.0657433333333,0.0,0.4872,705.9848301520001,705.9848301520001
2025-01-09,8,142,1417.3730283333334,1417.3730283333334,0.0,0.405,574.0360764750001,574.0360764750001
2025-01-09,8,143,1370.5818333333332,1370.5818333333332,0.0,0.307,420.76862283333327,420.76862283333327
2025-01-10,9,0,0.0,0.0,0.0,0.312,0.0,0.0
2025-01-10,9,1,0.0,0.0,0.0,0.331,0.0,0.0
2025-01-10,9,2,533.1238333333333,533.1238333333333,0.0,0.3329,177.47692411666665,177.47692411666665
2025-01-10,9,3,532.5074525,532.5074525,0.0,0.3649,194.31196941725,194.31196941725
2025-01-10,9,4,528.1616516666667,528.1616516666667,0.0,0.349,184.32841643166665,184.32841643166665
2025-01-10,9,5,1362.5355833333333,1362.5355833333333,0.0,0.2986,406.8531251833333,406.8531251833333
2025-01-10,9,6,1393.78556,1393.78556,0.0,0.3166,441.272508296,441.272508296
2025-01-10,9,7,1417.2578383333334,1417.2578383333334,0.0,0.3703,524.8105775348334,524.8105775348334
2025-01-10,9,8,1405.4811666666667,1405.4811666666667,0.0,0.3915,550.24587675,550.24587675
2025-01-10,9,9,554.4816725000001,554.4816725000001,0.0,0.3489,193.45865553525002,193.45865553525002
2025-01-10,9,10,301.4455108115445,301.4455108115445,0.0,0.353,106.4102653164752,106.4102653164752
2025-01-10,9,11,582.9110000000001,582.9110000000001,0.0,0.3932,229.2006052,229.2006052
2025-01-10,9,12,1406.9593408333333,1406.9593408333333,0.0,0.355,499.4705659958333,499.4705659958333
2025-01-10,9,13,1393.8573458333333,1393.8573458333333,0.0,0.3268,455.5125806183333,455.5125806183333
2025-01-10,9,14,1395.0249166666665,1395.0249166666665,0.0,0.3368,469.84439193333327,469.84439193333327
2025-01-10,9,15,564.06145,564.06145,0.0,0.3283,185.181374035,185.181374035
2025-01-10,9,16,585.5294008333334,585.5294008333334,0.0,0.3515,205.81358439291668,205.81358439291668
2025-01-10,9,17,1446.8742618491715,1446.8742618491715,0.0,0.4102,593.5078222105302,593.5078222105302
2025-01-10,9,18,616.1419716666667,616.1419716666667,0.0,0.4485,276.33967429250004,276.33967429250004
2025-01-10,9,19,617.5657283333334,617.5657283333334,0.0,0.4661,287.8473859761667,287.8473859761667
2025-01-10,9,20,336.65498333333414,336.65498333333414,0.0,0.4455,149.97979507500037,149.97979507500037
2025-01-10,9,21,0.0,0.0,0.0,0.3723,0.0,0.0
2025-01-10,9,22,595.3248358333334,595.3248358333334,0.0,0.3669,218.42468226725003,218.42468226725003
2025-01-10,9,23,0.0,0.0,0.0,0.4189,0.0,0.0
2025-01-10,9,24,632.3331891666667,632.3331891666667,0.0,0.3989,252.23770915858333,252.23770915858333
2025-01-10,9,25,619.9078925,619.9078925,0.0,0.3598,223.0428597215,223.0428597215
2025-01-10,9,26,1406.2980833333334,1406.2980833333334,0.0,0.3704,520.8928100666667,520.8928100666667
2025-01-10,9,27,1419.4101208333332,1419.4101208333332,0.0,0.4355,618.1531076229165,618.1531076229165
2025-01-10,9,28,616.3276116666667,616.3276116666667,0.0,0.4338,267.36291794100003,267.36291794100003
2025-01-10,9,29,625.9122500000001,625.9122500000001,0.0,0.3701,231.65012372500001,231.65012372500001
2025-01-10,9,30,607.7555508333334,607.7555508333334,0.0,0.367,223.04628715583334,223.04628715583334
2025-01-10,9,31,620.5838925,620.5838925,0.0,0.3925,243.57917780625002,243.57917780625002
2025-01-10,9,32,649.9344166666667,649.9344166666667,0.0,0.3826,248.6649078166667,248.6649078166667
2025-01-10,9,33,636.2340291666666,636.2340291666666,0.0,0.3435,218.54638901874998,218.54638901874998
2025-01-10,9,34,658.3523466666667,658.3523466666667,0.0,0.509,335.10134445333335,335.10134445333335
2025-01-10,9,35,719.3065833333334,719.3065833333334,0.0,0.7997,575.2294746916667,575.2294746916667
2025-01-10,9,36,0.0,0.0,0.0,0.8764,0.0,0.0
2025-01-10,9,37,725.0951900000001,725.0951900000001,0.0,0.8415,610.1676023850001,610.1676023850001
2025-01-10,9,38,714.37075,714.37075,0.0,0.8322,594.4993381500001,594.4993381500001
2025-01-10,9,39,704.8749575,704.8749575,0.0,0.8801,620.36045009575,620.36045009575
2025-01-10,9,40,665.47231121507,665.47231121507,0.0,0.9142,608.3747869128171,608.3747869128171
2025-01-10,9,41,0.0,0.0,0.0,0.9027,0.0,0.0
2025-01-10,9,42,730.8122875000001,730.8122875000001,0.0,0.8745,639.0953454187502,639.0953454187502
2025-01-10,9,43,0.0,0.0,0.0,0.8486,0.0,0.0
2025-01-10,9,44,0.0,0.0,0.0,0.8038,0.0,0.0
2025-01-10,9,45,598.7832091666669,598.7832091666669,0.0,0.7393,442.6804265369168,442.6804265369168
2025-01-10,9,46,0.0,0.0,0.0,0.8665,0.0,0.0
2025-01-10,9,47,0.0,0.0,0.0,1.0831,0.0,0.0
2025-01-10,9,48,0.0,0.0,0.0,1.0606,0.0,0.0
2025-01-10,9,49,0.0,0.0,0.0,1.0202,0.0,0.0
2025-01-10,9,50,0.0,0.0,0.0,1.0493,0.0,0.0
2025-01-10,9,51,0.0,0.0,0.0,1.0154,0.0,0.0
2025-01-10,9,52,0.0,0.0,0.0,1.0028,0.0,0.0
2025-01-10,9,53,0.0,0.0,0.0,1.0292,0.0,0.0
2025-01-10,9,54,0.0,0.0,0.0,1.0149,0.0,0.0
2025-01-10,9,55,0.0,0.0,0.0,0.9821,0.0,0.0
2025-01-10,9,56,0.0,0.0,0.0,0.9641,0.0,0.0
2025-01-10,9,57,0.0,0.0,0.0,0.9838,0.0,0.0
2025-01-10,9,58,0.0,0.0,0.0,1.0824,0.0,0.0
2025-01-10,9,59,0.0,0.0,0.0,1.18,0.0,0.0
2025-01-10,9,60,0.0,0.0,0.0,1.142,0.0,0.0
2025-01-10,9,61,0.0,0.0,0.0,1.1127,0.0,0.0
2025-01-10,9,62,0.0,0.0,0.0,1.1577,0.0,0.0
2025-01-10,9,63,0.0,0.0,0.0,1.1608,0.0,0.0
2025-01-10,9,64,0.0,0.0,0.0,0.8933,0.0,0.0
2025-01-10,9,65,839.5932083333335,839.5932083333335,0.0,0.5201,436.6724276541667,436.6724276541667
2025-01-10,9,66,844.9492833333334,844.9492833333334,0.0,0.4627,390.9580333983333,390.9580333983333
2025-01-10,9,67,829.2570275000002,829.2570275000002,0.0,0.5007,415.2089936692501,415.2089936692501
2025-01-10,9,68,791.598375,791.598375,0.0,0.4731,374.50519121250005,374.50519121250005
2025-01-10,9,69,775.0996108333334,775.0996108333334,0.0,0.4372,338.87354985633334,338.87354985633334
2025-01-10,9,70,749.7814258333333,749.7814258333333,0.0,0.4253,318.88204040691664,318.88204040691664
2025-01-10,9,71,713.8962500000001,713.8962500000001,0.0,0.4394,313.6860122500001,313.6860122500001
2025-01-10,9,72,687.1623508333333,687.1623508333333,0.0,0.4634,318.4310333761666,318.4310333761666
2025-01-10,9,73,705.13175,705.13175,0.0,0.4937,348.123544975,348.123544975
2025-01-10,9,74,743.0192916666666,743.0192916666666,0.0,0.4898,363.9308490583333,363.9308490583333
2025-01-10,9,75,743.7848858333333,743.7848858333333,0.0,0.435,323.5464253375,323.5464253375
2025-01-10,9,76,767.8809341666666,767.8809341666666,0.0,0.5519,423.7934875665833,423.7934875665833
2025-01-10,9,77,0.0,0.0,0.0,0.7835,0.0,0.0
2025-01-10,9,78,0.0,0.0,0.0,0.837,0.0,0.0
2025-01-10,9,79,0.0,0.0,0.0,0.8279,0.0,0.0
2025-01-10,9,80,0.0,0.0,0.0,0.8421,0.0,0.0
2025-01-10,9,81,0.0,0.0,0.0,0.855,0.0,0.0
