date,day_index,branch,level,label,backend,settlement_clock,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,pv_curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-01-09,8,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,100895.58536720085,100895.58536720085,0.0,0.0,21094.480861265427,19353.61056652881,23816.73749816765,0.0,0.0,7802.124421984468,7413.609316735619,6754.545724901805,9.094947017729282e-13,103321.3080950584,100803.2504432717
2025-01-10,9,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,43834.685640646385,43834.685640646385,0.0,0.0,15770.12954061494,11763.078272407407,20222.871310044644,3581.8221166666663,3581.8221166666663,7413.609316735619,9975.094608128036,6308.023016970123,9.094947017729282e-13,44686.78575630323,43740.34123302139
2025-01-11,10,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,28943.55341138339,28943.55341138339,0.0,0.0,18443.956316507665,16466.287714792084,4646.270828491778,2106.2696333333333,2106.2696333333333,9975.094608128036,10115.57665344146,8753.18001436202,9.094947017729282e-13,29150.223388768703,29043.785895841724
2025-01-12,11,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,109079.66810186463,64374.42064553728,44705.24745632736,7380.410314913398,20247.281338300138,23692.430483959968,109.62115543896294,0.0,0.0,10115.57665344146,4349.8197451770175,4413.873646427875,9.094947017729282e-13,59999.71363986117,64356.22547967477
2025-01-13,12,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,76016.45374191091,75799.26163700839,217.19210490252414,42.05215800925874,27404.13577341539,24368.74849817449,6573.768358436221,0.0,0.0,4349.8197451770175,4660.749323578479,4819.179799595983,9.094947017729282e-13,76015.07729891161,75870.45424765421
2025-01-14,13,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,75818.67884284188,74493.18678423273,1325.4920586091457,174.81543392592314,26839.97448712728,23133.068218701592,3323.6016867356034,0.0,0.0,4660.749323578479,5738.989893234318,5647.973900005417,9.094947017729282e-13,74465.9135545727,74420.99183883643
2025-01-15,14,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,81131.89890885945,79734.07942815349,1397.8194807059608,221.29685657407242,22165.933346734,20063.900477321968,6214.865780010292,0.0,0.0,5738.989893234318,5618.232559889477,4755.32379990312,9.094947017729282e-13,80653.8131645183,79759.20956746646
2025-01-16,15,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,69961.7726262288,69164.59007860447,797.1825476243415,109.316301166665,25684.182887277493,25647.062866356897,843.3506831378746,0.0,0.0,5618.232559889477,2950.0099053863282,3486.232178998474,9.094947017729282e-13,69329.29439312154,69361.82653680029
2025-01-17,16,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,38170.06661000692,38170.06661000692,0.0,0.0,24035.624688957992,15027.361718773565,13484.629048137866,4688.580366666666,4688.580366666666,2950.0099053863282,9911.975521162305,7233.436063348159,8.810729923425242e-13,38974.81150594808,38142.359022886085
2025-01-18,17,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,26906.837443425742,26906.837443425742,0.0,0.0,20818.264800261604,18270.261747853812,3095.368960728121,3063.3511219879283,3063.3511219879283,9911.975521162305,10403.368774674404,9321.848013998464,9.094947017729282e-13,27859.118077126506,26768.22965624241
2025-01-19,18,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,121765.76350581892,58569.81721404291,63195.94629177601,10288.014157664611,20672.819125339665,23757.68724813893,2.2737367544323206e-13,0.0,0.0,10403.368774674404,4972.525788484405,5519.277470585933,9.094947017729282e-13,53001.95104167721,58664.993498654134
2025-01-20,19,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,70947.26825204605,70457.79124140894,489.47701063710826,62.48904383333651,28667.90913650428,25291.647939335333,849.747207567447,0.0,0.0,4972.525788484405,5509.5546205144865,5714.053566648914,8.171241461241152e-13,70660.98093338938,70675.07781362272
2025-01-21,20,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,69267.7089123073,69267.7089123073,0.0,0.0,26668.482523310417,22471.098559305545,4453.497192183126,0.0,0.0,5509.5546205144865,7122.8809168865055,7166.299495476407,9.094947017729282e-13,69642.45882434212,69266.94712499395
2025-01-22,21,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,73032.19404149956,72540.99714118036,491.1969003192087,100.12082471296429,24447.357722816585,22431.864444609004,3899.791086918271,7.533643847645877e-14,7.533643847645877e-14,7122.8809168865055,6670.419600284702,7327.291184888691,9.094947017729282e-13,72818.6641321714,72601.55514530203
2025-01-23,22,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,70396.64150984184,70396.64150984184,0.0,0.0,23487.867936257942,24592.84083625967,1289.4728550484178,0.0,0.0,6670.419600284702,3029.8372260352658,3323.4510225820245,8.952838470577262e-13,69130.15748901301,70212.8317795196
2025-01-24,23,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,33728.74508463179,33728.74508463179,0.0,0.0,23606.128593009726,14527.526992553449,10291.5941875939,5505.532133333333,5505.532133333333,3029.8372260352658,10111.219131841306,7222.041257739836,8.526512829121202e-13,34219.1156104619,33666.812490145676
2025-01-25,24,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,22114.109044882534,22114.109044882534,0.0,0.0,19674.268693376984,17721.760647289288,2571.5103466288933,3332.8004524128305,3332.8004524128305,10111.219131841306,10095.493311348144,8468.40072127071,9.094947017729282e-13,21289.57298434543,21795.149046631675
2025-01-26,25,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,102324.17383576311,58587.5754910048,43736.598344758306,7057.947125085384,21458.730883156462,23851.07017952576,51.038678611112175,0.0,0.0,10095.493311348144,5311.797430951924,5897.501370845721,9.094947017729282e-13,59032.38903625129,58821.674506952884
2025-01-27,26,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,67123.47816317808,65928.05745111783,1195.4207120602487,211.91727158333444,23049.470227840746,20620.376549845576,1782.2980896936435,0.0,0.0,5311.797430951924,5442.659495738143,5859.141001724875,8.881784197001252e-13,65324.08227537586,66248.03782738312
2025-01-28,27,q4_3,B0,JANUARY_B0,q4-inheritance-v2,delivery,69430.26741291331,68986.58666986604,443.6807430472615,60.97124544444375,26139.164567497133,22621.67203150504,1942.353874309632,1.1368683772161603e-13,1.1368683772161603e-13,5442.659495738143,6395.112312288382,6077.284359396907,8.859579736508749e-13,69352.52315500351,68640.5000802591
