date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-01-09,8,q4_3,B2,B2_eps0,79176.53261619083,79176.53261619083,0.0,0.0,29712.417919439482,26937.428718841613,5170.909373597258,0.0,5196.841011722429,4989.97261660114,5491.081293501584,1.8189894035458565e-12,78057.73963736974,78807.8285897084
2025-01-10,9,q4_3,B2,B2_eps0,40892.189138174814,40892.189138174814,0.0,0.0,17518.87038766046,14440.125688829095,22662.35314789044,2541.159949925697,4989.97261660114,6388.603395483761,5764.432517212275,9.094947017729282e-13,42248.636800551925,40609.91459339476
2025-01-11,10,q4_3,B2,B2_eps0,30610.74152781364,30610.74152781364,0.0,0.0,23373.031914865704,21369.41365977409,8839.521785331664,1285.6295843209905,6388.603395483761,6036.8685888516,5559.9670123932465,9.094947017729282e-13,25932.78068340959,30610.741527813647
2025-01-12,11,q4_3,B2,B2_eps0,107402.15834083893,79507.43673672009,27894.721604118826,3863.6709984346876,30335.896012466044,27946.291636226048,4891.728252353962,0.0,6036.8685888516,5358.048558679299,6000.0,9.094947017729282e-13,61226.366896914755,79774.86406585763
2025-01-13,12,q4_3,B2,B2_eps0,79394.97598817859,79394.97598817859,0.0,0.0,26601.94384077701,24286.97746467283,10107.772605499242,0.0,5358.048558679299,4994.146286252939,5319.862978743611,9.094947017729282e-13,75261.88109865274,79388.74109182438
2025-01-14,13,q4_3,B2,B2_eps0,76746.58623022457,76677.94245752688,68.64377269768518,12.182762037037037,28499.303539663022,25074.576222297055,5732.816909819359,0.0,4994.146286252939,5600.035485083397,5230.185854244088,9.094947017729282e-13,73688.94779120562,76416.75086566206
2025-01-15,14,q4_3,B2,B2_eps0,81366.94932678841,79747.21501979396,1619.7343069944477,204.33131159258835,27169.665228534683,24410.158829113258,6428.398646129996,0.0,5600.035485083397,5644.876452195787,5704.058621848094,1.8189894035458565e-12,70814.1144260722,80007.10594347543
2025-01-16,15,q4_3,B2,B2_eps0,76663.93762284926,76636.70886513552,27.228757713748198,3.8504924999997456,28839.15394003854,26762.190273826523,5731.332051537493,0.0,5644.876452195787,4794.274644985674,5745.218041030961,9.094947017729282e-13,69762.76123904868,76825.72770949383
2025-01-17,16,q4_3,B2,B2_eps0,38706.43337243433,38706.43337243433,0.0,0.0,18451.465892777815,16438.172259634666,22370.756856180924,4200.297652288083,4794.274644985674,4971.517191798608,5759.335958910713,9.094947017729282e-13,37526.36024469187,38676.788270026
2025-01-18,17,q4_3,B2,B2_eps0,28807.242095622492,28807.242095622492,0.0,0.0,24033.68873017372,20278.031646301242,8775.862131513824,1121.9779666666666,4971.517191798608,6396.954124897327,5779.346998584243,9.094947017729282e-13,28125.911257423413,28387.976589072492
