branch,date,block,charge_kwh,discharge_kwh,S00_kwh,S24_kwh
q4_2,2025-03-20,00:00-04:00,7021.798542314813,3653.2298633333335,6559.641029027791,3288.107594365672
q4_2,2025-03-20,04:00-08:00,3353.135555833333,6502.560287951604,6559.641029027791,3288.107594365672
q4_2,2025-03-20,08:00-12:00,5207.405883333333,3265.5568,6559.641029027791,3288.107594365672
q4_2,2025-03-20,12:00-16:00,4083.0238719832614,563.0518911666647,6559.641029027791,3288.107594365672
q4_2,2025-03-20,16:00-20:00,74.08023660493654,6635.404120620374,6559.641029027791,3288.107594365672
q4_2,2025-03-20,20:00-24:00,2438.3021082407404,2443.817743885187,6559.641029027791,3288.107594365672
q4_2,2025-06-21,00:00-04:00,1407.4247816666673,5593.369,7555.276417569611,8315.677765212668
q4_2,2025-06-21,04:00-08:00,3067.8712094444427,2234.595906842593,7555.276417569611,8315.677765212668
q4_2,2025-06-21,08:00-12:00,7642.681760316592,0.0,7555.276417569611,8315.677765212668
q4_2,2025-06-21,12:00-16:00,0.0,0.0,7555.276417569611,8315.677765212668
q4_2,2025-06-21,16:00-20:00,126.66484161522261,3615.524767488633,7555.276417569611,8315.677765212668
q4_2,2025-06-21,20:00-24:00,5683.407226666666,3970.375105083335,7555.276417569611,8315.677765212668
q4_2,2025-09-23,00:00-04:00,9169.809930833331,2434.2251358333333,4567.056321367855,3555.067739684928
q4_2,2025-09-23,04:00-08:00,2522.4775708333336,7443.357926093756,4567.056321367855,3555.067739684928
q4_2,2025-09-23,08:00-12:00,3356.3061550851044,2387.9402999999998,4567.056321367855,3555.067739684928
q4_2,2025-09-23,12:00-16:00,5457.299497916672,488.80346171295923,4567.056321367855,3555.067739684928
q4_2,2025-09-23,16:00-20:00,0.0,5804.46396848864,4567.056321367855,3555.067739684928
q4_2,2025-09-23,20:00-24:00,2790.928869629629,3368.4056950000004,4567.056321367855,3555.067739684928
q4_2,2025-12-21,00:00-04:00,3020.8914258333375,2738.4426758333334,10678.598011155736,6942.092507215929
q4_2,2025-12-21,04:00-08:00,3233.132102037035,3168.808737499999,10678.598011155736,6942.092507215929
q4_2,2025-12-21,08:00-12:00,2984.0999283333326,8713.557383868267,10678.598011155736,6942.092507215929
q4_2,2025-12-21,12:00-16:00,6692.045763333332,1555.6392442499978,10678.598011155736,6942.092507215929
q4_2,2025-12-21,16:00-20:00,0.0,2358.889550209913,10678.598011155736,6942.092507215929
q4_2,2025-12-21,20:00-24:00,5040.18672398148,3882.743122166667,10678.598011155736,6942.092507215929
