branch,date,interval,emergency_kwh
q4_2,2025-03-20,16:30-17:20,99.12674052777673
q4_2,2025-03-20,18:00-18:30,195.47585693826943
q4_2,2025-03-20,19:00-19:20,35.61829250000028
q4_2,2025-03-20,21:30-21:50,69.92413900000054
q4_2,2025-06-21,无,0.0
q4_2,2025-09-23,17:20-18:10,373.8925290462942
q4_2,2025-12-21,08:00-08:20,154.06308749999994
q4_2,2025-12-21,10:10-11:10,993.697504916666
q4_2,2025-12-21,13:00-14:50,2018.324722416668
q4_2,2025-12-21,15:30-21:30,5416.073433488644
q4_2,2025-12-21,21:40-21:50,94.50790083333334
q4_2,2025-12-21,22:00-22:10,13.28449999999998
q4_2,2025-12-21,22:20-22:30,280.52836133333307
q4_2,2025-12-21,23:00-23:10,118.69158333333333
q4_2,2025-12-21,23:30-23:40,160.4533848333336
q4_3,2025-03-20,09:20-10:10,269.3849758055571
q4_3,2025-03-20,18:10-18:30,28.62719500000037
q4_3,2025-03-20,18:50-19:20,132.17181833333484
q4_3,2025-03-20,20:20-20:40,33.405144499999366
q4_3,2025-06-21,无,0.0
q4_3,2025-09-23,20:20-20:30,28.40193075000135
q4_3,2025-09-23,22:40-22:50,10.86987499999998
q4_3,2025-12-21,08:00-08:20,172.52073333333328
q4_3,2025-12-21,09:50-11:00,1659.4729205833337
q4_3,2025-12-21,13:00-13:40,303.7219829166675
q4_3,2025-12-21,13:50-15:00,647.1602483333346
q4_3,2025-12-21,15:40-17:40,1763.6984546666686
q4_3,2025-12-21,17:50-21:10,1877.2453966666658
q4_3,2025-12-21,21:40-21:50,319.12150272222306
q4_3,2025-12-21,22:20-22:30,207.53748169444185
q4_3,2025-12-21,23:00-23:10,206.6321749166699
q4_3,2025-12-21,23:30-23:50,142.36044466666476
