branch,date,block,charge_kwh,discharge_kwh,S00_kwh,S24_kwh
q4_2,2025-03-20,00:00-04:00,7021.798542314813,3653.2298633333335,6559.641029027791,3288.107594365672
q4_2,2025-03-20,04:00-08:00,3353.135555833333,6502.560287951604,6559.641029027791,3288.107594365672
q4_2,2025-03-20,08:00-12:00,5207.405883333333,3265.5568,6559.641029027791,3288.107594365672
q4_2,2025-03-20,12:00-16:00,4083.0238719832614,563.0518911666647,6559.641029027791,3288.107594365672
q4_2,2025-03-20,16:00-20:00,74.08023660493654,6635.404120620374,6559.641029027791,3288.107594365672
q4_2,2025-03-20,20:00-24:00,2438.3021082407404,2443.817743885187,6559.641029027791,3288.107594365672
q4_2,2025-06-21,00:00-04:00,1407.4247816666673,5593.369,7555.276417569611,8315.677765212668
q4_2,2025-06-21,04:00-08:00,3067.8712094444427,2234.595906842593,7555.276417569611,8315.677765212668
q4_2,2025-06-21,08:00-12:00,7642.681760316592,0.0,7555.276417569611,8315.677765212668
q4_2,2025-06-21,12:00-16:00,0.0,0.0,7555.276417569611,8315.677765212668
q4_2,2025-06-21,16:00-20:00,126.66484161522261,3615.524767488633,7555.276417569611,8315.677765212668
q4_2,2025-06-21,20:00-24:00,5683.407226666666,3970.375105083335,7555.276417569611,8315.677765212668
q4_2,2025-09-23,00:00-04:00,9169.809930833331,2434.2251358333333,4567.056321367855,3555.067739684928
q4_2,2025-09-23,04:00-08:00,2522.4775708333336,7443.357926093756,4567.056321367855,3555.067739684928
q4_2,2025-09-23,08:00-12:00,3356.3061550851044,2387.9402999999998,4567.056321367855,3555.067739684928
q4_2,2025-09-23,12:00-16:00,5457.299497916672,488.80346171295923,4567.056321367855,3555.067739684928
q4_2,2025-09-23,16:00-20:00,0.0,5804.46396848864,4567.056321367855,3555.067739684928
q4_2,2025-09-23,20:00-24:00,2790.928869629629,3368.4056950000004,4567.056321367855,3555.067739684928
q4_2,2025-12-21,00:00-04:00,3020.8914258333375,2738.4426758333334,10678.598011155736,6942.092507215929
q4_2,2025-12-21,04:00-08:00,3233.132102037035,3168.808737499999,10678.598011155736,6942.092507215929
q4_2,2025-12-21,08:00-12:00,2984.0999283333326,8713.557383868267,10678.598011155736,6942.092507215929
q4_2,2025-12-21,12:00-16:00,6692.045763333332,1555.6392442499978,10678.598011155736,6942.092507215929
q4_2,2025-12-21,16:00-20:00,0.0,2358.889550209913,10678.598011155736,6942.092507215929
q4_2,2025-12-21,20:00-24:00,5040.18672398148,3882.743122166667,10678.598011155736,6942.092507215929
q4_3,2025-03-20,00:00-04:00,6053.524675833332,2508.4033883271677,5561.536648863592,3858.546718598718
q4_3,2025-03-20,04:00-08:00,3169.196876874764,6933.591157527777,5561.536648863592,3858.546718598718
q4_3,2025-03-20,08:00-12:00,4079.0724181560963,2996.1718241944427,5561.536648863592,3858.546718598718
q4_3,2025-03-20,12:00-16:00,6323.2414091975315,254.72278333333304,5561.536648863592,3858.546718598718
q4_3,2025-03-20,16:00-20:00,664.6663555555559,5724.639924839505,5561.536648863592,3858.546718598718
q4_3,2025-03-20,20:00-24:00,3485.3892860185188,4595.650944840489,5561.536648863592,3858.546718598718
q4_3,2025-06-21,00:00-04:00,3571.964658319611,6562.745666666666,6706.46105616116,8083.285101933066
q4_3,2025-06-21,04:00-08:00,2762.8688170061714,2560.701004694444,6706.46105616116,8083.285101933066
q4_3,2025-06-21,08:00-12:00,8117.298410563506,0.0,6706.46105616116,8083.285101933066
q4_3,2025-06-21,12:00-16:00,0.0,0.0,6706.46105616116,8083.285101933066
q4_3,2025-06-21,16:00-20:00,434.69766398148283,3726.6964107293725,6706.46105616116,8083.285101933066
q4_3,2025-06-21,20:00-24:00,5388.531441242518,4091.511833333333,6706.46105616116,8083.285101933066
q4_3,2025-09-23,00:00-04:00,7849.4445675,1690.9400988034986,4853.170914377636,5377.912287334107
q4_3,2025-09-23,04:00-08:00,1829.6163105476064,6667.933329722222,4853.170914377636,5377.912287334107
q4_3,2025-09-23,08:00-12:00,4117.299187499999,2387.9402999999998,4853.170914377636,5377.912287334107
q4_3,2025-09-23,12:00-16:00,4861.524462322763,403.62491666666654,4853.170914377636,5377.912287334107
q4_3,2025-09-23,16:00-20:00,697.3408595277729,5384.05931531271,4853.170914377636,5377.912287334107
q4_3,2025-09-23,20:00-24:00,3426.6229818518523,3471.3521954999987,4853.170914377636,5377.912287334107
q4_3,2025-12-21,00:00-04:00,3488.2257921296296,3070.241682499999,10113.535206545475,5366.218022810942
q4_3,2025-12-21,04:00-08:00,2820.340292160494,3438.8202575277746,10113.535206545475,5366.218022810942
q4_3,2025-12-21,08:00-12:00,3315.6467542592577,7624.76951286827,10113.535206545475,5366.218022810942
q4_3,2025-12-21,12:00-16:00,7463.162500740744,2623.0817354166643,10113.535206545475,5366.218022810942
q4_3,2025-12-21,16:00-20:00,8.712126388888919,3861.9131119722256,10113.535206545475,5366.218022810942
q4_3,2025-12-21,20:00-24:00,5743.778894166667,4440.753946333336,10113.535206545475,5366.218022810942
